,clientID,client_lr,client_mom,batch_size,loss,accuracy
408,8,1.0,1.0,16,0.0033849666360765,0.8580986857414246
409,8,1.0,0.6666666666666666,16,0.0034399642609059,0.8551581501960754
410,8,1.0,1.0,32,0.0035585423465818,0.8507442474365234
411,8,1.0,1.0,64,0.0035726798232644,0.8498188853263855
412,8,1.0,0.6666666666666666,32,0.0037993630394339,0.843170702457428
413,8,0.1836734693877551,1.0,16,0.0038690436631441,0.8349030613899231
414,8,1.0,0.3333333333333333,16,0.0040030595846474,0.8328391909599304
415,8,1.0,0.6666666666666666,64,0.0040081087499856,0.831006646156311
417,8,1.0,0.0,16,0.0040572104044258,0.8269824385643005
416,8,1.0,0.3333333333333333,32,0.0040704566054046,0.8258439898490906
