,clientID,client_lr,client_mom,batch_size,loss,accuracy
633,8,1.0,0.3157894736842105,16,0.0716491192579269,0.4304761886596679
650,8,0.5918367346938775,0.631578947368421,16,0.0722807571291923,0.4228571355342865
647,8,0.1836734693877551,0.9473684210526315,16,0.0711158663034439,0.422222226858139
654,8,0.12244897959183676,0.9999999999999999,32,0.0721805319190025,0.4133333265781402
635,8,1.0,0.631578947368421,16,0.0723323822021484,0.4120634794235229
648,8,0.0816326530612245,0.9473684210526315,16,0.0745410323143005,0.3974603116512298
641,8,0.5918367346938775,0.9473684210526315,32,0.0732402801513671,0.3961904644966125
632,8,0.04081632653061224,0.9999999999999999,16,0.0744497552514076,0.3917460441589355
645,8,0.163265306122449,0.9473684210526315,32,0.0746123269200325,0.3917460441589355
666,8,0.5918367346938775,0.9473684210526315,16,0.0753042325377464,0.3860317468643188
