,clientID,client_lr,client_mom,batch_size,loss,accuracy
872,11,0.5918367346938775,0.9999999999999999,16,0.000366240448784,0.9980069994926452
874,11,1.0,0.9473684210526315,16,0.0004464269441086,0.997508704662323
876,11,0.1836734693877551,0.9999999999999999,16,0.000919860729482,0.9960139393806458
873,11,1.0,0.9999999999999999,32,0.0008167781052179,0.9955157041549684
875,11,0.5918367346938775,0.9473684210526315,16,0.0010146059794351,0.9935226440429688
881,11,0.163265306122449,0.9999999999999999,16,0.0011482919799163,0.9935226440429688
884,11,0.5918367346938775,0.9999999999999999,32,0.0012499166186898,0.9930244088172911
883,11,0.5918367346938775,0.9473684210526315,32,0.0013502259971573,0.9920278787612916
900,11,1.0,0.9473684210526315,32,0.0015322433318942,0.991529643535614
880,11,0.163265306122449,0.9999999999999999,32,0.0016383213223889,0.9905331134796144
