,clientID,client_lr,client_mom,batch_size,loss,accuracy
1353,17,1.0,0.9473684210526315,16,0.001102024805732,0.994179904460907
1356,17,0.5918367346938775,0.9473684210526315,32,0.001213036943227,0.994179904460907
1358,17,0.163265306122449,0.9999999999999999,16,0.0011872495524585,0.994179904460907
1352,17,0.5918367346938775,0.9999999999999999,16,0.0012967763468623,0.9931216835975648
1357,17,0.1836734693877551,0.9999999999999999,16,0.0013754698447883,0.9925925731658936
1354,17,1.0,0.9473684210526315,32,0.0013570910086855,0.991534411907196
1362,17,0.5918367346938775,0.9473684210526315,16,0.0015599721809849,0.9910053014755248
1363,17,1.0,0.631578947368421,16,0.0016575113404542,0.9910053014755248
1367,17,0.0816326530612245,0.9999999999999999,16,0.0023275893181562,0.988359808921814
1355,17,0.5918367346938775,0.9999999999999999,32,0.0020315726287662,0.9857142567634584
