,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.63490003
1,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.62710005
2,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.5978
3,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.58820003
4,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.5741
5,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.5687
6,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.5687
7,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.5589
8,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.5367
9,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.51710004
10,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.51680005
11,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.49980003
12,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.48710003
13,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.47800002
14,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.47500002
15,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.47470003
16,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.4586
17,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.4467
18,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.44560003
19,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.43100002
20,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.42510003
21,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.42450002
22,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.41860002
23,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.4178
24,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.41390002
25,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.4081
26,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.4052
27,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.39650002
28,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.39470002
29,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.39310002
30,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.38610002
31,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.38560003
32,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.3639
33,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.3639
34,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.35860002
35,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.35450003
36,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.35140002
37,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.34230003
38,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.33920002
39,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.33890003
40,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.337
41,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.33420002
42,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.3305
43,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.3201
44,1,-1,0.01,0.01,8,0.03,0.0,-1.0,0.3183
45,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.31210002
46,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.3095
47,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.3093
48,1,-1,0.01,0.01,8,0.01,0.6,-1.0,0.2994
49,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.29270002
50,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.2829
51,1,-1,0.01,0.01,16,0.03,0.3,-1.0,0.2736
52,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.2696
53,1,-1,0.01,0.01,8,0.01,0.3,-1.0,0.264
54,1,-1,0.01,0.01,16,0.01,0.9,-1.0,0.25530002
55,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.24440001
56,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.23900001
57,1,-1,0.01,0.01,16,0.03,0.0,-1.0,0.23680001
58,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.23640001
59,1,-1,0.01,0.01,8,0.01,0.0,-1.0,0.2168
60,1,-1,0.01,0.01,16,0.01,0.6,-1.0,0.18910001
61,1,-1,0.01,0.01,16,0.01,0.3,-1.0,0.17490001
62,1,-1,0.01,0.01,16,0.01,0.0,-1.0,0.1718
63,1,-1,0.01,0.01,32,0.05,0.3,-1.0,0.14680001
64,1,-1,0.01,0.01,32,0.01,0.3,-1.0,0.14660001
65,1,-1,0.01,0.01,32,0.03,0.6,-1.0,0.141
66,1,-1,0.01,0.01,32,0.05,0.0,-1.0,0.13080001
67,1,-1,0.01,0.01,32,0.01,0.9,-1.0,0.12750001
68,1,-1,0.01,0.01,32,0.01,0.6,-1.0,0.1271
69,1,-1,0.01,0.01,32,0.03,0.3,-1.0,0.1269
70,1,-1,0.01,0.01,32,0.03,0.0,-1.0,0.1263
71,1,-1,0.01,0.01,32,0.01,0.0,-1.0,0.12550001
72,0,1,0.1,0.9,16,0.0,0.0,0.0611452236771583,0.528253972530365
73,0,1,0.07,0.95,16,0.0,0.0,0.0583341866731643,0.5422222018241882
74,0,1,0.1,0.95,32,0.0,0.0,0.0625383034348487,0.5190476179122925
75,0,1,0.09,0.9,16,0.0,0.0,0.0633379369974136,0.4920634925365448
76,0,1,0.5,0.9,32,0.0,0.0,0.0648542791604995,0.4923809468746185
77,0,1,0.09,0.95,16,0.0,0.0,0.0592681393027305,0.5492063760757446
78,0,1,0.05,0.95,16,0.0,0.0,0.0616636760532856,0.5180952548980713
79,0,1,0.3,0.9,16,0.0,0.0,0.0632553249597549,0.4965079426765442
80,0,1,0.3,0.9,32,0.0,0.0,0.0585827454924583,0.5501587390899658
81,0,1,0.07,0.9,16,0.0,0.0,0.0631270036101341,0.5142857432365417
82,0,1,0.09,0.95,32,0.0,0.0,0.0614771097898483,0.5231745839118958
83,0,1,0.1,0.95,16,0.0,0.0,0.0623216703534126,0.5123809576034546
84,0,1,0.1,0.9,32,0.0,0.0,0.0661596581339836,0.4822222292423248
85,0,1,0.3,0.95,32,0.0,0.0,0.0683447942137718,0.445079356431961
86,0,1,0.03,0.95,16,0.0,0.0,0.0657580867409706,0.483174592256546
87,0,1,0.5,0.0,16,0.0,0.0,0.0663309544324874,0.4819047749042511
88,0,1,0.5,0.3,16,0.0,0.0,0.0623869784176349,0.5171428322792053
89,0,1,0.5,0.6,16,0.0,0.0,0.0585237592458725,0.5482539534568787
90,0,1,0.3,0.3,16,0.0,0.0,0.0686617568135261,0.4453968107700348
91,0,1,0.07,0.95,32,0.0,0.0,0.0666694641113281,0.4701587259769439
92,0,1,0.05,0.9,32,0.0,0.0,0.0708971843123436,0.4260317385196686
93,0,1,0.3,0.6,16,0.0,0.0,0.0620010755956172,0.5247619152069092
94,0,1,0.5,0.3,32,0.0,0.0,0.0684182569384574,0.4577777683734894
95,0,1,0.07,0.9,32,0.0,0.0,0.0726313591003418,0.4047619104385376
96,0,1,0.03,0.9,16,0.0,0.0,0.0721772536635398,0.4114285707473755
97,0,1,0.05,0.9,16,0.0,0.0,0.0683055967092514,0.4587301611900329
98,0,1,0.3,0.0,16,0.0,0.0,0.0705004334449768,0.4314285814762115
99,0,1,0.05,0.95,32,0.0,0.0,0.0670190602540969,0.4765079319477081
100,0,1,0.5,0.95,32,0.0,0.0,0.0737070590257644,0.3946031630039215
101,0,1,0.3,0.6,32,0.0,0.0,0.0716022849082946,0.4196825325489044
102,0,1,0.09,0.9,32,0.0,0.0,0.0719829872250557,0.4219047725200653
103,0,1,0.07,0.6,16,0.0,0.0,0.0758569538593292,0.3787301480770111
104,0,1,0.03,0.95,32,0.0,0.0,0.0718955546617508,0.412380963563919
105,0,1,0.09,0.6,16,0.0,0.0,0.0732982903718948,0.4000000059604645
106,0,1,0.09,0.6,32,0.0,0.0,0.078744389116764,0.3288888931274414
107,0,1,0.1,0.3,16,0.0,0.0,0.0764454454183578,0.364126980304718
108,0,1,0.1,0.6,16,0.0,0.0,0.0719208121299743,0.4155555665493011
109,0,1,0.01,0.95,16,0.0,0.0,0.0736342445015907,0.3984127044677734
110,0,1,0.05,0.6,16,0.0,0.0,0.0779377222061157,0.3555555641651153
111,0,1,0.3,0.3,32,0.0,0.0,0.0745932608842849,0.3879365026950836
112,0,1,0.5,0.0,32,0.0,0.0,0.0731731876730918,0.402222216129303
113,0,1,0.03,0.9,32,0.0,0.0,0.0768200308084487,0.3584127128124237
114,0,1,0.1,0.6,32,0.0,0.0,0.0771056115627288,0.3571428656578064
115,0,1,0.3,0.0,32,0.0,0.0,0.0787066891789436,0.3396825492382049
116,0,1,0.5,0.9,16,0.0,0.0,0.0719953775405883,0.4260317385196686
117,0,1,0.07,0.0,16,0.0,0.0,0.0811312645673751,0.2996825277805328
118,0,1,0.1,0.0,16,0.0,0.0,0.0787570998072624,0.3333333432674408
119,0,1,0.09,0.3,16,0.0,0.0,0.0787194147706031,0.3336507976055145
120,0,1,0.5,0.6,32,0.0,0.0,0.0674851462244987,0.4695238173007965
121,0,1,0.07,0.3,16,0.0,0.0,0.0793355479836463,0.3292063474655151
122,0,1,0.3,0.95,16,0.0,0.0,0.0785621106624603,0.3441269695758819
123,0,1,0.01,0.9,16,0.0,0.0,0.0801023542881012,0.3196825385093689
124,0,1,0.09,0.0,16,0.0,0.0,0.0790614783763885,0.3371428549289703
125,0,1,0.01,0.95,32,0.0,0.0,0.0814430266618728,0.3149206340312958
126,0,1,0.07,0.6,32,0.0,0.0,0.0812596604228019,0.2987301647663116
127,0,1,0.09,0.3,32,0.0,0.0,0.0821803882718086,0.2920635044574737
128,0,1,0.1,0.3,32,0.0,0.0,0.080736331641674,0.3066666722297668
129,0,1,0.05,0.3,16,0.0,0.0,0.0832498520612716,0.2790476083755493
130,0,1,0.1,0.0,32,0.0,0.0,0.0848083421587944,0.2390476167201995
131,0,1,0.03,0.6,16,0.0,0.0,0.0827925130724906,0.2752380967140198
132,0,1,0.05,0.0,16,0.0,0.0,0.0847276002168655,0.2384126931428909
133,0,1,0.01,0.9,32,0.0,0.0,0.0836837217211723,0.2542857229709625
134,0,1,0.09,0.0,32,0.0,0.0,0.0844142287969589,0.2596825361251831
135,0,1,0.07,0.3,32,0.0,0.0,0.0830059796571731,0.2625396847724914
136,0,1,0.03,0.6,32,0.0,0.0,0.0852985456585884,0.2247619032859802
137,0,1,0.03,0.3,32,0.0,0.0,0.086213119328022,0.2047619074583053
138,0,1,0.03,0.3,16,0.0,0.0,0.0851603373885154,0.2298412770032882
139,0,1,0.05,0.0,32,0.0,0.0,0.0882624611258506,0.163809522986412
140,0,1,0.05,0.3,32,0.0,0.0,0.0864909440279007,0.1961904764175415
141,0,1,0.07,0.0,32,0.0,0.0,0.0878753364086151,0.1739682555198669
142,0,1,0.05,0.6,32,0.0,0.0,0.0870212316513061,0.1860317438840866
143,0,1,0.01,0.6,32,0.0,0.0,0.0890431255102157,0.1431746035814285
144,0,1,0.01,0.0,32,0.0,0.0,0.0898078754544258,0.1206349208950996
145,0,1,0.03,0.0,16,0.0,0.0,0.0884917825460434,0.1612698435783386
146,0,1,0.01,0.3,16,0.0,0.0,0.0899605527520179,0.1060317456722259
147,0,1,0.03,0.0,32,0.0,0.0,0.0881114974617958,0.1625396758317947
148,0,1,0.01,0.6,16,0.0,0.0,0.089272953569889,0.1333333402872085
149,0,1,0.01,0.3,32,0.0,0.0,0.089995265007019,0.1184126958250999
150,0,1,0.01,0.0,16,0.0,0.0,0.0901207625865936,0.1063492074608802
151,0,1,0.5,0.95,16,0.0,0.0,0.0900643467903137,0.0977777764201164
152,0,2,0.1,0.95,32,0.0,0.0,0.0630946978926658,0.5107936263084412
153,0,2,0.5,0.6,16,0.0,0.0,0.0555766858160495,0.5726984143257141
154,0,2,0.1,0.9,16,0.0,0.0,0.0621275156736373,0.5158730149269104
155,0,2,0.07,0.95,16,0.0,0.0,0.0589048117399215,0.5498412847518921
156,0,2,0.1,0.95,16,0.0,0.0,0.0610211603343486,0.5263491868972778
157,0,2,0.5,0.9,32,0.0,0.0,0.0636694282293319,0.4955555498600006
158,0,2,0.3,0.0,16,0.0,0.0,0.0700156912207603,0.4330158829689026
159,0,2,0.09,0.9,16,0.0,0.0,0.0617320165038108,0.5225396752357483
160,0,2,0.5,0.3,16,0.0,0.0,0.0633031129837036,0.5019047856330872
161,0,2,0.3,0.6,32,0.0,0.0,0.0663241595029831,0.4726984202861786
162,0,2,0.3,0.6,16,0.0,0.0,0.0633597820997238,0.508571445941925
163,0,2,0.09,0.95,16,0.0,0.0,0.0602219700813293,0.533650815486908
164,0,2,0.09,0.95,32,0.0,0.0,0.0629436075687408,0.5095238089561462
165,0,2,0.07,0.95,32,0.0,0.0,0.065978966653347,0.4790476262569427
166,0,2,0.3,0.9,32,0.0,0.0,0.0609531477093696,0.5231745839118958
167,0,2,0.3,0.95,32,0.0,0.0,0.0678336322307586,0.4571428596973419
168,0,2,0.03,0.95,16,0.0,0.0,0.0664734318852424,0.4663492143154144
169,0,2,0.05,0.95,16,0.0,0.0,0.0627912431955337,0.518412709236145
170,0,2,0.05,0.9,16,0.0,0.0,0.065088115632534,0.4873015880584717
171,0,2,0.5,0.6,32,0.0,0.0,0.0630404204130172,0.5060317516326904
172,0,2,0.01,0.95,16,0.0,0.0,0.0720189958810806,0.4149206280708313
173,0,2,0.3,0.9,16,0.0,0.0,0.0657310560345649,0.4850793778896332
174,0,2,0.07,0.9,32,0.0,0.0,0.0704990252852439,0.4304761886596679
175,0,2,0.05,0.95,32,0.0,0.0,0.0706112906336784,0.43365079164505
176,0,2,0.1,0.6,16,0.0,0.0,0.0698569491505622,0.4393650889396667
177,0,2,0.3,0.3,16,0.0,0.0,0.0679848045110702,0.4546031653881073
178,0,2,0.5,0.0,16,0.0,0.0,0.0660332888364791,0.4822222292423248
179,0,2,0.07,0.9,16,0.0,0.0,0.0627901032567024,0.5101587176322937
180,0,2,0.03,0.9,16,0.0,0.0,0.0713651403784751,0.4203174710273742
181,0,2,0.09,0.9,32,0.0,0.0,0.0667933672666549,0.4720634818077087
182,0,2,0.09,0.6,16,0.0,0.0,0.0731882378458976,0.3901587426662445
183,0,2,0.03,0.95,32,0.0,0.0,0.0732284039258956,0.3990476131439209
184,0,2,0.05,0.9,32,0.0,0.0,0.0724968090653419,0.4193650782108307
185,0,2,0.09,0.3,16,0.0,0.0,0.075257197022438,0.3844444453716278
186,0,2,0.5,0.9,16,0.0,0.0,0.0729798600077629,0.4066666662693023
187,0,2,0.5,0.0,32,0.0,0.0,0.072565734386444,0.4161904752254486
188,0,2,0.1,0.3,16,0.0,0.0,0.0756839737296104,0.3815872967243194
189,0,2,0.3,0.95,16,0.0,0.0,0.0745260640978813,0.3749206364154815
190,0,2,0.1,0.9,32,0.0,0.0,0.0675636231899261,0.4644444584846496
191,0,2,0.07,0.6,16,0.0,0.0,0.0739724114537239,0.393968254327774
192,0,2,0.07,0.6,32,0.0,0.0,0.0784324705600738,0.3419047594070434
193,0,2,0.1,0.6,32,0.0,0.0,0.0768595710396766,0.3539682626724243
194,0,2,0.3,0.3,32,0.0,0.0,0.0731942281126976,0.3996825516223907
195,0,2,0.5,0.3,32,0.0,0.0,0.0695196986198425,0.4444444477558136
196,0,2,0.07,0.3,16,0.0,0.0,0.0774194523692131,0.3533333241939544
197,0,2,0.09,0.6,32,0.0,0.0,0.0773579776287078,0.3546031713485718
198,0,2,0.05,0.6,16,0.0,0.0,0.0751794129610061,0.3714285790920257
199,0,2,0.03,0.9,32,0.0,0.0,0.0764861851930618,0.3669841289520263
200,0,2,0.3,0.0,32,0.0,0.0,0.0753039196133613,0.375555545091629
201,0,2,0.09,0.0,16,0.0,0.0,0.0795127674937248,0.3231745958328247
202,0,2,0.05,0.3,16,0.0,0.0,0.0803242176771164,0.3069841265678406
203,0,2,0.01,0.95,32,0.0,0.0,0.0789534822106361,0.3349206447601318
204,0,2,0.1,0.0,16,0.0,0.0,0.0783062055706977,0.3460317552089691
205,0,2,0.1,0.3,32,0.0,0.0,0.080397680401802,0.3101587295532226
206,0,2,0.03,0.3,16,0.0,0.0,0.0830757096409797,0.25492063164711
207,0,2,0.07,0.0,16,0.0,0.0,0.0804068446159362,0.3050793707370758
208,0,2,0.01,0.9,16,0.0,0.0,0.0796626433730125,0.3187301456928253
209,0,2,0.03,0.6,16,0.0,0.0,0.0789616629481315,0.3361904621124267
210,0,2,0.5,0.95,32,0.0,0.0,0.0780674964189529,0.3317460417747497
211,0,2,0.09,0.3,32,0.0,0.0,0.0811596810817718,0.2984127104282379
212,0,2,0.05,0.3,32,0.0,0.0,0.0836530327796936,0.2596825361251831
213,0,2,0.05,0.0,16,0.0,0.0,0.0826618075370788,0.2723809480667114
214,0,2,0.07,0.3,32,0.0,0.0,0.0832966938614845,0.2701587378978729
215,0,2,0.03,0.0,16,0.0,0.0,0.0853713378310203,0.2298412770032882
216,0,2,0.03,0.6,32,0.0,0.0,0.0844686552882194,0.2552380859851837
217,0,2,0.1,0.0,32,0.0,0.0,0.0836195275187492,0.2673015892505646
218,0,2,0.05,0.6,32,0.0,0.0,0.0848402753472328,0.2422222197055816
219,0,2,0.03,0.3,32,0.0,0.0,0.0864170342683792,0.2117460370063781
220,0,2,0.01,0.9,32,0.0,0.0,0.0857685133814811,0.218412697315216
221,0,2,0.09,0.0,32,0.0,0.0,0.0860146284103393,0.2123809456825256
222,0,2,0.01,0.6,16,0.0,0.0,0.088696114718914,0.1625396758317947
223,0,2,0.05,0.0,32,0.0,0.0,0.0881848558783531,0.1663492023944854
224,0,2,0.01,0.0,16,0.0,0.0,0.0897916257381439,0.1250793635845184
225,0,2,0.07,0.0,32,0.0,0.0,0.0868131294846534,0.1946031749248504
226,0,2,0.01,0.3,16,0.0,0.0,0.0898396968841552,0.122539684176445
227,0,2,0.01,0.0,32,0.0,0.0,0.0898339748382568,0.1193650811910629
228,0,2,0.03,0.0,32,0.0,0.0,0.0896664857864379,0.1158730164170265
229,0,2,0.01,0.3,32,0.0,0.0,0.0894866809248924,0.1304761916399002
230,0,2,0.01,0.6,32,0.0,0.0,0.0898858830332756,0.1104761883616447
231,0,2,0.5,0.95,16,0.0,0.0,0.0900457948446273,0.0980952382087707
232,0,3,0.05,0.95,16,0.0,0.0,0.0588572435081005,0.5406349301338196
233,0,3,0.07,0.95,16,0.0,0.0,0.0595463812351226,0.5460317730903625
234,0,3,0.3,0.6,16,0.0,0.0,0.0595031790435314,0.5492063760757446
235,0,3,0.1,0.9,16,0.0,0.0,0.0595869570970535,0.5428571701049805
236,0,3,0.3,0.9,32,0.0,0.0,0.0586719624698162,0.5530158877372742
237,0,3,0.5,0.6,16,0.0,0.0,0.0557813234627246,0.5714285969734192
238,0,3,0.09,0.95,32,0.0,0.0,0.061815932393074,0.5260317325592041
239,0,3,0.09,0.95,16,0.0,0.0,0.0590792559087276,0.551111102104187
240,0,3,0.09,0.9,16,0.0,0.0,0.0598617754876613,0.5415872931480408
241,0,3,0.5,0.3,16,0.0,0.0,0.0612355731427669,0.5247619152069092
242,0,3,0.05,0.9,16,0.0,0.0,0.0647187903523445,0.4920634925365448
243,0,3,0.5,0.0,16,0.0,0.0,0.0639072880148887,0.5028571486473083
244,0,3,0.09,0.9,32,0.0,0.0,0.0643187463283538,0.4987301528453827
245,0,3,0.5,0.6,32,0.0,0.0,0.0611874014139175,0.5212698578834534
246,0,3,0.1,0.95,32,0.0,0.0,0.0612424239516258,0.5225396752357483
247,0,3,0.1,0.95,16,0.0,0.0,0.0616607517004013,0.5139682292938232
248,0,3,0.07,0.95,32,0.0,0.0,0.0624255016446113,0.5047619342803955
249,0,3,0.3,0.9,16,0.0,0.0,0.0595746152102947,0.5342857241630554
250,0,3,0.5,0.9,16,0.0,0.0,0.0705524682998657,0.4330158829689026
251,0,3,0.07,0.9,16,0.0,0.0,0.0614113807678222,0.5219047665596008
252,0,3,0.03,0.95,16,0.0,0.0,0.0636757090687751,0.50984126329422
253,0,3,0.3,0.3,16,0.0,0.0,0.0645568519830703,0.4961904883384704
254,0,3,0.1,0.9,32,0.0,0.0,0.0631215870380401,0.5082539916038513
255,0,3,0.3,0.6,32,0.0,0.0,0.0677627995610237,0.4701587259769439
256,0,3,0.5,0.9,32,0.0,0.0,0.067421056330204,0.4688888788223266
257,0,3,0.3,0.0,16,0.0,0.0,0.0665983185172081,0.4841269850730896
258,0,3,0.03,0.95,32,0.0,0.0,0.0701750069856643,0.4361904859542846
259,0,3,0.5,0.3,32,0.0,0.0,0.0677072033286094,0.4657142758369446
