,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.6596
1,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.64330006
2,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.61960006
3,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.60800004
4,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.60580003
5,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.59540004
6,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.5823
7,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.58110005
8,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.5501
9,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.54480004
10,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.53290004
11,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.52000004
12,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.517
13,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.51420003
14,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.5134
15,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.49840003
16,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.49140003
17,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.47180003
18,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.46800002
19,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.46600002
20,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.44990003
21,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.44000003
22,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.43910003
23,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.43710002
24,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.43370003
25,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.4275
26,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.4275
27,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.40850002
28,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.407
29,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.4065
30,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.4063
31,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.40330002
32,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.393
33,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.38900003
34,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.37770003
35,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.3765
36,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.3761
37,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.37150002
38,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.37010002
39,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.3679
40,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.36310002
41,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.36130002
42,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.35920003
43,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.3497
44,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.3492
45,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.33960003
46,1,-1,0.01,0.01,8,0.03,0.0,-1.0,0.3339
47,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.33200002
48,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.3271
49,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.3172
50,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.31210002
51,1,-1,0.01,0.01,8,0.01,0.6,-1.0,0.312
52,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.3041
53,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.30150002
54,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.296
55,1,-1,0.01,0.01,16,0.03,0.3,-1.0,0.28590003
56,1,-1,0.01,0.01,16,0.01,0.9,-1.0,0.28120002
57,1,-1,0.01,0.01,32,0.05,0.3,-1.0,0.2675
58,1,-1,0.01,0.01,16,0.03,0.0,-1.0,0.2644
59,1,-1,0.01,0.01,32,0.03,0.6,-1.0,0.25800002
60,1,-1,0.01,0.01,8,0.01,0.3,-1.0,0.23220001
61,1,-1,0.01,0.01,32,0.05,0.0,-1.0,0.22970001
62,1,-1,0.01,0.01,16,0.01,0.6,-1.0,0.22730002
63,1,-1,0.01,0.01,32,0.03,0.3,-1.0,0.201
64,1,-1,0.01,0.01,16,0.01,0.3,-1.0,0.19190001
65,1,-1,0.01,0.01,8,0.01,0.0,-1.0,0.1888
66,1,-1,0.01,0.01,32,0.03,0.0,-1.0,0.18220001
67,1,-1,0.01,0.01,32,0.01,0.9,-1.0,0.18120001
68,1,-1,0.01,0.01,16,0.01,0.0,-1.0,0.16900001
69,1,-1,0.01,0.01,32,0.01,0.6,-1.0,0.1631
70,1,-1,0.01,0.01,32,0.01,0.3,-1.0,0.1444
71,1,-1,0.01,0.01,32,0.01,0.0,-1.0,0.12560001
72,0,1,0.5,0.6,16,0.0,0.0,0.0387722104787826,0.7182624936103821
73,0,1,0.07,0.95,16,0.0,0.0,0.038523931056261,0.722851037979126
74,0,1,0.1,0.95,32,0.0,0.0,0.0422182902693748,0.7023554444313049
75,0,1,0.09,0.95,16,0.0,0.0,0.0405453816056251,0.7008259296417236
76,0,1,0.07,0.9,16,0.0,0.0,0.0465700626373291,0.6616702079772949
77,0,1,0.3,0.6,16,0.0,0.0,0.0439779832959175,0.6827775835990906
78,0,1,0.3,0.9,32,0.0,0.0,0.0447784624993801,0.6803303956985474
79,0,1,0.1,0.9,16,0.0,0.0,0.0422285087406635,0.6962373852729797
80,0,1,0.05,0.95,16,0.0,0.0,0.0441293977200984,0.6769654154777527
81,0,1,0.5,0.3,16,0.0,0.0,0.0448512509465217,0.6763536334037781
82,0,1,0.05,0.9,16,0.0,0.0,0.0469798408448696,0.6564698815345764
83,0,1,0.03,0.95,16,0.0,0.0,0.0473916344344615,0.6598348021507263
84,0,1,0.03,0.9,16,0.0,0.0,0.0519088841974735,0.623738169670105
