,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.6732
1,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.66660005
2,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.65790004
3,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.6445
4,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.643
5,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.63460004
6,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.63390005
7,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.62880003
8,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.5902
9,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.5747
10,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.5637
11,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.5583
12,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.5501
13,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.5422
14,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.5413
15,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.54050004
16,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.53330004
17,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.50920004
18,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.5086
19,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.5008
20,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.4882
21,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.48690003
22,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.47740003
23,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.46620002
24,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.45990002
25,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.45920002
26,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.45780003
27,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.4564
28,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.4557
29,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.4532
30,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.4451
31,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.44070002
32,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.4392
33,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.42130002
34,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.41160002
35,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.40910003
36,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.39810002
37,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.3977
38,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.39260003
39,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.38750002
40,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.38630003
41,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.3799
42,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.37890002
43,1,-1,0.01,0.01,8,0.03,0.0,-1.0,0.37410003
44,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.36800003
45,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.36580002
46,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.35660002
47,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.3472
48,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.33990002
49,1,-1,0.01,0.01,8,0.01,0.6,-1.0,0.33780003
50,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.32840002
51,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.326
52,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.3188
53,1,-1,0.01,0.01,16,0.03,0.3,-1.0,0.3095
54,1,-1,0.01,0.01,16,0.01,0.9,-1.0,0.3088
55,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.29990003
56,1,-1,0.01,0.01,16,0.01,0.6,-1.0,0.2978
57,1,-1,0.01,0.01,32,0.01,0.9,-1.0,0.29680002
58,1,-1,0.01,0.01,32,0.05,0.3,-1.0,0.29140002
59,1,-1,0.01,0.01,8,0.01,0.3,-1.0,0.28230003
60,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.27940002
61,1,-1,0.01,0.01,16,0.03,0.0,-1.0,0.2761
62,1,-1,0.01,0.01,32,0.03,0.6,-1.0,0.23480001
63,1,-1,0.01,0.01,32,0.03,0.0,-1.0,0.23470001
64,1,-1,0.01,0.01,8,0.01,0.0,-1.0,0.23380001
65,1,-1,0.01,0.01,32,0.05,0.0,-1.0,0.23310001
66,1,-1,0.01,0.01,32,0.03,0.3,-1.0,0.22940001
67,1,-1,0.01,0.01,16,0.01,0.3,-1.0,0.21900001
68,1,-1,0.01,0.01,16,0.01,0.0,-1.0,0.2028
69,1,-1,0.01,0.01,32,0.01,0.3,-1.0,0.1474
70,1,-1,0.01,0.01,32,0.01,0.0,-1.0,0.14400001
71,1,-1,0.01,0.01,32,0.01,0.6,-1.0,0.1435
72,0,1,0.05,0.95,16,0.0,0.0,0.0410268492996692,0.7015098929405212
74,0,1,0.1,0.9,32,0.0,0.0,0.0466241128742694,0.6548199653625488
75,0,1,0.3,0.9,64,0.0,0.0,0.0464445762336254,0.6606271862983704
76,0,1,0.03,0.95,16,0.0,0.0,0.0471834801137447,0.6487804651260376
77,0,1,0.3,0.9,32,0.0,0.0,0.0407961420714855,0.7054587602615356
78,0,1,0.1,0.95,32,0.0,0.0,0.0480052717030048,0.6441347002983093
79,0,1,0.5,0.6,32,0.0,0.0,0.0446794517338275,0.6752613186836243
80,0,1,0.07,0.95,32,0.0,0.0,0.0491405017673969,0.6313588619232178
81,0,1,0.05,0.95,32,0.0,0.0,0.0530563965439796,0.5953542590141296
82,0,1,0.07,0.95,16,0.0,0.0,0.0438330434262752,0.6729384660720825
83,0,1,0.1,0.9,16,0.0,0.0,0.0507725030183792,0.6190476417541504
84,0,1,0.1,0.95,64,0.0,0.0,0.0524004846811294,0.6000000238418579
85,0,1,0.07,0.9,16,0.0,0.0,0.0535386987030506,0.5907084941864014
86,0,1,0.3,0.95,64,0.0,0.0,0.0503492616117,0.6174216270446777
87,0,1,0.05,0.9,16,0.0,0.0,0.0510485097765922,0.6127758622169495
88,0,1,0.1,0.95,16,0.0,0.0,0.05200170353055,0.6125435829162598
89,0,1,0.3,0.95,32,0.0,0.0,0.0581905022263526,0.5516840815544128
90,0,1,0.07,0.9,32,0.0,0.0,0.0574955753982067,0.5632984638214111
91,0,1,0.5,0.9,64,0.0,0.0,0.0581083558499813,0.5500580668449402
92,0,1,0.03,0.95,32,0.0,0.0,0.0604924112558364,0.5354239344596863
93,0,1,0.3,0.9,16,0.0,0.0,0.0641479641199112,0.5042973160743713
94,0,1,0.3,0.6,32,0.0,0.0,0.0612704083323478,0.529384434223175
96,0,1,0.05,0.9,32,0.0,0.0,0.0632408335804939,0.5154471397399902
97,0,1,0.5,0.6,16,0.0,0.0,0.0502588748931884,0.6164924502372742
98,0,1,0.07,0.6,16,0.0,0.0,0.0607802681624889,0.5344947576522827
99,0,1,0.01,0.95,16,0.0,0.0,0.0620821602642536,0.5198606252670288
100,0,1,0.03,0.9,16,0.0,0.0,0.0637799948453903,0.5003484487533569
101,0,1,0.5,0.9,32,0.0,0.0,0.0598163679242134,0.5328687429428101
102,0,1,0.1,0.9,64,0.0,0.0,0.065878689289093,0.4785133600234985
103,0,1,0.07,0.95,64,0.0,0.0,0.0640974417328834,0.5033681988716125
104,0,1,0.1,0.6,16,0.0,0.0,0.0679276883602142,0.4631823599338531
105,0,1,0.05,0.95,64,0.0,0.0,0.0650036558508873,0.4896631836891174
106,0,1,0.01,0.95,32,0.0,0.0,0.0684091299772262,0.4541231095790863
108,0,1,0.5,0.0,32,0.0,0.0,0.0660203471779823,0.4785133600234985
110,0,1,0.5,0.6,64,0.0,0.0,0.062374647706747,0.5161440372467041
112,0,1,0.01,0.9,16,0.0,0.0,0.0677665099501609,0.4636469185352325
113,0,1,0.5,0.0,16,0.0,0.0,0.0627907365560531,0.510801374912262
116,0,1,0.07,0.6,32,0.0,0.0,0.0735336169600486,0.3974448442459106
118,0,1,0.5,0.9,16,0.0,0.0,0.0710604265332222,0.4232288002967834
119,0,1,0.03,0.6,16,0.0,0.0,0.072722427546978,0.4144018590450287
121,0,1,0.3,0.6,64,0.0,0.0,0.0702841505408287,0.4304297268390655
122,0,1,0.5,0.3,32,0.0,0.0,0.0717004537582397,0.4218350648880005
123,0,1,0.03,0.9,32,0.0,0.0,0.0742520093917846,0.3904761970043182
124,0,1,0.05,0.9,64,0.0,0.0,0.0746802389621734,0.3823461234569549
125,0,1,0.07,0.9,64,0.0,0.0,0.0747504383325576,0.3788617849349975
128,0,1,0.1,0.6,32,0.0,0.0,0.0740144774317741,0.395818829536438
129,0,1,0.5,0.95,64,0.0,0.0,0.0732867047190666,0.4065040647983551
130,0,1,0.03,0.95,64,0.0,0.0,0.0757612287998199,0.3737514615058899
131,0,1,0.3,0.0,32,0.0,0.0,0.0730978325009346,0.4013937413692474
132,0,1,0.1,0.3,16,0.0,0.0,0.0745850428938865,0.3881533145904541
133,0,1,0.3,0.3,32,0.0,0.0,0.0768710672855377,0.3602787554264068
135,0,1,0.07,0.3,32,0.0,0.0,0.0781372115015983,0.35121950507164
136,0,1,0.3,0.3,64,0.0,0.0,0.0779366195201873,0.3521486520767212
137,0,1,0.1,0.6,64,0.0,0.0,0.0793821513652801,0.3361207842826843
138,0,1,0.05,0.3,32,0.0,0.0,0.0793627575039863,0.327990710735321
139,0,1,0.5,0.95,32,0.0,0.0,0.074931226670742,0.3814169466495514
140,0,1,0.01,0.9,32,0.0,0.0,0.0773727372288703,0.3598141670227051
141,0,1,0.1,0.0,16,0.0,0.0,0.0786142125725746,0.342857152223587
142,0,1,0.05,0.6,32,0.0,0.0,0.0803961902856826,0.3156794309616089
143,0,1,0.1,0.0,32,0.0,0.0,0.0800114646553993,0.3233449459075928
144,0,1,0.03,0.6,32,0.0,0.0,0.0813224762678146,0.3015098869800567
145,0,1,0.01,0.9,64,0.0,0.0,0.0817207023501396,0.3049941956996918
146,0,1,0.05,0.6,16,0.0,0.0,0.0779950991272926,0.3502903580665588
147,0,1,0.1,0.3,32,0.0,0.0,0.0804801359772682,0.3140534162521362
148,0,1,0.03,0.9,64,0.0,0.0,0.0791043415665626,0.3333333432674408
149,0,1,0.05,0.3,16,0.0,0.0,0.0750861093401908,0.3793263733386993
150,0,1,0.07,0.0,32,0.0,0.0,0.0822455286979675,0.2926829159259796
151,0,1,0.3,0.6,16,0.0,0.0,0.076807215809822,0.3639953434467315
152,0,1,0.03,0.0,16,0.0,0.0,0.0822689533233642,0.2854819893836975
153,0,1,0.07,0.3,16,0.0,0.0,0.0759381651878357,0.3753774762153625
154,0,1,0.5,0.0,64,0.0,0.0,0.0750089660286903,0.3807200789451599
156,0,1,0.07,0.6,64,0.0,0.0,0.080726072192192,0.3042973279953003
157,0,1,0.3,0.0,64,0.0,0.0,0.0822060257196426,0.2940766513347626
158,0,1,0.05,0.0,32,0.0,0.0,0.0836009606719017,0.2680603861808777
159,0,1,0.03,0.3,16,0.0,0.0,0.0830348208546638,0.2743321657180786
160,0,1,0.5,0.3,64,0.0,0.0,0.0789351239800453,0.3296167254447937
161,0,1,0.3,0.3,16,0.0,0.0,0.0783010050654411,0.3354239165782928
162,0,1,0.1,0.0,64,0.0,0.0,0.0860784202814102,0.2069686353206634
163,0,1,0.07,0.0,16,0.0,0.0,0.0804493725299835,0.3133565485477447
164,0,1,0.3,0.0,16,0.0,0.0,0.0725998282432556,0.416260153055191
165,0,1,0.05,0.0,16,0.0,0.0,0.0837911367416381,0.2641114890575409
166,0,1,0.03,0.0,32,0.0,0.0,0.0881744101643562,0.1621370464563369
