,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.85517913
1,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.85409594
2,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.8518006
3,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.851259
4,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.8507088
5,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.84867996
6,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.8485596
7,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.84746784
8,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.8465308
9,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.8457055
10,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.8432124
11,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.8414501
12,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.84044427
13,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.84034973
14,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.8378739
15,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.83765036
16,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.8375472
17,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.83171856
18,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.82708496
19,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.82122195
20,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.8204225
21,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.8198293
22,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.81834203
23,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.8158662
24,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.81515265
25,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.8130035
26,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.8114646
27,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.81009775
28,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.8073984
29,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.8059713
30,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.80000514
31,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.7920704
32,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.78858006
33,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.7837745
34,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.7829922
35,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.78149635
36,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.77914083
37,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.7763899
38,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.77096534
39,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.76964146
40,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.7693749
41,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.76597923
42,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.7653087
43,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.75958323
44,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.75416726
45,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.7458886
46,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.7432924
47,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.74101424
48,1,-1,0.01,0.01,8,0.03,0.0,-1.0,0.72149104
49,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.7206571
50,1,-1,0.01,0.01,16,0.01,0.9,-1.0,0.7169777
51,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.7138743
52,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.710023
53,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.7090773
54,1,-1,0.01,0.01,16,0.03,0.3,-1.0,0.69675815
55,1,-1,0.01,0.01,8,0.01,0.6,-1.0,0.6843359
56,1,-1,0.01,0.01,32,0.05,0.3,-1.0,0.66893905
57,1,-1,0.01,0.01,32,0.03,0.6,-1.0,0.66598177
58,1,-1,0.01,0.01,16,0.03,0.0,-1.0,0.65568286
59,1,-1,0.01,0.01,32,0.05,0.0,-1.0,0.6484186
60,1,-1,0.01,0.01,32,0.01,0.9,-1.0,0.6407933
61,1,-1,0.01,0.01,32,0.03,0.3,-1.0,0.63172376
62,1,-1,0.01,0.01,16,0.01,0.6,-1.0,0.605048
63,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.6043087
64,1,-1,0.01,0.01,32,0.03,0.0,-1.0,0.58774275
65,1,-1,0.01,0.01,32,0.01,0.6,-1.0,0.53557765
66,1,-1,0.01,0.01,8,0.01,0.3,-1.0,0.52288026
67,1,-1,0.01,0.01,16,0.01,0.3,-1.0,0.40856925
68,1,-1,0.01,0.01,8,0.01,0.0,-1.0,0.36805275
69,1,-1,0.01,0.01,32,0.01,0.3,-1.0,0.3194467
70,1,-1,0.01,0.01,16,0.01,0.0,-1.0,0.2723365
71,1,-1,0.01,0.01,32,0.01,0.0,-1.0,0.17255402
72,0,1,0.3,0.95,32,0.0,0.0,0.0038132520858198,0.8395196795463562
73,0,1,0.3,0.95,16,0.0,0.0,0.0035959924571216,0.8486171960830688
74,0,1,0.3,0.9,16,0.0,0.0,0.0036532043013721,0.8468886613845825
75,0,1,0.5,0.95,16,0.0,0.0,0.0034419954754412,0.8575782179832458
76,0,1,0.5,0.9,16,0.0,0.0,0.003777181264013,0.8384734392166138
77,0,1,0.5,0.95,32,0.0,0.0,0.0034539955668151,0.8546215295791626
78,0,1,0.1,0.95,16,0.0,0.0,0.0040398114360868,0.8296943306922913
79,0,1,0.5,0.9,32,0.0,0.0,0.0038943728432059,0.8355622291564941
80,0,1,0.3,0.9,32,0.0,0.0,0.0044269706122577,0.8116812109947205
81,0,1,0.09,0.95,16,0.0,0.0,0.0045723486691713,0.8030385971069336
82,0,1,0.09,0.95,32,0.0,0.0,0.0050887414254248,0.7822962403297424
83,0,1,0.1,0.9,16,0.0,0.0,0.0048492415808141,0.7914392352104187
84,0,1,0.07,0.95,16,0.0,0.0,0.0047870497219264,0.7930312752723694
85,0,1,0.5,0.6,16,0.0,0.0,0.0045814281329512,0.8048126101493835
86,0,1,0.1,0.95,32,0.0,0.0,0.0050200307741761,0.7813864350318909
87,0,1,0.5,0.6,32,0.0,0.0,0.0055537344887852,0.7630549669265747
88,0,1,0.3,0.6,16,0.0,0.0,0.0054832519963383,0.762372612953186
89,0,1,0.05,0.95,16,0.0,0.0,0.005215969402343,0.7738355398178101
90,0,1,0.5,0.0,16,0.0,0.0,0.0058080544695258,0.7512736320495605
91,0,1,0.07,0.95,32,0.0,0.0,0.0053512728773057,0.7652838230133057
92,0,1,0.09,0.9,16,0.0,0.0,0.0050449655391275,0.7824781537055969
93,0,1,0.09,0.9,32,0.0,0.0,0.0061478610150516,0.7318049669265747
94,0,1,0.5,0.3,16,0.0,0.0,0.0057958513498306,0.7470433115959167
95,0,1,0.07,0.9,16,0.0,0.0,0.0056587141007184,0.7545487880706787
96,0,1,0.3,0.3,16,0.0,0.0,0.0062603601254522,0.7288027405738831
97,0,1,0.1,0.9,32,0.0,0.0,0.005915361456573,0.7414028644561768
98,0,1,0.03,0.95,16,0.0,0.0,0.0057262806221842,0.7502274513244629
99,0,1,0.05,0.95,32,0.0,0.0,0.0060048485174775,0.7373544573783875
100,0,1,0.05,0.9,16,0.0,0.0,0.0062865274958312,0.7214337587356567
101,0,1,0.3,0.6,32,0.0,0.0,0.0065110614523291,0.7119268774986267
102,0,1,0.05,0.9,32,0.0,0.0,0.0073211267590522,0.6775382161140442
103,0,1,0.07,0.9,32,0.0,0.0,0.0071473415009677,0.6827692985534668
104,0,1,0.03,0.9,16,0.0,0.0,0.0073544359765946,0.6715338230133057
105,0,1,0.03,0.95,32,0.0,0.0,0.0074308644980192,0.6692594885826111
106,0,1,0.5,0.3,32,0.0,0.0,0.007048821542412,0.6835880875587463
107,0,1,0.3,0.0,16,0.0,0.0,0.0078057674691081,0.6447871327400208
108,0,1,0.3,0.3,32,0.0,0.0,0.00813614949584,0.6268194913864136
109,0,1,0.1,0.6,16,0.0,0.0,0.0079062664881348,0.6451964974403381
110,0,1,0.01,0.95,16,0.0,0.0,0.0086203003302216,0.6090338230133057
111,0,1,0.03,0.9,32,0.0,0.0,0.0086613921448588,0.6021652221679688
112,0,1,0.09,0.6,16,0.0,0.0,0.0088547095656394,0.6003001928329468
113,0,1,0.1,0.3,16,0.0,0.0,0.009760782122612,0.5474891066551208
114,0,1,0.01,0.9,16,0.0,0.0,0.0106615684926509,0.5042303204536438
115,0,1,0.09,0.0,16,0.0,0.0,0.0104318680241703,0.516557514667511
116,0,1,0.1,0.0,16,0.0,0.0,0.010941787622869,0.4853984713554382
117,0,1,0.03,0.0,16,0.0,0.0,0.0158589854836463,0.0902929380536079
118,0,1,0.05,0.6,16,0.0,0.0,0.0157338101416826,0.1064410507678985
119,0,1,0.07,0.0,16,0.0,0.0,0.0158443395048379,0.0829239413142204
120,0,1,0.07,0.6,16,0.0,0.0,0.015667138621211,0.0812408998608589
121,0,1,0.1,0.6,32,0.0,0.0,0.0158300511538982,0.0639101192355156
122,0,1,0.01,0.9,32,0.0,0.0,0.015850668773055,0.0614082962274551
123,0,1,0.1,0.3,32,0.0,0.0,0.0158467274159193,0.064001090824604
124,0,1,0.05,0.3,16,0.0,0.0,0.0158476009964942,0.0666393712162971
125,0,1,0.01,0.6,16,0.0,0.0,0.0158583372831344,0.0652292594313621
126,0,1,0.05,0.0,16,0.0,0.0,0.0158288870006799,0.0550855174660682
127,0,1,0.05,0.3,32,0.0,0.0,0.0158529598265886,0.0505367554724216
128,0,1,0.07,0.3,16,0.0,0.0,0.0158151295036077,0.0598617158830165
129,0,1,0.09,0.3,16,0.0,0.0,0.0157326981425285,0.0534024760127067
130,0,1,0.09,0.3,32,0.0,0.0,0.0158369503915309,0.0514010190963745
131,0,1,0.05,0.6,32,0.0,0.0,0.0158587414771318,0.0519468709826469
132,0,1,0.01,0.95,32,0.0,0.0,0.015851879492402,0.0500818789005279
133,0,1,0.09,0.6,32,0.0,0.0,0.0158129688352346,0.0506277307868003
134,0,1,0.07,0.6,32,0.0,0.0,0.0158492624759674,0.045760553330183
135,0,1,0.5,0.0,32,0.0,0.0,0.0158135909587144,0.0456695780158042
136,0,1,0.3,0.0,32,0.0,0.0,0.0158300548791885,0.0544032007455825
137,0,1,0.03,0.6,32,0.0,0.0,0.0158570073544979,0.0477165207266807
138,0,1,0.1,0.0,32,0.0,0.0,0.0158520489931106,0.0461699403822422
139,0,1,0.09,0.0,32,0.0,0.0,0.0158564895391464,0.0556768551468849
140,0,1,0.01,0.3,16,0.0,0.0,0.0158633552491664,0.0428493432700634
141,0,1,0.01,0.6,32,0.0,0.0,0.0158688779920339,0.021834060549736
142,0,1,0.01,0.3,32,0.0,0.0,0.0158696062862873,0.0201055314391851
