,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.85133636
1,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.848637
2,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.84719276
3,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.84588605
4,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.8454734
5,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.8452499
6,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.8450865
7,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.84273964
8,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.8419917
9,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.84052163
10,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.8402637
11,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.83916336
12,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.8370142
13,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.83685946
14,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.83630925
15,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.833756
16,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.8319765
17,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.8318733
18,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.8316584
19,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.8313489
20,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.82443714
21,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.8241964
22,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.8222278
23,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.82201284
24,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.8214713
25,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.8159521
26,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.8152042
27,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.8128057
28,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.80590254
29,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.80291945
30,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.8027045
31,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.79875004
32,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.78742814
33,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.7850124
34,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.7835768
35,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.7771378
36,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.7714725
37,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.7699939
38,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.7684551
39,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.76695067
40,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.75744265
41,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.7510638
42,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.7365697
43,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.73044026
44,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.7259012
45,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.7188432
46,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.7141408
47,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.71381414
48,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.7096619
49,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.7091117
50,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.69784135
