,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.8625637
1,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.8615321
2,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.8604833
3,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.86013085
4,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.85963225
5,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.85957205
6,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.8595205
7,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.8589617
8,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.8587296
9,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.85806763
10,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.85796446
11,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.8546633
12,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.8546547
13,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.8531589
14,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.8528666
15,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.852411
16,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.85088074
17,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.8504939
18,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.8503392
19,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.8502446
20,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.85006404
21,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.8495138
22,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.8489035
23,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.84874874
24,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.8483705
25,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.8467715
26,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.844992
27,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.84434724
28,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.8440893
29,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.8439776
30,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.8429975
31,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.8392493
32,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.8385358
33,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.83821774
34,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.8375128
35,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.8338076
36,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.8327416
37,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.83176154
38,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.83020556
39,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.82972413
40,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.82656056
41,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.82521087
42,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.8221246
43,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.8205858
44,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.8179982
45,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.8076907
46,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.8063496
47,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.8055157
48,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.8046646
