,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.98800004
1,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.9879
2,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.9875001
3,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.98730004
4,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.98630005
5,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.9858
6,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.98520005
7,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.98450005
8,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.98420006
9,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.98380005
10,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.9825001
11,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.9825001
12,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.98230004
13,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.98210007
14,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.97990006
15,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.9797
16,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.9796001
17,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.9786
18,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.97800004
19,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.975
20,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.9746
21,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.9746
22,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.97440004
23,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.97400004
24,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.97310007
25,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.97310007
26,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.97150004
27,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.97130007
28,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.9707
29,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.97050005
30,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.96840006
31,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.9678
32,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.96650004
33,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.9628
34,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.9621
35,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.9620001
36,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.961
37,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.96090007
38,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.95860004
39,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.95680004
40,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.95390004
41,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.9534
42,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.95320004
43,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.95320004
44,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.9513
45,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.94970006
46,1,-1,0.01,0.01,8,0.03,0.0,-1.0,0.94460005
47,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.94220006
48,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.94150007
49,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.9412
50,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.94060004
51,1,-1,0.01,0.01,8,0.01,0.6,-1.0,0.93520004
52,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.9348
53,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.93450004
54,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.93230003
55,1,-1,0.01,0.01,16,0.01,0.9,-1.0,0.9304001
56,1,-1,0.01,0.01,16,0.03,0.3,-1.0,0.92890006
57,1,-1,0.01,0.01,16,0.03,0.0,-1.0,0.92240006
58,1,-1,0.01,0.01,32,0.05,0.3,-1.0,0.92090005
59,1,-1,0.01,0.01,32,0.03,0.6,-1.0,0.9193
60,1,-1,0.01,0.01,8,0.01,0.3,-1.0,0.91650003
61,1,-1,0.01,0.01,32,0.05,0.0,-1.0,0.91510004
62,1,-1,0.01,0.01,16,0.01,0.6,-1.0,0.91440004
63,1,-1,0.01,0.01,32,0.01,0.9,-1.0,0.9121
64,1,-1,0.01,0.01,32,0.03,0.3,-1.0,0.91080004
65,1,-1,0.01,0.01,32,0.03,0.0,-1.0,0.90250003
66,1,-1,0.01,0.01,32,0.01,0.6,-1.0,0.89480007
67,1,-1,0.01,0.01,16,0.01,0.3,-1.0,0.89140004
68,1,-1,0.01,0.01,8,0.01,0.0,-1.0,0.88540006
69,1,-1,0.01,0.01,32,0.01,0.3,-1.0,0.85130006
70,1,-1,0.01,0.01,16,0.01,0.0,-1.0,0.83940005
71,1,-1,0.01,0.01,32,0.01,0.0,-1.0,0.76570004
72,0,1,0.5,0.9,16,0.0,0.0,0.0005541778518818,0.9970899224281312
73,0,1,0.5,0.95,32,0.0,0.0,0.0030962398741394,0.979629635810852
74,0,1,0.09,0.95,16,0.0,0.0,0.0013564842520281,0.9928571581840516
75,0,1,0.07,0.95,16,0.0,0.0,0.0019904694054275,0.9894179701805116
76,0,1,0.1,0.95,16,0.0,0.0,0.0011637589195743,0.9933862686157228
77,0,1,0.3,0.9,16,0.0,0.0,0.0011867225402966,0.9925925731658936
78,0,1,0.3,0.9,32,0.0,0.0,0.0021276422776281,0.9888888597488404
79,0,1,0.5,0.9,32,0.0,0.0,0.0010820782044902,0.994179904460907
80,0,1,0.09,0.95,32,0.0,0.0,0.0026382494252175,0.9830687642097472
81,0,1,0.5,0.6,16,0.0,0.0,0.0018189313123002,0.9894179701805116
82,0,1,0.3,0.95,32,0.0,0.0,0.0009460922447033,0.994709014892578
83,0,1,0.07,0.95,32,0.0,0.0,0.0040823952294886,0.9756613969802856
84,0,1,0.3,0.6,16,0.0,0.0,0.0027508912608027,0.9846560955047609
85,0,1,0.3,0.0,16,0.0,0.0,0.0055132112465798,0.9685184955596924
86,0,1,0.1,0.9,16,0.0,0.0,0.0038448818959295,0.9785714149475098
87,0,1,0.1,0.9,32,0.0,0.0,0.0049481648020446,0.9722222089767456
88,0,1,0.09,0.9,16,0.0,0.0,0.0025023526977747,0.9857142567634584
89,0,1,0.09,0.6,16,0.0,0.0,0.0075934389606118,0.9523809552192688
90,0,1,0.5,0.3,16,0.0,0.0,0.0033689788542687,0.9785714149475098
91,0,1,0.07,0.9,16,0.0,0.0,0.0031539928168058,0.9820106029510498
92,0,1,0.1,0.6,16,0.0,0.0,0.0063989823684096,0.9624338746070862
93,0,1,0.1,0.95,32,0.0,0.0,0.0019079805351793,0.9896825551986694
94,0,1,0.05,0.95,32,0.0,0.0,0.0031740176491439,0.9825396537780762
95,0,1,0.05,0.9,32,0.0,0.0,0.006528154015541,0.9603174328804016
96,0,1,0.03,0.95,32,0.0,0.0,0.0055113052949309,0.9671957492828368
97,0,1,0.03,0.95,16,0.0,0.0,0.0040417942218482,0.9769841432571412
98,0,1,0.05,0.95,16,0.0,0.0,0.0017963424324989,0.9907407164573668
99,0,1,0.3,0.6,32,0.0,0.0,0.0040893186815083,0.9767195582389832
100,0,1,0.07,0.6,16,0.0,0.0,0.0083637237548828,0.946825385093689
101,0,1,0.3,0.95,16,0.0,0.0,0.0022968424018472,0.9875661134719848
102,0,1,0.5,0.0,16,0.0,0.0,0.0032983103301376,0.9817460179328918
103,0,1,0.05,0.9,16,0.0,0.0,0.0053889076225459,0.967989444732666
104,0,1,0.5,0.6,32,0.0,0.0,0.0033436780795454,0.9817460179328918
105,0,1,0.3,0.3,32,0.0,0.0,0.00737817119807,0.9544973373413086
106,0,1,0.3,0.3,16,0.0,0.0,0.0035127354785799,0.9798941612243652
107,0,1,0.07,0.9,32,0.0,0.0,0.0069539505057036,0.9576719403266908
108,0,1,0.3,0.0,32,0.0,0.0,0.0103633860126137,0.9362434148788452
109,0,1,0.03,0.9,16,0.0,0.0,0.0058696796186268,0.9640211462974548
110,0,1,0.5,0.0,32,0.0,0.0,0.0066820830106735,0.9576719403266908
111,0,1,0.01,0.95,16,0.0,0.0,0.0077621350064873,0.9537037014961244
112,0,1,0.09,0.9,32,0.0,0.0,0.0052013266831636,0.9674603343009948
113,0,1,0.05,0.6,16,0.0,0.0,0.011452074162662,0.9309523701667786
114,0,1,0.01,0.95,32,0.0,0.0,0.0133334780111908,0.9137566089630128
115,0,1,0.01,0.9,16,0.0,0.0,0.0137226898223161,0.9097883701324464
116,0,1,0.1,0.0,16,0.0,0.0,0.013257217593491,0.9161375761032104
117,0,1,0.03,0.9,32,0.0,0.0,0.0105903586372733,0.9328042268753052
118,0,1,0.07,0.3,16,0.0,0.0,0.0136277517303824,0.911904752254486
119,0,1,0.07,0.6,32,0.0,0.0,0.0143743399530649,0.9103174805641174
120,0,1,0.09,0.3,16,0.0,0.0,0.0115255108103156,0.929894208908081
121,0,1,0.1,0.3,32,0.0,0.0,0.0170072820037603,0.8886243104934692
122,0,1,0.1,0.6,32,0.0,0.0,0.0121238948777318,0.9232804179191588
123,0,1,0.1,0.3,16,0.0,0.0,0.0099170338362455,0.9386243224143982
124,0,1,0.05,0.3,16,0.0,0.0,0.0168405566364526,0.8928571343421936
125,0,1,0.09,0.3,32,0.0,0.0,0.0174681432545185,0.8867725133895874
126,0,1,0.09,0.6,32,0.0,0.0,0.0126854833215475,0.9227513074874878
127,0,1,0.03,0.6,16,0.0,0.0,0.0159803889691829,0.8965608477592468
128,0,1,0.09,0.0,16,0.0,0.0,0.0148522229865193,0.902910053730011
129,0,1,0.05,0.0,16,0.0,0.0,0.0197201166301965,0.870634913444519
130,0,1,0.5,0.3,32,0.0,0.0,0.0052561606280505,0.9664021134376526
131,0,1,0.05,0.6,32,0.0,0.0,0.0179026126861572,0.8843915462493896
132,0,1,0.01,0.9,32,0.0,0.0,0.0214977338910102,0.8592592477798462
133,0,1,0.07,0.0,16,0.0,0.0,0.0168018862605094,0.891005277633667
134,0,1,0.03,0.3,16,0.0,0.0,0.0216664355248212,0.8624338507652283
135,0,1,0.03,0.6,32,0.0,0.0,0.0290331523865461,0.8219576478004456
136,0,1,0.05,0.3,32,0.0,0.0,0.0269224718213081,0.8291005492210388
137,0,1,0.09,0.0,32,0.0,0.0,0.0223495718091726,0.8560846447944641
138,0,1,0.07,0.0,32,0.0,0.0,0.0352105312049388,0.7804232835769653
139,0,1,0.07,0.3,32,0.0,0.0,0.0212901905179023,0.8621693253517151
140,0,1,0.03,0.0,16,0.0,0.0,0.0570571459829807,0.6936507821083069
141,0,1,0.1,0.0,32,0.0,0.0,0.0218973755836486,0.8629629611968994
142,0,1,0.05,0.0,32,0.0,0.0,0.0597761832177639,0.6328042149543762
143,0,1,0.01,0.6,16,0.0,0.0,0.0752787888050079,0.5843915343284607
144,0,1,0.01,0.6,32,0.0,0.0,0.0888064354658126,0.3798941671848297
145,0,1,0.01,0.0,16,0.0,0.0,0.0887821465730667,0.3552910089492798
146,0,1,0.03,0.0,32,0.0,0.0,0.088330939412117,0.3285714387893677
147,0,1,0.03,0.3,32,0.0,0.0,0.0879020020365715,0.2875661253929138
148,0,1,0.01,0.3,16,0.0,0.0,0.089081697165966,0.2857142984867096
149,0,1,0.01,0.3,32,0.0,0.0,0.0894361287355423,0.2828042209148407
150,0,1,0.01,0.0,32,0.0,0.0,0.0896017700433731,0.1473544985055923
151,0,1,0.5,0.95,16,0.0,0.0,0.1817988902330398,0.0910052880644798
152,0,2,0.3,0.95,32,0.0,0.0,0.0018479157006368,0.9888888597488404
153,0,2,0.5,0.95,32,0.0,0.0,0.0019234719220548,0.9873015880584716
154,0,2,0.3,0.95,16,0.0,0.0,0.0026340056210756,0.9838624596595764
155,0,2,0.3,0.9,16,0.0,0.0,0.0012265152763575,0.9936507940292358
156,0,2,0.09,0.95,16,0.0,0.0,0.0011136825196444,0.9936507940292358
157,0,2,0.3,0.9,32,0.0,0.0,0.0009787892922759,0.9952380657196044
158,0,2,0.5,0.9,32,0.0,0.0,0.0010351936798542,0.9944444298744202
159,0,2,0.1,0.95,16,0.0,0.0,0.0012875495012849,0.9925925731658936
160,0,2,0.5,0.9,16,0.0,0.0,0.0006868099444545,0.9965608716011048
161,0,2,0.07,0.95,16,0.0,0.0,0.001850449712947,0.9894179701805116
162,0,2,0.09,0.95,32,0.0,0.0,0.0018615676090121,0.9896825551986694
163,0,2,0.09,0.9,16,0.0,0.0,0.0024527588393539,0.9857142567634584
164,0,2,0.3,0.6,16,0.0,0.0,0.0019778655841946,0.9896825551986694
165,0,2,0.1,0.9,16,0.0,0.0,0.0015905215404927,0.991269826889038
166,0,2,0.07,0.9,16,0.0,0.0,0.002344548003748,0.9873015880584716
167,0,2,0.5,0.6,16,0.0,0.0,0.0015440772986039,0.991534411907196
168,0,2,0.07,0.95,32,0.0,0.0,0.0026772993151098,0.9841269850730896
169,0,2,0.5,0.3,16,0.0,0.0,0.0030306347180157,0.9817460179328918
170,0,2,0.05,0.9,16,0.0,0.0,0.0034132569562643,0.979365050792694
171,0,2,0.05,0.95,32,0.0,0.0,0.0034310868941247,0.979629635810852
172,0,2,0.1,0.95,32,0.0,0.0,0.0032473870087414,0.9809523820877076
173,0,2,0.05,0.95,16,0.0,0.0,0.002096181968227,0.9886243343353271
174,0,2,0.3,0.3,16,0.0,0.0,0.0040765446610748,0.9759259223937988
175,0,2,0.03,0.95,16,0.0,0.0,0.0033277119509875,0.979629635810852
176,0,2,0.3,0.0,16,0.0,0.0,0.0053724152967333,0.9669312238693236
177,0,2,0.1,0.9,32,0.0,0.0,0.0038660410791635,0.9780423045158386
178,0,2,0.5,0.6,32,0.0,0.0,0.0030574677512049,0.982275128364563
179,0,2,0.01,0.95,16,0.0,0.0,0.0079085817560553,0.9523809552192688
180,0,2,0.5,0.0,16,0.0,0.0,0.003148483345285,0.9825396537780762
181,0,2,0.05,0.9,32,0.0,0.0,0.0060937120579183,0.961904764175415
182,0,2,0.09,0.9,32,0.0,0.0,0.0034471738617867,0.9812169075012208
183,0,2,0.07,0.9,32,0.0,0.0,0.0055550392717123,0.9650793671607972
184,0,2,0.03,0.95,32,0.0,0.0,0.0055028679780662,0.9658730030059814
185,0,2,0.03,0.9,16,0.0,0.0,0.0061238198541104,0.9632275104522704
186,0,2,0.09,0.6,16,0.0,0.0,0.0073185814544558,0.9531745910644532
187,0,2,0.5,0.0,32,0.0,0.0,0.0064336494542658,0.9603174328804016
188,0,2,0.03,0.9,32,0.0,0.0,0.0100500723347067,0.9367724657058716
189,0,2,0.5,0.3,32,0.0,0.0,0.005074699409306,0.9701058268547058
190,0,2,0.1,0.6,32,0.0,0.0,0.0108976997435092,0.9288359880447388
191,0,2,0.07,0.6,16,0.0,0.0,0.0087536796927452,0.9423280358314514
192,0,2,0.1,0.6,16,0.0,0.0,0.0082969414070248,0.9428571462631226
