,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.984
1,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.9818
2,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.98100007
3,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.97580004
4,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.9757
5,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.97540003
6,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.9728
7,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.9728
8,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.97060007
9,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.9692001
10,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.96800005
11,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.9642
12,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.96410006
13,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.96220005
14,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.95910007
15,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.95680004
16,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.95430005
17,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.95360005
18,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.95220006
19,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.95150006
20,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.9495
21,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.94690007
22,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.94530004
23,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.94200003
24,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.9408001
25,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.938
26,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.9373
27,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.93610007
28,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.93050003
29,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.92920005
30,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.92700005
31,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.92620003
32,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.92030007
33,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.91620004
34,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.9161
35,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.915
36,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.90870005
37,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.90320003
38,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.90260005
39,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.90150005
40,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.88610005
41,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.88140005
42,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.8783001
43,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.87470007
44,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.8733
45,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.8561
46,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.84950006
47,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.83730006
48,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.8371
49,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.8363
50,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.83550006
51,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.83360004
52,1,-1,0.01,0.01,8,0.03,0.0,-1.0,0.81490004
53,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.80880004
54,1,-1,0.01,0.01,16,0.01,0.9,-1.0,0.80380005
55,1,-1,0.01,0.01,16,0.03,0.3,-1.0,0.79920006
56,1,-1,0.01,0.01,32,0.05,0.3,-1.0,0.79920006
57,1,-1,0.01,0.01,8,0.01,0.6,-1.0,0.79600006
58,1,-1,0.01,0.01,32,0.03,0.6,-1.0,0.79510003
59,1,-1,0.01,0.01,16,0.03,0.0,-1.0,0.7803
60,1,-1,0.01,0.01,32,0.05,0.0,-1.0,0.77400005
61,1,-1,0.01,0.01,32,0.01,0.9,-1.0,0.76940006
62,1,-1,0.01,0.01,32,0.03,0.3,-1.0,0.76150006
63,1,-1,0.01,0.01,16,0.01,0.6,-1.0,0.76100004
64,1,-1,0.01,0.01,8,0.01,0.3,-1.0,0.7562
65,1,-1,0.01,0.01,32,0.03,0.0,-1.0,0.74420005
66,1,-1,0.01,0.01,32,0.01,0.6,-1.0,0.71900004
67,1,-1,0.01,0.01,16,0.01,0.3,-1.0,0.70460004
68,1,-1,0.01,0.01,8,0.01,0.0,-1.0,0.6933
69,1,-1,0.01,0.01,32,0.01,0.3,-1.0,0.6322
70,1,-1,0.01,0.01,16,0.01,0.0,-1.0,0.6082
71,1,-1,0.01,0.01,32,0.01,0.0,-1.0,0.522
72,0,1,0.5,0.95,32,0.0,0.0,0.0004162865807302,0.9975728392601012
73,0,1,0.5,0.9,16,0.0,0.0,0.0006707158754579,0.996601939201355
74,0,1,0.09,0.95,32,0.0,0.0,0.0045718257315456,0.9713592529296876
75,0,1,0.3,0.95,32,0.0,0.0,0.0015297565842047,0.991262137889862
76,0,1,0.3,0.9,16,0.0,0.0,0.0012694309698417,0.9927184581756592
77,0,1,0.3,0.6,16,0.0,0.0,0.0036622760817408,0.9791262149810792
78,0,1,0.1,0.95,16,0.0,0.0,0.0024459531996399,0.9854369163513184
79,0,1,0.3,0.95,16,0.0,0.0,0.0026926505379378,0.9820388555526732
80,0,1,0.05,0.95,32,0.0,0.0,0.0047832876443862,0.970873773097992
81,0,1,0.3,0.9,32,0.0,0.0,0.0031628024298697,0.9815533757209778
82,0,1,0.3,0.6,32,0.0,0.0,0.0050842706114053,0.9699029326438904
83,0,1,0.03,0.95,16,0.0,0.0,0.0029949317686259,0.9815533757209778
84,0,1,0.5,0.6,16,0.0,0.0,0.0033807000145316,0.9781553149223328
85,0,1,0.09,0.95,16,0.0,0.0,0.0018284944817423,0.9893203973770142
86,0,1,0.09,0.9,16,0.0,0.0,0.0026127621531486,0.9859223365783693
87,0,1,0.1,0.95,32,0.0,0.0,0.002247768221423,0.9873786568641664
88,0,1,0.5,0.9,32,0.0,0.0,0.0013047661632299,0.99320387840271
89,0,1,0.5,0.95,16,0.0,0.0,0.0034448085352778,0.9791262149810792
90,0,1,0.07,0.95,32,0.0,0.0,0.0051013506017625,0.9699029326438904
91,0,1,0.07,0.95,16,0.0,0.0,0.0034632189199328,0.9781553149223328
92,0,1,0.07,0.9,32,0.0,0.0,0.0057214954867959,0.962135910987854
93,0,1,0.5,0.6,32,0.0,0.0,0.0037604577373713,0.9791262149810792
94,0,1,0.07,0.9,16,0.0,0.0,0.0044621271081268,0.9723300933837892
95,0,1,0.5,0.3,16,0.0,0.0,0.0059048049151897,0.9611650705337524
96,0,1,0.5,0.0,32,0.0,0.0,0.007940400391817,0.9504854083061218
97,0,1,0.1,0.9,16,0.0,0.0,0.0044353124685585,0.974271833896637
98,0,1,0.05,0.95,16,0.0,0.0,0.0037160564679652,0.9762135744094848
99,0,1,0.05,0.9,32,0.0,0.0,0.0068734628148376,0.9582524299621582
100,0,1,0.03,0.9,16,0.0,0.0,0.0054571377113461,0.9699029326438904
101,0,1,0.3,0.0,16,0.0,0.0,0.0061683300882577,0.9606795907020568
102,0,1,0.09,0.9,32,0.0,0.0,0.004894261714071,0.9699029326438904
103,0,1,0.5,0.3,32,0.0,0.0,0.0053883627988398,0.966990292072296
104,0,1,0.1,0.9,32,0.0,0.0,0.0058205598033964,0.9631068110466005
105,0,1,0.3,0.3,16,0.0,0.0,0.0046895439736545,0.9718446731567384
106,0,1,0.1,0.6,16,0.0,0.0,0.0083291605114936,0.9456310868263244
107,0,1,0.07,0.3,16,0.0,0.0,0.0138081656768918,0.9101941585540771
108,0,1,0.01,0.95,16,0.0,0.0,0.0088973389938473,0.9422330260276794
109,0,1,0.05,0.9,16,0.0,0.0,0.0064479438588023,0.9631068110466005
110,0,1,0.5,0.0,16,0.0,0.0,0.0073262494988739,0.9524272084236144
111,0,1,0.03,0.9,32,0.0,0.0,0.0097484569996595,0.9402912855148317
112,0,1,0.09,0.3,16,0.0,0.0,0.0144967818632721,0.9077669978141784
113,0,1,0.1,0.6,32,0.0,0.0,0.0121084060519933,0.9252427220344543
114,0,1,0.03,0.95,32,0.0,0.0,0.0095387212932109,0.9383494853973388
115,0,1,0.3,0.3,32,0.0,0.0,0.0108677828684449,0.9359223246574402
