,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.98690003
1,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.98670006
2,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.98600006
3,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.98590004
4,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.98530006
5,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.98510003
6,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.9847
7,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.98420006
8,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.984
9,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.98280007
10,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.98270005
11,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.9825001
12,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.9822
13,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.9811
14,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.98080003
15,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.9807001
16,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.97800004
17,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.9775
18,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.97580004
19,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.9757
20,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.97550005
21,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.975
22,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.97290003
23,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.97150004
24,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.9714
25,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.9710001
26,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.9707
27,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.97060007
28,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.97040004
29,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.96840006
30,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.96720004
31,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.96620005
32,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.9646
33,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.96340007
34,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.96330005
35,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.9617
36,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.95960003
37,1,-1,0.01,0.01,8,0.03,0.0,-1.0,0.95730007
38,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.95620006
39,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.95610005
40,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.95480007
41,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.95440006
42,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.9542
43,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.9527
44,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.95100003
45,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.94890004
46,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.9452
47,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.94320005
48,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.94220006
49,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.93630004
50,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.93420005
51,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.93350005
52,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.93280005
53,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.93130004
54,1,-1,0.01,0.01,8,0.01,0.6,-1.0,0.92920005
55,1,-1,0.01,0.01,16,0.03,0.3,-1.0,0.9243
56,1,-1,0.01,0.01,16,0.01,0.9,-1.0,0.9233
57,1,-1,0.01,0.01,32,0.05,0.3,-1.0,0.92050004
58,1,-1,0.01,0.01,16,0.03,0.0,-1.0,0.9164
59,1,-1,0.01,0.01,32,0.03,0.6,-1.0,0.91590005
60,1,-1,0.01,0.01,32,0.01,0.9,-1.0,0.9139
61,1,-1,0.01,0.01,32,0.03,0.3,-1.0,0.91270006
62,1,-1,0.01,0.01,32,0.05,0.0,-1.0,0.91230005
63,1,-1,0.01,0.01,16,0.01,0.6,-1.0,0.9114
64,1,-1,0.01,0.01,32,0.03,0.0,-1.0,0.9078
65,1,-1,0.01,0.01,8,0.01,0.3,-1.0,0.90340006
66,1,-1,0.01,0.01,32,0.01,0.6,-1.0,0.89350003
67,1,-1,0.01,0.01,16,0.01,0.3,-1.0,0.8809
68,1,-1,0.01,0.01,8,0.01,0.0,-1.0,0.8758
69,1,-1,0.01,0.01,32,0.01,0.3,-1.0,0.8367
70,1,-1,0.01,0.01,16,0.01,0.0,-1.0,0.81850004
71,1,-1,0.01,0.01,32,0.01,0.0,-1.0,0.739
74,0,1,0.5,0.9,16,0.0,0.0,0.0023601918946951,0.9883381724357604
75,0,1,0.3,0.95,16,0.0,0.0,0.006521079223603,0.950437307357788
77,0,1,0.5,0.95,16,0.0,0.0,0.0040735849179327,0.9737609624862672
78,0,1,0.1,0.95,16,0.0,0.0,0.0088983140885829,0.941690981388092
79,0,1,0.1,0.9,16,0.0,0.0,0.0043480168096721,0.9825072884559632
80,0,1,0.3,0.95,32,0.0,0.0,0.0080723138526082,0.9620991349220276
81,0,1,0.3,0.9,32,0.0,0.0,0.0073318914510309,0.9620991349220276
83,0,1,0.5,0.9,32,0.0,0.0,0.0056472844444215,0.9766764044761658
84,0,1,0.3,0.9,16,0.0,0.0,0.0095296362414956,0.9446064233779908
85,0,1,0.5,0.95,32,0.0,0.0,0.004326241556555,0.9766764044761658
86,0,1,0.07,0.95,16,0.0,0.0,0.0099332351237535,0.941690981388092
87,0,1,0.3,0.9,64,0.0,0.0,0.008923789486289,0.9446064233779908
88,0,1,0.05,0.9,16,0.0,0.0,0.0139847910031676,0.9154518842697144
89,0,1,0.5,0.9,64,0.0,0.0,0.008373737335205,0.9562682509422302
90,0,1,0.3,0.6,32,0.0,0.0,0.0153379179537296,0.9037901163101196
92,0,1,0.03,0.95,16,0.0,0.0,0.0162484087049961,0.8892128467559814
93,0,1,0.05,0.95,16,0.0,0.0,0.0121095301583409,0.9212828278541564
94,0,1,0.3,0.6,16,0.0,0.0,0.0124479094520211,0.9241982698440552
95,0,1,0.5,0.6,16,0.0,0.0,0.0118690207600593,0.927113711833954
96,0,1,0.07,0.9,16,0.0,0.0,0.0160524174571037,0.9067055583000184
97,0,1,0.5,0.6,32,0.0,0.0,0.0223900265991687,0.8571428656578064
98,0,1,0.07,0.9,32,0.0,0.0,0.0221830420196056,0.851311981678009
101,0,1,0.3,0.95,64,0.0,0.0,0.0216306168586015,0.8483964800834656
103,0,1,0.5,0.3,32,0.0,0.0,0.0284260120242834,0.8104956150054932
104,0,1,0.1,0.6,16,0.0,0.0,0.0248167216777801,0.8483964800834656
105,0,1,0.5,0.3,16,0.0,0.0,0.0211264640092849,0.8629737496376038
107,0,1,0.03,0.9,16,0.0,0.0,0.024324145168066,0.8338192701339722
108,0,1,0.5,0.95,64,0.0,0.0,0.0225014425814151,0.8454810380935669
111,0,1,0.03,0.9,32,0.0,0.0,0.0879092290997505,0.4402332305908203
112,0,1,0.5,0.0,64,0.0,0.0,0.0877739191055297,0.4402332305908203
113,0,1,0.03,0.95,32,0.0,0.0,0.073963277041912,0.4285714328289032
114,0,1,0.3,0.3,16,0.0,0.0,0.0763766691088676,0.4489795863628387
115,0,1,0.1,0.6,32,0.0,0.0,0.0890189111232757,0.355685144662857
116,0,1,0.03,0.3,16,0.0,0.0,0.0891944020986557,0.3702623844146728
117,0,1,0.05,0.6,16,0.0,0.0,0.0894895642995834,0.3673469424247741
118,0,1,0.05,0.95,32,0.0,0.0,0.087039977312088,0.3644315004348755
119,0,1,0.3,0.0,64,0.0,0.0,0.0891578271985054,0.3586005866527557
120,0,1,0.05,0.95,64,0.0,0.0,0.0893100723624229,0.3615160286426544
121,0,1,0.07,0.9,64,0.0,0.0,0.0879657492041587,0.3586005866527557
123,0,1,0.07,0.95,64,0.0,0.0,0.0883828401565551,0.3411078751087188
124,0,1,0.07,0.0,32,0.0,0.0,0.0896008685231208,0.3469387888908386
125,0,1,0.5,0.3,64,0.0,0.0,0.0893274545669555,0.3294460773468017
126,0,1,0.05,0.9,64,0.0,0.0,0.0894915014505386,0.3294460773468017
127,0,1,0.05,0.3,16,0.0,0.0,0.0894857943058013,0.294460654258728
128,0,1,0.3,0.6,64,0.0,0.0,0.0881561636924743,0.3294460773468017
129,0,1,0.03,0.6,16,0.0,0.0,0.0894096121191978,0.323615163564682
130,0,1,0.07,0.6,16,0.0,0.0,0.0889264792203903,0.294460654258728
131,0,1,0.07,0.3,32,0.0,0.0,0.0896245539188385,0.3090378940105438
132,0,1,0.1,0.9,32,0.0,0.0,0.0882028043270111,0.2565597593784332
133,0,1,0.5,0.6,64,0.0,0.0,0.0887043476104736,0.2244897931814193
136,0,1,0.07,0.95,32,0.0,0.0,0.0889610052108764,0.2361516058444976
137,0,1,0.3,0.0,32,0.0,0.0,0.0895322486758232,0.2215743511915207
138,0,1,0.05,0.3,32,0.0,0.0,0.089930273592472,0.183673471212387
139,0,1,0.05,0.0,16,0.0,0.0,0.0898157879710197,0.1895043700933456
140,0,1,0.03,0.9,64,0.0,0.0,0.0895465835928917,0.2244897931814193
141,0,1,0.1,0.95,64,0.0,0.0,0.0894664973020553,0.2099125385284423
142,0,1,0.03,0.0,16,0.0,0.0,0.0898128002882003,0.2040816396474838
143,0,1,0.07,0.0,16,0.0,0.0,0.0898940563201904,0.1895043700933456
144,0,1,0.05,0.0,32,0.0,0.0,0.0897453650832176,0.1778425723314285
145,0,1,0.01,0.0,32,0.0,0.0,0.0898342058062553,0.1749271154403686
146,0,1,0.01,0.95,16,0.0,0.0,0.0897607579827308,0.1632653027772903
147,0,1,0.1,0.6,64,0.0,0.0,0.0898817554116249,0.1778425723314285
148,0,1,0.01,0.95,32,0.0,0.0,0.0896463319659233,0.1865889281034469
149,0,1,0.1,0.0,32,0.0,0.0,0.0897364616394043,0.1865889281034469
150,0,1,0.1,0.3,16,0.0,0.0,0.0890873745083808,0.1895043700933456
151,0,1,0.5,0.0,32,0.0,0.0,0.0894767642021179,0.1457725912332534
152,0,1,0.1,0.0,16,0.0,0.0,0.0898422226309776,0.1545189470052719
153,0,1,0.05,0.0,64,0.0,0.0,0.0899223014712333,0.1428571492433548
154,0,1,0.3,0.3,32,0.0,0.0,0.0896608382463455,0.198250725865364
155,0,1,0.01,0.0,64,0.0,0.0,0.0899646803736686,0.1399416923522949
156,0,1,0.05,0.3,64,0.0,0.0,0.089780107140541,0.1428571492433548
157,0,1,0.01,0.3,16,0.0,0.0,0.0899834409356117,0.1603498607873916
158,0,1,0.5,0.0,16,0.0,0.0,0.0897540226578712,0.1282798796892166
159,0,1,0.07,0.0,64,0.0,0.0,0.0899501517415046,0.1195335313677787
160,0,1,0.01,0.9,64,0.0,0.0,0.0900950729846954,0.1078717187047004
161,0,1,0.03,0.95,64,0.0,0.0,0.089726522564888,0.1545189470052719
162,0,1,0.01,0.6,64,0.0,0.0,0.0900261923670768,0.1078717187047004
163,0,1,0.03,0.3,32,0.0,0.0,0.0900940224528312,0.0758017525076866
164,0,1,0.01,0.3,64,0.0,0.0,0.0899184346199035,0.0962099134922027
165,0,1,0.1,0.9,64,0.0,0.0,0.0897691622376442,0.1282798796892166
166,0,1,0.3,0.0,16,0.0,0.0,0.089284099638462,0.137026235461235
167,0,1,0.07,0.3,64,0.0,0.0,0.0899546667933464,0.0758017525076866
168,0,1,0.05,0.6,32,0.0,0.0,0.0899755656719207,0.099125362932682
169,0,1,0.01,0.9,16,0.0,0.0,0.0898672863841056,0.1107871755957603
170,0,1,0.1,0.3,64,0.0,0.0,0.090010181069374,0.1137026250362396
171,0,1,0.03,0.3,64,0.0,0.0,0.089924432337284,0.099125362932682
172,0,1,0.3,0.3,64,0.0,0.0,0.0897514596581459,0.1078717187047004
173,0,1,0.01,0.6,32,0.0,0.0,0.0898316800594329,0.099125362932682
174,0,1,0.07,0.6,64,0.0,0.0,0.0899321138858795,0.0962099134922027
175,0,1,0.1,0.95,32,0.0,0.0,0.0889729931950569,0.1107871755957603
176,0,1,0.01,0.9,32,0.0,0.0,0.0899261310696601,0.1195335313677787
177,0,1,0.07,0.3,16,0.0,0.0,0.0898689404129982,0.1399416923522949
178,0,1,0.03,0.0,64,0.0,0.0,0.0899801477789878,0.1311953365802765
179,0,1,0.01,0.3,32,0.0,0.0,0.0899076461791992,0.1253644376993179
180,0,1,0.03,0.6,64,0.0,0.0,0.0899744778871536,0.0670553967356681
181,0,1,0.05,0.9,32,0.0,0.0,0.0897209644317627,0.1253644376993179
183,0,1,0.01,0.6,16,0.0,0.0,0.090055264532566,0.1107871755957603
184,0,1,0.01,0.0,16,0.0,0.0,0.0900213345885276,0.1253644376993179
185,0,1,0.1,0.3,32,0.0,0.0,0.0897601619362831,0.1107871755957603
186,0,1,0.1,0.0,64,0.0,0.0,0.0898785889148712,0.0962099134922027
187,0,1,0.03,0.0,32,0.0,0.0,0.0899678841233253,0.1049562692642211
188,0,1,0.01,0.95,64,0.0,0.0,0.0900692269206047,0.0758017525076866
189,0,1,0.03,0.6,32,0.0,0.0,0.0899436324834823,0.0524781346321105
190,0,1,0.05,0.6,64,0.0,0.0,0.0898539051413536,0.0874635577201843
191,0,1,0.07,0.6,32,0.0,0.0,0.0900189280509948,0.0379008762538433
192,0,2,0.3,0.9,16,0.0,0.0,0.0015030081849545,0.9902998208999634
193,0,2,0.3,0.95,32,0.0,0.0,0.0014237273717299,0.9929453134536744
194,0,2,0.1,0.95,16,0.0,0.0,0.0033435060176998,0.9801587462425232
196,0,2,0.5,0.9,32,0.0,0.0,0.0035616536624729,0.9783950448036194
197,0,2,0.5,0.9,16,0.0,0.0,0.0047534834593534,0.9686948657035828
198,0,2,0.5,0.95,64,0.0,0.0,0.0053750998340547,0.9664903283119202
200,0,2,0.5,0.6,16,0.0,0.0,0.0047248038463294,0.9713403582572936
