,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.87496156
1,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.8715043
2,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.8710433
3,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.8658958
4,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.8650507
5,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.86474335
6,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.8608251
7,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.8592501
8,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.8554471
9,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.8531807
10,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.8529118
11,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.8501844
12,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.8483789
13,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.8409265
14,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.83939
15,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.83800703
16,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.8317455
17,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.8317071
18,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.8259066
19,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.801744
20,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.79851717
21,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.79805624
22,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.79605865
23,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.79513675
24,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.7640596
25,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.7616395
26,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.7456976
