,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.8804164
1,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.87968653
2,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.8787262
3,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.8780731
4,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.8753457
5,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.87158114
6,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.8687385
7,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.8639751
8,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.86339885
9,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.8619776
10,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.8611708
11,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.8580209
12,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.8573678
13,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.85706055
14,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.8564843
15,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.8554087
16,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.85529345
17,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.85102946
18,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.850799
19,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.8480716
20,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.8455747
21,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.84553623
22,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.8425399
23,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.8417332
24,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.839582
25,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.83474183
26,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.83024734
27,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.82559925
28,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.81776273
29,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.8090043
30,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.80673784
31,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.80189764
32,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.7986708
33,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.7959818
34,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.73836046
35,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.7309081
36,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.71861553
37,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.70905036
38,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.6495851
39,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.63395053
40,1,-1,0.01,0.01,16,0.03,0.3,-1.0,0.5567763
41,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.5230485
42,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.4906269
43,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.44137985
44,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.40557775
45,1,-1,0.01,0.01,8,0.01,0.6,-1.0,0.3752305
46,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.37384757
47,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.372311
48,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.36309156
49,1,-1,0.01,0.01,8,0.03,0.0,-1.0,0.30593115
50,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.27285647
51,1,-1,0.01,0.01,8,0.01,0.3,-1.0,0.25868163
52,1,-1,0.01,0.01,8,0.01,0.0,-1.0,0.23624769
53,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.21331438
54,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.20490165
55,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.20463276
56,1,-1,0.01,0.01,16,0.01,0.6,-1.0,0.20159803
57,1,-1,0.01,0.01,16,0.03,0.0,-1.0,0.1996389
58,1,-1,0.01,0.01,16,0.01,0.3,-1.0,0.19913952
59,1,-1,0.01,0.01,16,0.01,0.9,-1.0,0.19871695
60,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.19860172
61,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.19833282
