,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,client_lr,client_momentum,batch_size,epochs
21,12/12/22-221319,12/12/22-221423,64.56499814987183,30,0.05408817529678345,0.5993735790252686,0.44675397872924805,0.7492836713790894,0.05636494606733322,0.5907928347587585,0.4373401403427124,0.7037037014961243,relu,0.5,0.3,8,30
17,12/12/22-220902,12/12/22-221006,64.60606670379639,30,0.05738323926925659,0.553246021270752,0.38126423954963684,0.7349066734313965,0.055265381932258606,0.5907928347587585,0.4322250783443451,0.7379912734031677,relu,0.3,0.3,8,30
20,12/12/22-221215,12/12/22-221318,63.0211443901062,30,0.055428724735975266,0.5828587412834167,0.4248291552066803,0.7364264726638794,0.056121230125427246,0.5805626511573792,0.4475703239440918,0.726141095161438,relu,0.5,0.0,8,30
22,12/12/22-221423,12/12/22-221528,64.15547919273376,30,0.05434010922908783,0.5865603685379028,0.44020500779151917,0.7497575283050537,0.05540994927287102,0.5780051350593567,0.39386188983917236,0.7586206793785095,relu,0.5,0.6,8,30
7,12/12/22-215818,12/12/22-215923,64.72824883460999,30,0.06050650030374527,0.5421412587165833,0.348234623670578,0.7232406735420227,0.05723384767770767,0.5549871921539307,0.40409207344055176,0.7783251404762268,relu,0.03,0.9,8,30
18,12/12/22-221006,12/12/22-221111,64.35063433647156,30,0.05487215518951416,0.5828587412834167,0.42966970801353455,0.7407953143119812,0.05624988675117493,0.5473145842552185,0.42455244064331055,0.7248908281326294,relu,0.3,0.6,8,30
11,12/12/22-220235,12/12/22-220340,64.69023656845093,30,0.05817575752735138,0.5466970205307007,0.3781321048736572,0.7345132827758789,0.058651864528656006,0.5473145842552185,0.3734015226364136,0.7411167621612549,relu,0.05,0.9,8,30
15,12/12/22-220654,12/12/22-220759,64.41720747947693,30,0.05660548806190491,0.572892963886261,0.41571754217147827,0.733668327331543,0.05841206759214401,0.5345268249511719,0.4015345275402069,0.7584540843963623,relu,0.1,0.9,8,30
14,12/12/22-220549,12/12/22-220654,64.7519805431366,30,0.060824815183877945,0.5276196002960205,0.3376993238925934,0.7271612286567688,0.06065763905644417,0.529411792755127,0.3759590685367584,0.7386934757232666,relu,0.1,0.6,8,30
16,12/12/22-220759,12/12/22-220901,62.330663204193115,30,0.059498872607946396,0.5447039008140564,0.34567198157310486,0.7330917716026306,0.061902232468128204,0.5166240334510803,0.39386188983917236,0.6525423526763916,relu,0.3,0.0,8,30
10,12/12/22-220131,12/12/22-220235,64.3423707485199,30,0.06833382695913315,0.464407742023468,0.2260819971561432,0.6578293442726135,0.06433581560850143,0.5115089416503906,0.2557544708251953,0.7246376872062683,relu,0.05,0.6,8,30
13,12/12/22-220444,12/12/22-220549,65.15834498405457,30,0.06761134415864944,0.47124144434928894,0.23490887880325317,0.6723716259002686,0.06427571177482605,0.5115089416503906,0.30946290493011475,0.6759776473045349,relu,0.1,0.3,8,30
12,12/12/22-220340,12/12/22-220444,63.18879055976868,30,0.06986039876937866,0.43935078382492065,0.20358769595623016,0.6541628837585449,0.06447698175907135,0.5063938498497009,0.27365729212760925,0.732876718044281,relu,0.1,0.0,8,30
3,12/12/22-215400,12/12/22-215505,64.841224193573,30,0.06988532841205597,0.4367881417274475,0.19732345640659332,0.6494845151901245,0.06630382686853409,0.49872124195098877,0.24296675622463226,0.673758864402771,relu,0.01,0.9,8,30
9,12/12/22-220026,12/12/22-220131,64.29489183425903,30,0.07194443792104721,0.4228360056877136,0.1600227802991867,0.6343114972114563,0.06983868777751923,0.43989768624305725,0.22250638902187347,0.6304348111152649,relu,0.05,0.3,8,30
6,12/12/22-215713,12/12/22-215818,64.58366346359253,30,0.07288239151239395,0.4137243628501892,0.15973803400993347,0.6338983178138733,0.07299502938985825,0.41943734884262085,0.15856777131557465,0.5636363625526428,relu,0.03,0.6,8,30
8,12/12/22-215923,12/12/22-220026,63.18502688407898,30,0.0762399435043335,0.3684510290622711,0.09567198157310486,0.5874125957489014,0.07175898551940918,0.41943734884262085,0.1508951336145401,0.7023809552192688,relu,0.05,0.0,8,30
4,12/12/22-215505,12/12/22-215608,62.67768096923828,30,0.07929825037717819,0.3368450999259949,0.06207289174199104,0.5265700221061707,0.07489239424467087,0.39897698163986206,0.08951406925916672,0.6603773832321167,relu,0.03,0.0,8,30
5,12/12/22-215608,12/12/22-215713,64.94263625144958,30,0.07710220664739609,0.36361047625541687,0.1019362211227417,0.6140651702880859,0.07392745465040207,0.39386188983917236,0.09974424540996552,0.6610169410705566,relu,0.03,0.3,8,30
2,12/12/22-215255,12/12/22-215400,64.8200466632843,30,0.07998282462358475,0.3177676498889923,0.053246013820171356,0.559880256652832,0.07607947289943695,0.38363170623779297,0.07672633975744247,0.625,relu,0.01,0.6,8,30
19,12/12/22-221111,12/12/22-221215,64.10141468048096,30,0.07426881045103073,0.3846811056137085,0.1799544394016266,0.616585373878479,0.07649179548025131,0.37851661443710327,0.25831201672554016,0.5260416865348816,relu,0.3,0.9,8,30
1,12/12/22-215150,12/12/22-215254,64.55873250961304,30,0.08510517328977585,0.22750569880008698,0.019077448174357414,0.5075757503509521,0.08303619176149368,0.25831201672554016,0.03836316987872124,0.6521739363670349,relu,0.01,0.3,8,30
0,12/12/22-215126,12/12/22-215150,24.102262258529663,11,0.08941572159528732,0.12927107512950897,0.0,0.0,0.08887182921171188,0.12787723541259766,0.0,0.0,relu,0.01,0.0,8,30
23,12/12/22-221528,12/12/22-221553,24.725894689559937,11,0.09006889164447784,0.0945330262184143,0.0,0.0,0.08999572694301605,0.08184143155813217,0.0,0.0,relu,0.5,0.9,8,30
