,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.9,-1,0.5438
1,1,-1,0.01,0.01,8,0.5,0.6,-1,0.53540003
2,1,-1,0.01,0.01,8,0.3,0.9,-1,0.4972
3,1,-1,0.01,0.01,8,0.5,0.3,-1,0.4866
4,1,-1,0.01,0.01,16,0.5,0.9,-1,0.47650003
5,1,-1,0.01,0.01,8,0.3,0.6,-1,0.46390003
6,1,-1,0.01,0.01,8,0.5,0.0,-1,0.45270002
7,1,-1,0.01,0.01,16,0.5,0.6,-1,0.45190004
8,1,-1,0.01,0.01,8,0.3,0.3,-1,0.42720002
9,1,-1,0.01,0.01,16,0.3,0.9,-1,0.42710003
10,1,-1,0.01,0.01,16,0.5,0.3,-1,0.4234
11,1,-1,0.01,0.01,16,0.3,0.6,-1,0.411
12,1,-1,0.01,0.01,32,0.5,0.9,-1,0.40980002
13,1,-1,0.01,0.01,8,0.3,0.0,-1,0.40760002
14,1,-1,0.01,0.01,16,0.5,0.0,-1,0.40350002
15,1,-1,0.01,0.01,8,0.1,0.9,-1,0.4011
16,1,-1,0.01,0.01,32,0.5,0.6,-1,0.38910002
17,1,-1,0.01,0.01,16,0.3,0.3,-1,0.3851
18,1,-1,0.01,0.01,32,0.3,0.9,-1,0.38410002
19,1,-1,0.01,0.01,8,0.1,0.6,-1,0.37800002
20,1,-1,0.01,0.01,32,0.5,0.3,-1,0.3585
21,1,-1,0.01,0.01,16,0.1,0.9,-1,0.35810003
22,1,-1,0.01,0.01,16,0.3,0.0,-1,0.35740003
23,1,-1,0.01,0.01,8,0.05,0.9,-1,0.3411
24,1,-1,0.01,0.01,32,0.3,0.6,-1,0.34050003
25,1,-1,0.01,0.01,8,0.1,0.3,-1,0.33710003
26,1,-1,0.01,0.01,32,0.5,0.0,-1,0.3242
27,1,-1,0.01,0.01,16,0.1,0.6,-1,0.3154
28,1,-1,0.01,0.01,8,0.05,0.6,-1,0.31410003
29,1,-1,0.01,0.01,8,0.1,0.0,-1,0.314
30,1,-1,0.01,0.01,8,0.03,0.9,-1,0.3127
31,1,-1,0.01,0.01,32,0.3,0.3,-1,0.30170003
32,1,-1,0.01,0.01,8,0.05,0.3,-1,0.2924
33,1,-1,0.01,0.01,16,0.1,0.3,-1,0.28950003
34,1,-1,0.01,0.01,8,0.03,0.6,-1,0.28620002
35,1,-1,0.01,0.01,8,0.05,0.0,-1,0.2827
36,1,-1,0.01,0.01,16,0.03,0.9,-1,0.2782
37,1,-1,0.01,0.01,32,0.3,0.0,-1,0.27760002
38,1,-1,0.01,0.01,8,0.03,0.3,-1,0.2718
39,1,-1,0.01,0.01,16,0.05,0.6,-1,0.2622
40,1,-1,0.01,0.01,16,0.05,0.9,-1,0.25910002
41,1,-1,0.01,0.01,8,0.01,0.9,-1,0.2578
42,1,-1,0.01,0.01,16,0.1,0.0,-1,0.25030002
43,1,-1,0.01,0.01,8,0.03,0.0,-1,0.2345
44,1,-1,0.01,0.01,32,0.1,0.9,-1,0.2046
45,1,-1,0.01,0.01,32,0.05,0.9,-1,0.18570001
46,1,-1,0.01,0.01,32,0.1,0.6,-1,0.1755
47,1,-1,0.01,0.01,8,0.01,0.3,-1,0.1649
48,1,-1,0.01,0.01,8,0.01,0.6,-1,0.16260001
49,1,-1,0.01,0.01,16,0.05,0.3,-1,0.16190001
50,1,-1,0.01,0.01,8,0.01,0.0,-1,0.16070001
51,1,-1,0.01,0.01,16,0.03,0.6,-1,0.1533
52,1,-1,0.01,0.01,16,0.01,0.3,-1,0.1408
53,1,-1,0.01,0.01,32,0.01,0.6,-1,0.14
54,1,-1,0.01,0.01,32,0.03,0.0,-1,0.1374
55,1,-1,0.01,0.01,16,0.05,0.0,-1,0.13630001
56,1,-1,0.01,0.01,16,0.01,0.9,-1,0.1332
57,1,-1,0.01,0.01,32,0.1,0.3,-1,0.1307
58,1,-1,0.01,0.01,32,0.03,0.9,-1,0.1303
59,1,-1,0.01,0.01,16,0.03,0.3,-1,0.1297
60,1,-1,0.01,0.01,32,0.03,0.3,-1,0.1253
61,1,-1,0.01,0.01,16,0.03,0.0,-1,0.12490001
62,1,-1,0.01,0.01,32,0.05,0.0,-1,0.1247
63,1,-1,0.01,0.01,32,0.05,0.6,-1,0.1247
64,1,-1,0.01,0.01,16,0.01,0.6,-1,0.1243
65,1,-1,0.01,0.01,16,0.01,0.0,-1,0.12420001
66,1,-1,0.01,0.01,32,0.01,0.9,-1,0.12310001
67,1,-1,0.01,0.01,32,0.1,0.0,-1,0.123
68,1,-1,0.01,0.01,32,0.05,0.3,-1,0.12270001
69,1,-1,0.01,0.01,32,0.03,0.6,-1,0.1226
70,1,-1,0.01,0.01,32,0.01,0.3,-1,0.11490001
71,1,-1,0.01,0.01,32,0.01,0.0,-1,0.1085
72,0,1,0.3,0.6,16,0,0,0.06993350386619568,0.441904753446579
73,0,1,0.5,0.6,16,0,0,0.0719824880361557,0.42476189136505127
74,0,1,0.09,0.9,16,0,0,0.06901707500219345,0.4590476155281067
75,0,1,0.05,0.95,32,0,0,0.07346000522375107,0.39936506748199463
76,0,1,0.05,0.9,16,0,0,0.07282228022813797,0.3968254029750824
77,0,1,0.5,0.3,16,0,0,0.0710413008928299,0.40888887643814087
78,0,1,0.1,0.9,16,0,0,0.07004107534885406,0.44063490629196167
79,0,1,0.07,0.95,16,0,0,0.07429740577936172,0.39619046449661255
80,0,1,0.05,0.95,16,0,0,0.07040336728096008,0.4285714328289032
81,0,1,0.3,0.9,16,0,0,0.07273758947849274,0.3911111056804657
82,0,1,0.5,0.0,16,0,0,0.07410159707069397,0.4057142734527588
83,0,1,0.03,0.95,16,0,0,0.07147175818681717,0.4228571355342865
84,0,1,0.5,0.6,32,0,0,0.07298408448696136,0.39301586151123047
85,0,1,0.5,0.9,16,0,0,0.07655659317970276,0.35428571701049805
86,0,1,0.09,0.95,16,0,0,0.07508900761604309,0.3796825408935547
87,0,1,0.1,0.95,16,0,0,0.07453475892543793,0.3790476322174072
88,0,1,0.09,0.9,32,0,0,0.07402108609676361,0.38603174686431885
89,0,1,0.1,0.6,16,0,0,0.07650589197874069,0.36000001430511475
90,0,1,0.5,0.0,32,0,0,0.07890820503234863,0.32698413729667664
91,0,1,0.3,0.95,32,0,0,0.0771121084690094,0.36000001430511475
92,0,1,0.07,0.9,32,0,0,0.07672282308340073,0.3682539761066437
93,0,1,0.07,0.6,16,0,0,0.07910522818565369,0.31555554270744324
94,0,1,0.09,0.95,32,0,0,0.0697125494480133,0.4330158829689026
95,0,1,0.1,0.95,32,0,0,0.07331084460020065,0.40888887643814087
96,0,1,0.07,0.9,16,0,0,0.07312007248401642,0.39936506748199463
97,0,1,0.5,0.9,32,0,0,0.07352957874536514,0.3936507999897003
98,0,1,0.01,0.95,16,0,0,0.08109111338853836,0.31555554270744324
99,0,1,0.3,0.6,32,0,0,0.0747290626168251,0.38730159401893616
100,0,1,0.03,0.9,16,0,0,0.07671337574720383,0.36444443464279175
101,0,1,0.3,0.0,16,0,0,0.07661977410316467,0.362539678812027
102,0,1,0.09,0.6,16,0,0,0.07682599872350693,0.362539678812027
103,0,1,0.05,0.9,32,0,0,0.08023391664028168,0.3174603283405304
104,0,1,0.1,0.9,32,0,0,0.07920759171247482,0.32825395464897156
105,0,1,0.07,0.95,32,0,0,0.07895680516958237,0.32825395464897156
106,0,1,0.3,0.3,16,0,0,0.07797826081514359,0.3409523665904999
107,0,1,0.03,0.95,32,0,0,0.07846572995185852,0.33142855763435364
108,0,1,0.3,0.9,32,0,0,0.07383759319782257,0.40190476179122925
109,0,1,0.09,0.3,16,0,0,0.08045629411935806,0.3276190459728241
110,0,1,0.01,0.9,16,0,0,0.08367442339658737,0.2622222304344177
111,0,1,0.07,0.3,16,0,0,0.0827886164188385,0.256507933139801
112,0,1,0.09,0.6,32,0,0,0.08388949930667877,0.27365079522132874
113,0,1,0.3,0.0,32,0,0,0.08130234479904175,0.29968252778053284
114,0,1,0.3,0.95,16,0,0,0.08106880635023117,0.31555554270744324
115,0,1,0.09,0.3,32,0,0,0.08624903112649918,0.21269841492176056
116,0,1,0.01,0.95,32,0,0,0.08481947332620621,0.2323809564113617
117,0,1,0.1,0.3,32,0,0,0.0854693055152893,0.21841269731521606
118,0,1,0.1,0.6,32,0,0,0.08331553637981415,0.2857142984867096
119,0,1,0.07,0.6,32,0,0,0.08525488525629044,0.24571429193019867
120,0,1,0.1,0.0,32,0,0,0.08619844168424606,0.20825396478176117
121,0,1,0.05,0.6,16,0,0,0.08590137958526611,0.2133333384990692
122,0,1,0.1,0.3,16,0,0,0.08574153482913971,0.22857142984867096
123,0,1,0.03,0.9,32,0,0,0.08551650494337082,0.22603175044059753
124,0,1,0.07,0.0,32,0,0,0.08735018223524094,0.18857142329216003
125,0,1,0.3,0.3,32,0,0,0.0798579677939415,0.32825395464897156
126,0,1,0.09,0.0,16,0,0,0.08685335516929626,0.19365079700946808
127,0,1,0.03,0.3,16,0,0,0.08886750042438507,0.15809524059295654
128,0,1,0.03,0.3,32,0,0,0.0896703451871872,0.13587301969528198
129,0,1,0.03,0.6,16,0,0,0.08655684441328049,0.1974603235721588
130,0,1,0.05,0.3,16,0,0,0.08801291137933731,0.17269840836524963
131,0,1,0.05,0.0,16,0,0,0.08862820267677307,0.16825397312641144
132,0,1,0.1,0.0,16,0,0,0.08703925460577011,0.18539682030677795
133,0,1,0.03,0.0,16,0,0,0.08863118290901184,0.16825397312641144
134,0,1,0.09,0.0,32,0,0,0.08938811719417572,0.12507936358451843
135,0,1,0.01,0.6,16,0,0,0.08931334316730499,0.15492063760757446
136,0,1,0.07,0.3,32,0,0,0.08895507454872131,0.14920635521411896
137,0,1,0.01,0.9,32,0,0,0.08725222945213318,0.19174602627754211
138,0,1,0.5,0.3,32,0,0,0.07690931111574173,0.36761903762817383
139,0,1,0.03,0.6,32,0,0,0.08973665535449982,0.1314285695552826
140,0,1,0.05,0.3,32,0,0,0.0899280533194542,0.1168253943324089
141,0,1,0.01,0.0,16,0,0,0.08990424871444702,0.12190476059913635
142,0,1,0.01,0.0,32,0,0,0.09016218036413193,0.10793650895357132
143,0,1,0.03,0.0,32,0,0,0.0900425985455513,0.1009523794054985
144,0,1,0.07,0.0,16,0,0,0.08805150538682938,0.16253967583179474
145,0,1,0.5,0.95,16,0,0,0.09004128724336624,0.095238097012043
146,0,1,0.05,0.0,32,0,0,0.08989664912223816,0.10476190596818924
147,0,1,0.01,0.6,32,0,0,0.09002385288476944,0.12063492089509964
148,0,1,0.01,0.3,16,0,0,0.08991966396570206,0.11999999731779099
149,0,1,0.05,0.6,32,0,0,0.08674396574497223,0.20253968238830566
150,0,1,0.01,0.3,32,0,0,0.09019298106431961,0.10857142508029938
151,0,1,0.5,0.95,32,0,0,0.08941352367401123,0.13650794327259064
152,0,2,0.1,0.9,16,0,0,0.07101143151521683,0.42476189136505127
153,0,2,0.3,0.3,16,0,0,0.07536564022302628,0.3638095259666443
154,0,2,0.3,0.6,16,0,0,0.07614326477050781,0.3638095259666443
155,0,2,0.03,0.9,16,0,0,0.07914849370718002,0.3263491988182068
156,0,2,0.1,0.95,16,0,0,0.0736471638083458,0.39746031165122986
157,0,2,0.07,0.9,16,0,0,0.0710853710770607,0.4273015856742859
158,0,2,0.3,0.9,32,0,0,0.07342952489852905,0.4101587235927582
159,0,2,0.05,0.95,16,0,0,0.07478374987840652,0.3790476322174072
160,0,2,0.1,0.95,32,0,0,0.0743834599852562,0.38031744956970215
161,0,2,0.09,0.6,16,0,0,0.07882048189640045,0.33968254923820496
162,0,2,0.09,0.9,16,0,0,0.07103480398654938,0.4412698447704315
163,0,2,0.5,0.3,16,0,0,0.07265958189964294,0.403809517621994
164,0,2,0.09,0.9,32,0,0,0.07778607308864594,0.35301586985588074
165,0,2,0.01,0.95,16,0,0,0.0805325135588646,0.313015878200531
166,0,2,0.1,0.9,32,0,0,0.07670629769563675,0.3574603199958801
167,0,2,0.5,0.0,16,0,0,0.0765611007809639,0.36888888478279114
168,0,2,0.5,0.6,32,0,0,0.07353628426790237,0.4095238149166107
169,0,2,0.5,0.9,32,0,0,0.0755479708313942,0.37269842624664307
170,0,2,0.03,0.95,16,0,0,0.07540015131235123,0.3911111056804657
171,0,2,0.5,0.6,16,0,0,0.07235733419656754,0.4025396704673767
172,0,2,0.3,0.9,16,0,0,0.0716465562582016,0.42476189136505127
173,0,2,0.5,0.3,32,0,0,0.07906421273946762,0.3365079462528229
174,0,2,0.05,0.9,16,0,0,0.0765606090426445,0.3561904728412628
175,0,2,0.05,0.9,32,0,0,0.079704150557518,0.3415873050689697
176,0,2,0.07,0.95,16,0,0,0.0722934678196907,0.39746031165122986
177,0,2,0.07,0.9,32,0,0,0.07801191508769989,0.3333333432674408
178,0,2,0.09,0.95,16,0,0,0.0731617882847786,0.41206347942352295
179,0,2,0.07,0.95,32,0,0,0.07666690647602081,0.36444443464279175
180,0,2,0.03,0.9,32,0,0,0.08141542226076126,0.3073015809059143
181,0,2,0.03,0.95,32,0,0,0.08060691505670547,0.313015878200531
182,0,2,0.1,0.6,32,0,0,0.08246579021215439,0.29523810744285583
183,0,2,0.3,0.95,32,0,0,0.07999872416257858,0.3161904811859131
184,0,2,0.05,0.95,32,0,0,0.07933501899242401,0.3231745958328247
185,0,2,0.05,0.6,16,0,0,0.08314074575901031,0.2628571391105652
186,0,2,0.3,0.95,16,0,0,0.07940711826086044,0.324444442987442
187,0,2,0.09,0.3,16,0,0,0.08361154794692993,0.2526984214782715
188,0,2,0.5,0.0,32,0,0,0.07873419672250748,0.33396825194358826
189,0,2,0.3,0.0,16,0,0,0.07989657670259476,0.324444442987442
190,0,2,0.07,0.6,16,0,0,0.08104297518730164,0.31682538986206055
191,0,2,0.1,0.6,16,0,0,0.08021766692399979,0.3149206340312958
192,0,2,0.3,0.0,32,0,0,0.08198266476392746,0.2958730161190033
193,0,2,0.3,0.6,32,0,0,0.07798940688371658,0.34285715222358704
194,0,2,0.09,0.6,32,0,0,0.08449256420135498,0.25333333015441895
195,0,2,0.09,0.95,32,0,0,0.07769100368022919,0.3536508083343506
196,0,2,0.07,0.6,32,0,0,0.08420293033123016,0.2673015892505646
197,0,2,0.1,0.3,16,0,0,0.08224765956401825,0.2958730161190033
198,0,2,0.3,0.3,32,0,0,0.08204224705696106,0.2825396955013275
199,0,2,0.05,0.3,16,0,0,0.08446087688207626,0.24507936835289001
200,0,2,0.01,0.9,16,0,0,0.08379336446523666,0.2628571391105652
201,0,2,0.07,0.0,16,0,0,0.0842725858092308,0.25460317730903625
202,0,2,0.07,0.3,16,0,0,0.08471611887216568,0.23555555939674377
203,0,2,0.03,0.6,16,0,0,0.08589421212673187,0.2279365062713623
204,0,2,0.09,0.0,16,0,0,0.08407250791788101,0.2526984214782715
205,0,2,0.1,0.3,32,0,0,0.08529063314199448,0.22857142984867096
206,0,2,0.07,0.3,32,0,0,0.0871867910027504,0.18666666746139526
207,0,2,0.05,0.6,32,0,0,0.0853491872549057,0.22349205613136292
208,0,2,0.01,0.95,32,0,0,0.08582095056772232,0.22412697970867157
209,0,2,0.01,0.3,32,0,0,0.08995942771434784,0.10603174567222595
210,0,2,0.07,0.0,32,0,0,0.08875725418329239,0.1701587289571762
211,0,2,0.03,0.3,32,0,0,0.08974158018827438,0.13015873730182648
212,0,2,0.05,0.3,32,0,0,0.08796381950378418,0.18857142329216003
213,0,2,0.03,0.6,32,0,0,0.08919265121221542,0.14031745493412018
214,0,2,0.03,0.3,16,0,0,0.08840645104646683,0.1746031790971756
215,0,2,0.09,0.3,32,0,0,0.08888237178325653,0.14920635521411896
216,0,2,0.1,0.0,16,0,0,0.0878317728638649,0.17396825551986694
217,0,2,0.01,0.6,16,0,0,0.08937184512615204,0.13206349313259125
218,0,2,0.01,0.0,16,0,0,0.09004667401313782,0.11238095164299011
219,0,2,0.01,0.0,32,0,0,0.09043283760547638,0.10920634865760803
220,0,2,0.05,0.0,16,0,0,0.08927155286073685,0.14920635521411896
221,0,2,0.03,0.0,16,0,0,0.08977294713258743,0.12634921073913574
222,0,2,0.5,0.95,32,0,0,0.08999965339899063,0.095238097012043
223,0,2,0.09,0.0,32,0,0,0.08949793130159378,0.12952381372451782
224,0,2,0.01,0.9,32,0,0,0.08867272734642029,0.16634920239448547
225,0,2,0.01,0.6,32,0,0,0.08984734117984772,0.11999999731779099
226,0,2,0.01,0.3,16,0,0,0.0896599292755127,0.13206349313259125
227,0,2,0.1,0.0,32,0,0,0.0893123596906662,0.15111111104488373
228,0,2,0.05,0.0,32,0,0,0.08965397626161575,0.13968254625797272
229,0,2,0.03,0.0,32,0,0,0.08981963992118835,0.1314285695552826
230,0,2,0.5,0.95,16,0,0,0.08999760448932648,0.11555555462837219
231,0,2,0.5,0.9,16,0,0,0.08991661667823792,0.12063492089509964
232,0,3,0.3,0.95,32,0,0,0.07476114481687546,0.3631746172904968
233,0,3,0.07,0.95,16,0,0,0.07125791907310486,0.41333332657814026
234,0,3,0.5,0.6,16,0,0,0.06779545545578003,0.46793651580810547
235,0,3,0.1,0.9,16,0,0,0.07166510075330734,0.4273015856742859
236,0,3,0.09,0.9,16,0,0,0.07103012502193451,0.41206347942352295
237,0,3,0.03,0.9,16,0,0,0.07725376635789871,0.34857141971588135
238,0,3,0.1,0.9,32,0,0,0.0737869068980217,0.39936506748199463
239,0,3,0.1,0.95,16,0,0,0.07125131040811539,0.42031747102737427
240,0,3,0.3,0.6,16,0,0,0.0692775547504425,0.4355555474758148
241,0,3,0.5,0.9,16,0,0,0.07757358253002167,0.362539678812027
242,0,3,0.5,0.6,32,0,0,0.07413239032030106,0.3879365026950836
243,0,3,0.3,0.95,16,0,0,0.08017104119062424,0.31238093972206116
244,0,3,0.3,0.3,16,0,0,0.07500158995389938,0.4012698531150818
245,0,3,0.07,0.9,32,0,0,0.07714176177978516,0.3574603199958801
246,0,3,0.5,0.9,32,0,0,0.07448174059391022,0.40761905908584595
247,0,3,0.05,0.9,16,0,0,0.07142291963100433,0.42793649435043335
248,0,3,0.09,0.95,32,0,0,0.07262066006660461,0.403809517621994
249,0,3,0.05,0.95,32,0,0,0.07540629804134369,0.3796825408935547
250,0,3,0.07,0.9,16,0,0,0.07188087701797485,0.4196825325489044
251,0,3,0.03,0.95,32,0,0,0.07855678349733353,0.33396825194358826
252,0,3,0.3,0.9,32,0,0,0.07358157634735107,0.40317460894584656
253,0,3,0.1,0.6,16,0,0,0.0769607275724411,0.35301586985588074
