,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.9,-1,0.66260004
1,1,-1,0.01,0.01,8,0.5,0.6,-1,0.6448
2,1,-1,0.01,0.01,8,0.3,0.9,-1,0.61620003
3,1,-1,0.01,0.01,8,0.5,0.3,-1,0.6111
4,1,-1,0.01,0.01,16,0.5,0.9,-1,0.6029
5,1,-1,0.01,0.01,8,0.3,0.6,-1,0.58830005
6,1,-1,0.01,0.01,8,0.5,0.0,-1,0.58000004
7,1,-1,0.01,0.01,16,0.5,0.6,-1,0.57390004
8,1,-1,0.01,0.01,8,0.3,0.3,-1,0.5465
9,1,-1,0.01,0.01,16,0.5,0.3,-1,0.5343
10,1,-1,0.01,0.01,16,0.3,0.9,-1,0.5289
11,1,-1,0.01,0.01,8,0.3,0.0,-1,0.51280004
12,1,-1,0.01,0.01,16,0.3,0.6,-1,0.51170003
13,1,-1,0.01,0.01,32,0.5,0.9,-1,0.5097
14,1,-1,0.01,0.01,16,0.5,0.0,-1,0.49660003
15,1,-1,0.01,0.01,8,0.1,0.9,-1,0.48760003
16,1,-1,0.01,0.01,32,0.5,0.6,-1,0.47820002
17,1,-1,0.01,0.01,16,0.3,0.3,-1,0.46100003
18,1,-1,0.01,0.01,32,0.3,0.9,-1,0.45550004
19,1,-1,0.01,0.01,8,0.1,0.6,-1,0.45540002
20,1,-1,0.01,0.01,32,0.5,0.3,-1,0.44120002
21,1,-1,0.01,0.01,16,0.3,0.0,-1,0.43320003
22,1,-1,0.01,0.01,16,0.1,0.9,-1,0.4311
23,1,-1,0.01,0.01,32,0.3,0.6,-1,0.4309
24,1,-1,0.01,0.01,8,0.05,0.9,-1,0.42970002
25,1,-1,0.01,0.01,8,0.1,0.3,-1,0.41830003
26,1,-1,0.01,0.01,32,0.5,0.0,-1,0.4176
27,1,-1,0.01,0.01,16,0.1,0.6,-1,0.40440002
28,1,-1,0.01,0.01,32,0.3,0.3,-1,0.40300003
29,1,-1,0.01,0.01,8,0.05,0.6,-1,0.4004
30,1,-1,0.01,0.01,8,0.1,0.0,-1,0.39850003
31,1,-1,0.01,0.01,8,0.03,0.9,-1,0.39090002
32,1,-1,0.01,0.01,32,0.3,0.0,-1,0.38230002
33,1,-1,0.01,0.01,16,0.1,0.3,-1,0.38020003
34,1,-1,0.01,0.01,8,0.05,0.3,-1,0.37350002
35,1,-1,0.01,0.01,16,0.05,0.9,-1,0.3688
36,1,-1,0.01,0.01,8,0.03,0.6,-1,0.36560002
37,1,-1,0.01,0.01,32,0.1,0.9,-1,0.36280003
38,1,-1,0.01,0.01,16,0.05,0.6,-1,0.35840002
39,1,-1,0.01,0.01,16,0.03,0.9,-1,0.356
40,1,-1,0.01,0.01,8,0.05,0.0,-1,0.35270002
41,1,-1,0.01,0.01,16,0.1,0.0,-1,0.35180002
42,1,-1,0.01,0.01,32,0.1,0.6,-1,0.3395
43,1,-1,0.01,0.01,8,0.03,0.3,-1,0.33560002
44,1,-1,0.01,0.01,8,0.01,0.9,-1,0.323
45,1,-1,0.01,0.01,32,0.05,0.9,-1,0.3163
46,1,-1,0.01,0.01,8,0.03,0.0,-1,0.3142
47,1,-1,0.01,0.01,16,0.05,0.3,-1,0.31350002
48,1,-1,0.01,0.01,16,0.03,0.6,-1,0.305
49,1,-1,0.01,0.01,32,0.1,0.3,-1,0.3012
50,1,-1,0.01,0.01,16,0.05,0.0,-1,0.2935
51,1,-1,0.01,0.01,8,0.01,0.6,-1,0.2856
52,1,-1,0.01,0.01,16,0.01,0.9,-1,0.2852
53,1,-1,0.01,0.01,32,0.05,0.6,-1,0.28280002
54,1,-1,0.01,0.01,32,0.1,0.0,-1,0.2813
55,1,-1,0.01,0.01,16,0.03,0.3,-1,0.2804
56,1,-1,0.01,0.01,16,0.03,0.0,-1,0.26090002
57,1,-1,0.01,0.01,32,0.05,0.3,-1,0.24660002
58,1,-1,0.01,0.01,8,0.01,0.3,-1,0.245
59,1,-1,0.01,0.01,32,0.03,0.9,-1,0.24280001
60,1,-1,0.01,0.01,16,0.01,0.6,-1,0.2283
61,1,-1,0.01,0.01,32,0.03,0.6,-1,0.22280002
62,1,-1,0.01,0.01,8,0.01,0.0,-1,0.20680001
63,1,-1,0.01,0.01,16,0.01,0.3,-1,0.19160001
64,1,-1,0.01,0.01,32,0.05,0.0,-1,0.1914
65,1,-1,0.01,0.01,16,0.01,0.0,-1,0.18670002
66,1,-1,0.01,0.01,32,0.03,0.3,-1,0.17210001
67,1,-1,0.01,0.01,32,0.01,0.9,-1,0.16420001
68,1,-1,0.01,0.01,32,0.03,0.0,-1,0.1603
69,1,-1,0.01,0.01,32,0.01,0.3,-1,0.14960001
70,1,-1,0.01,0.01,32,0.01,0.6,-1,0.14950001
71,1,-1,0.01,0.01,32,0.01,0.0,-1,0.1195
72,0,1,0.09,0.9,16,0,0,0.05472930520772934,0.5822708010673523
73,0,1,0.5,0.6,16,0,0,0.052298590540885925,0.6117182970046997
74,0,1,0.1,0.9,16,0,0,0.05368974432349205,0.5913782715797424
75,0,1,0.5,0.0,16,0,0,0.05885426700115204,0.5500910878181458
76,0,1,0.09,0.95,32,0,0,0.0558428056538105,0.5743776559829712
77,0,1,0.09,0.95,16,0,0,0.0580298937857151,0.5582877993583679
78,0,1,0.07,0.95,16,0,0,0.053891249001026154,0.5953248143196106
79,0,1,0.1,0.95,16,0,0,0.05459194630384445,0.5807529091835022
80,0,1,0.3,0.6,16,0,0,0.055874038487672806,0.5743776559829712
81,0,1,0.05,0.95,16,0,0,0.053551383316516876,0.5907710790634155
82,0,1,0.5,0.3,16,0,0,0.056439440697431564,0.5689131617546082
83,0,1,0.3,0.3,16,0,0,0.06016166880726814,0.5367334485054016
84,0,1,0.3,0.6,32,0,0,0.06136510521173477,0.5294474959373474
85,0,1,0.5,0.9,32,0,0,0.05459640920162201,0.5819672346115112
86,0,1,0.07,0.95,32,0,0,0.06024502217769623,0.5321797132492065
87,0,1,0.03,0.95,16,0,0,0.05999777093529701,0.5336976051330566
88,0,1,0.3,0.9,16,0,0,0.05753299593925476,0.563145101070404
89,0,1,0.05,0.9,16,0,0,0.05931682884693146,0.5418943762779236
90,0,1,0.3,0.9,32,0,0,0.05380004271864891,0.5877352952957153
91,0,1,0.5,0.6,32,0,0,0.057872433215379715,0.5549483895301819
92,0,1,0.1,0.9,32,0,0,0.05937402322888374,0.5506982207298279
93,0,1,0.07,0.9,16,0,0,0.058157097548246384,0.5579842329025269
94,0,1,0.09,0.9,32,0,0,0.06221836060285568,0.5142683386802673
95,0,1,0.1,0.95,32,0,0,0.05648421496152878,0.563145101070404
96,0,1,0.3,0.3,32,0,0,0.06834559887647629,0.46417728066444397
97,0,1,0.07,0.9,32,0,0,0.06496106833219528,0.4914996922016144
98,0,1,0.3,0.95,32,0,0,0.06347061693668365,0.5106253623962402
99,0,1,0.03,0.95,32,0,0,0.06461330503225327,0.4869459569454193
100,0,1,0.05,0.95,32,0,0,0.06515064835548401,0.49241045117378235
101,0,1,0.5,0.3,32,0,0,0.0626472756266594,0.5124468803405762
102,0,1,0.3,0.0,32,0,0,0.07117868214845657,0.43321189284324646
103,0,1,0.09,0.6,32,0,0,0.07301413267850876,0.41378262639045715
104,0,1,0.03,0.9,16,0,0,0.06538811326026917,0.48876744508743286
105,0,1,0.09,0.6,16,0,0,0.06630799174308777,0.47298118472099304
106,0,1,0.05,0.6,16,0,0,0.07199227064847946,0.42380085587501526
107,0,1,0.1,0.6,16,0,0,0.06654761731624603,0.4799635708332062
108,0,1,0.5,0.0,32,0,0,0.06752905994653702,0.46721312403678894
109,0,1,0.5,0.9,16,0,0,0.06884852796792984,0.45780205726623535
110,0,1,0.07,0.6,16,0,0,0.06816903501749039,0.4681238532066345
111,0,1,0.1,0.6,32,0,0,0.07221154868602753,0.4271402657032013
112,0,1,0.5,0.95,32,0,0,0.07435934245586395,0.4004250168800354
113,0,1,0.03,0.9,32,0,0,0.07026471942663193,0.4408014714717865
114,0,1,0.3,0.0,16,0,0,0.06493883579969406,0.4936247766017914
115,0,1,0.1,0.3,16,0,0,0.0711960718035698,0.437158465385437
116,0,1,0.03,0.6,16,0,0,0.076531320810318,0.37917426228523254
117,0,1,0.07,0.6,32,0,0,0.07478860020637512,0.40012142062187195
118,0,1,0.09,0.3,16,0,0,0.07345793396234512,0.41013965010643005
119,0,1,0.07,0.3,16,0,0,0.07276377826929092,0.4171220362186432
120,0,1,0.01,0.95,32,0,0,0.0749487429857254,0.39921069145202637
121,0,1,0.01,0.9,16,0,0,0.07352658361196518,0.4162113070487976
122,0,1,0.09,0.0,32,0,0,0.07797545194625854,0.3585306704044342
123,0,1,0.05,0.9,32,0,0,0.0680924728512764,0.46933817863464355
124,0,1,0.01,0.95,16,0,0,0.0695294737815857,0.4450516104698181
125,0,1,0.1,0.0,16,0,0,0.0746178925037384,0.3925318717956543
126,0,1,0.1,0.3,32,0,0,0.0764530822634697,0.3794778287410736
127,0,1,0.01,0.9,32,0,0,0.07726889848709106,0.3649058938026428
128,0,1,0.3,0.95,16,0,0,0.07391789555549622,0.39799636602401733
129,0,1,0.05,0.3,32,0,0,0.08048120141029358,0.3296903371810913
130,0,1,0.09,0.0,16,0,0,0.07410743832588196,0.39951425790786743
131,0,1,0.05,0.3,16,0,0,0.0769851803779602,0.3761384189128876
132,0,1,0.09,0.3,32,0,0,0.07753752171993256,0.36672738194465637
133,0,1,0.07,0.3,32,0,0,0.07780443876981735,0.3585306704044342
134,0,1,0.05,0.6,32,0,0,0.07714781910181046,0.3585306704044342
135,0,1,0.03,0.6,32,0,0,0.08019442111253738,0.3245294392108917
136,0,1,0.01,0.6,16,0,0,0.08240734040737152,0.2972070574760437
137,0,1,0.05,0.0,16,0,0,0.07877689599990845,0.34729811549186707
138,0,1,0.07,0.0,16,0,0,0.07698827236890793,0.3706739544868469
139,0,1,0.07,0.0,32,0,0,0.08031323552131653,0.3230115473270416
140,0,1,0.1,0.0,32,0,0,0.0791039913892746,0.3491196036338806
141,0,1,0.03,0.3,16,0,0,0.0813269168138504,0.31997570395469666
142,0,1,0.05,0.0,32,0,0,0.0832395926117897,0.2732240557670593
143,0,1,0.03,0.3,32,0,0,0.08444425463676453,0.26168790459632874
144,0,1,0.03,0.0,16,0,0,0.08435224741697311,0.25591984391212463
145,0,1,0.03,0.0,32,0,0,0.08627698570489883,0.22161506116390228
146,0,1,0.01,0.6,32,0,0,0.08628290146589279,0.2122040092945099
147,0,1,0.01,0.3,16,0,0,0.08630029112100601,0.21948997676372528
148,0,1,0.01,0.0,32,0,0,0.08953644335269928,0.13721919059753418
149,0,1,0.01,0.3,32,0,0,0.08947353065013885,0.1457194834947586
150,0,1,0.5,0.95,16,0,0,0.08931498974561691,0.15604129433631897
151,0,1,0.01,0.0,16,0,0,0.08817988634109497,0.17516696453094482
