,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.7322
1,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.72410005
2,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.7127
3,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.71250004
4,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.7102
5,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.70690006
6,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.70600003
7,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.7049
8,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.70180005
9,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.69920003
10,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.69860005
11,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.6872
12,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.6861
13,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.68460006
14,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.66300005
15,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.6542
16,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.65330005
17,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.651
18,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.6485
19,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.63720006
20,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.6316
21,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.62630004
22,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.61960006
23,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.6147
24,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.6107
25,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.60330003
26,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.6032
27,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.6018
28,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.5928
29,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.57670003
30,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.574
31,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.56920004
32,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.5554
33,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.555
34,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.5339
35,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.53110003
36,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.52830005
37,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.51970005
38,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.5023
39,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.50020003
40,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.4947
41,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.49040002
42,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.48880002
43,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.46480003
44,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.46390003
