,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1,0.8611023
1,1,-1,0.01,0.01,8,0.5,0.3,-1,0.86062944
2,1,-1,0.01,0.01,8,0.3,0.6,-1,0.85959786
3,1,-1,0.01,0.01,8,0.5,0.0,-1,0.8592626
4,1,-1,0.01,0.01,16,0.5,0.6,-1,0.859254
5,1,-1,0.01,0.01,16,0.5,0.3,-1,0.8568125
6,1,-1,0.01,0.01,8,0.3,0.3,-1,0.85665774
7,1,-1,0.01,0.01,16,0.3,0.6,-1,0.85527366
8,1,-1,0.01,0.01,8,0.3,0.0,-1,0.8543624
9,1,-1,0.01,0.01,32,0.5,0.6,-1,0.85349417
10,1,-1,0.01,0.01,8,0.3,0.9,-1,0.85281503
11,1,-1,0.01,0.01,16,0.5,0.0,-1,0.8520499
12,1,-1,0.01,0.01,16,0.5,0.9,-1,0.8510011
13,1,-1,0.01,0.01,16,0.3,0.3,-1,0.85045093
14,1,-1,0.01,0.01,8,0.1,0.6,-1,0.85025316
15,1,-1,0.01,0.01,16,0.3,0.9,-1,0.8487917
16,1,-1,0.01,0.01,8,0.1,0.9,-1,0.84848225
17,1,-1,0.01,0.01,32,0.5,0.9,-1,0.8477429
18,1,-1,0.01,0.01,32,0.5,0.3,-1,0.8463331
19,1,-1,0.01,0.01,8,0.5,0.9,-1,0.8443558
20,1,-1,0.01,0.01,32,0.3,0.6,-1,0.8440291
21,1,-1,0.01,0.01,16,0.3,0.0,-1,0.8437712
22,1,-1,0.01,0.01,8,0.1,0.3,-1,0.84342736
23,1,-1,0.01,0.01,32,0.3,0.9,-1,0.8403927
24,1,-1,0.01,0.01,8,0.1,0.0,-1,0.83887106
25,1,-1,0.01,0.01,8,0.05,0.6,-1,0.8383037
26,1,-1,0.01,0.01,32,0.5,0.0,-1,0.8382779
27,1,-1,0.01,0.01,16,0.1,0.6,-1,0.83820915
28,1,-1,0.01,0.01,16,0.1,0.9,-1,0.8367563
29,1,-1,0.01,0.01,8,0.05,0.9,-1,0.83549255
30,1,-1,0.01,0.01,8,0.03,0.9,-1,0.834461
31,1,-1,0.01,0.01,8,0.05,0.3,-1,0.82726544
32,1,-1,0.01,0.01,8,0.03,0.6,-1,0.8258556
33,1,-1,0.01,0.01,32,0.3,0.3,-1,0.82569224
34,1,-1,0.01,0.01,16,0.1,0.3,-1,0.81997544
35,1,-1,0.01,0.01,32,0.3,0.0,-1,0.81678605
36,1,-1,0.01,0.01,8,0.05,0.0,-1,0.8144391
37,1,-1,0.01,0.01,8,0.01,0.9,-1,0.8113701
38,1,-1,0.01,0.01,16,0.03,0.9,-1,0.8100462
39,1,-1,0.01,0.01,32,0.1,0.9,-1,0.8094702
40,1,-1,0.01,0.01,16,0.05,0.6,-1,0.8069685
41,1,-1,0.01,0.01,32,0.1,0.6,-1,0.80640113
42,1,-1,0.01,0.01,8,0.03,0.3,-1,0.804699
43,1,-1,0.01,0.01,16,0.1,0.0,-1,0.80452704
44,1,-1,0.01,0.01,16,0.05,0.3,-1,0.7913568
45,1,-1,0.01,0.01,16,0.03,0.6,-1,0.78937095
46,1,-1,0.01,0.01,32,0.1,0.3,-1,0.7838347
47,1,-1,0.01,0.01,16,0.05,0.9,-1,0.7781866
48,1,-1,0.01,0.01,16,0.05,0.0,-1,0.77627814
49,1,-1,0.01,0.01,32,0.05,0.6,-1,0.77571934
50,1,-1,0.01,0.01,16,0.01,0.9,-1,0.77487683
51,1,-1,0.01,0.01,32,0.1,0.0,-1,0.7720313
52,1,-1,0.01,0.01,8,0.03,0.0,-1,0.7714124
53,1,-1,0.01,0.01,32,0.05,0.9,-1,0.76429427
54,1,-1,0.01,0.01,16,0.03,0.3,-1,0.76162064
55,1,-1,0.01,0.01,32,0.05,0.3,-1,0.75295514
56,1,-1,0.01,0.01,32,0.03,0.6,-1,0.75010103
57,1,-1,0.01,0.01,32,0.03,0.9,-1,0.74256164
58,1,-1,0.01,0.01,8,0.01,0.6,-1,0.7382633
