,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1,0.85401
1,1,-1,0.01,0.01,8,0.5,0.3,-1,0.8512504
2,1,-1,0.01,0.01,8,0.3,0.6,-1,0.85034776
3,1,-1,0.01,0.01,16,0.5,0.6,-1,0.8493849
4,1,-1,0.01,0.01,8,0.5,0.9,-1,0.84855103
5,1,-1,0.01,0.01,16,0.5,0.9,-1,0.84750223
6,1,-1,0.01,0.01,8,0.5,0.0,-1,0.8473561
7,1,-1,0.01,0.01,8,0.3,0.9,-1,0.8447599
8,1,-1,0.01,0.01,8,0.3,0.3,-1,0.84468246
9,1,-1,0.01,0.01,16,0.5,0.3,-1,0.844373
10,1,-1,0.01,0.01,16,0.3,0.6,-1,0.84336716
11,1,-1,0.01,0.01,16,0.3,0.9,-1,0.8425075
12,1,-1,0.01,0.01,8,0.3,0.0,-1,0.8403927
13,1,-1,0.01,0.01,16,0.5,0.0,-1,0.8402294
14,1,-1,0.01,0.01,8,0.1,0.9,-1,0.8373065
15,1,-1,0.01,0.01,32,0.5,0.6,-1,0.8353808
16,1,-1,0.01,0.01,8,0.1,0.6,-1,0.83468443
17,1,-1,0.01,0.01,16,0.3,0.3,-1,0.83177876
18,1,-1,0.01,0.01,32,0.5,0.9,-1,0.83092767
19,1,-1,0.01,0.01,16,0.3,0.0,-1,0.8277727
20,1,-1,0.01,0.01,32,0.5,0.3,-1,0.8255977
21,1,-1,0.01,0.01,32,0.3,0.9,-1,0.8250389
22,1,-1,0.01,0.01,8,0.1,0.3,-1,0.82464343
23,1,-1,0.01,0.01,32,0.3,0.6,-1,0.81882346
24,1,-1,0.01,0.01,8,0.03,0.9,-1,0.8165711
25,1,-1,0.01,0.01,8,0.05,0.9,-1,0.8154363
26,1,-1,0.01,0.01,16,0.1,0.9,-1,0.81485176
27,1,-1,0.01,0.01,8,0.05,0.6,-1,0.8125822
28,1,-1,0.01,0.01,8,0.1,0.0,-1,0.80849874
29,1,-1,0.01,0.01,16,0.1,0.6,-1,0.80648714
30,1,-1,0.01,0.01,32,0.5,0.0,-1,0.7995238
31,1,-1,0.01,0.01,32,0.3,0.3,-1,0.79349744
32,1,-1,0.01,0.01,32,0.3,0.0,-1,0.78564
33,1,-1,0.01,0.01,8,0.05,0.3,-1,0.785064
34,1,-1,0.01,0.01,8,0.03,0.6,-1,0.782889
35,1,-1,0.01,0.01,16,0.1,0.3,-1,0.77963084
36,1,-1,0.01,0.01,16,0.05,0.9,-1,0.7768627
37,1,-1,0.01,0.01,32,0.1,0.6,-1,0.77296835
38,1,-1,0.01,0.01,32,0.1,0.9,-1,0.7707074
39,1,-1,0.01,0.01,16,0.05,0.6,-1,0.7664176
40,1,-1,0.01,0.01,8,0.05,0.0,-1,0.7633744
41,1,-1,0.01,0.01,16,0.1,0.0,-1,0.7622568
42,1,-1,0.01,0.01,8,0.01,0.9,-1,0.7587064
43,1,-1,0.01,0.01,16,0.03,0.9,-1,0.7583281
44,1,-1,0.01,0.01,8,0.03,0.3,-1,0.74787444
45,1,-1,0.01,0.01,32,0.1,0.3,-1,0.7450891
46,1,-1,0.01,0.01,16,0.05,0.3,-1,0.7416074
47,1,-1,0.01,0.01,16,0.03,0.6,-1,0.7385298
48,1,-1,0.01,0.01,32,0.03,0.9,-1,0.7272852
49,1,-1,0.01,0.01,32,0.05,0.6,-1,0.72670066
50,1,-1,0.01,0.01,16,0.05,0.0,-1,0.71768266
51,1,-1,0.01,0.01,32,0.1,0.0,-1,0.7175279
52,1,-1,0.01,0.01,8,0.03,0.0,-1,0.7149145
53,1,-1,0.01,0.01,16,0.01,0.9,-1,0.7129716
54,1,-1,0.01,0.01,16,0.03,0.3,-1,0.6987956
55,1,-1,0.01,0.01,32,0.05,0.3,-1,0.68835914
56,1,-1,0.01,0.01,32,0.03,0.6,-1,0.682307
57,1,-1,0.01,0.01,8,0.01,0.6,-1,0.677192
58,1,-1,0.01,0.01,32,0.05,0.0,-1,0.65845966
59,1,-1,0.01,0.01,32,0.01,0.9,-1,0.65132433
60,1,-1,0.01,0.01,32,0.05,0.9,-1,0.6466993
