,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.0,-1,0.8626755
1,1,-1,0.01,0.01,8,0.5,0.3,-1,0.86242616
2,1,-1,0.01,0.01,8,0.3,0.3,-1,0.8620393
3,1,-1,0.01,0.01,8,0.3,0.0,-1,0.8617556
4,1,-1,0.01,0.01,8,0.3,0.6,-1,0.8610679
5,1,-1,0.01,0.01,16,0.5,0.6,-1,0.86038876
6,1,-1,0.01,0.01,8,0.1,0.6,-1,0.86032
7,1,-1,0.01,0.01,32,0.5,0.6,-1,0.8599933
8,1,-1,0.01,0.01,8,0.5,0.6,-1,0.8599073
9,1,-1,0.01,0.01,16,0.5,0.3,-1,0.8597784
10,1,-1,0.01,0.01,16,0.3,0.6,-1,0.8594603
11,1,-1,0.01,0.01,16,0.5,0.0,-1,0.85921097
12,1,-1,0.01,0.01,32,0.5,0.3,-1,0.8573799
13,1,-1,0.01,0.01,32,0.5,0.0,-1,0.85648584
14,1,-1,0.01,0.01,16,0.1,0.6,-1,0.85511893
15,1,-1,0.01,0.01,32,0.3,0.6,-1,0.8547579
16,1,-1,0.01,0.01,16,0.3,0.3,-1,0.85376924
17,1,-1,0.01,0.01,8,0.3,0.9,-1,0.85273767
18,1,-1,0.01,0.01,16,0.3,0.0,-1,0.8521187
19,1,-1,0.01,0.01,16,0.5,0.9,-1,0.85168886
20,1,-1,0.01,0.01,8,0.1,0.3,-1,0.8514911
21,1,-1,0.01,0.01,32,0.3,0.3,-1,0.8512762
22,1,-1,0.01,0.01,32,0.3,0.9,-1,0.8508979
23,1,-1,0.01,0.01,16,0.3,0.9,-1,0.8508636
24,1,-1,0.01,0.01,8,0.1,0.9,-1,0.85034776
25,1,-1,0.01,0.01,16,0.1,0.9,-1,0.8497116
26,1,-1,0.01,0.01,8,0.05,0.3,-1,0.8483017
27,1,-1,0.01,0.01,32,0.5,0.9,-1,0.848104
28,1,-1,0.01,0.01,8,0.5,0.9,-1,0.8470036
29,1,-1,0.01,0.01,8,0.03,0.9,-1,0.8464362
30,1,-1,0.01,0.01,8,0.1,0.0,-1,0.84576565
31,1,-1,0.01,0.01,8,0.05,0.6,-1,0.84532726
32,1,-1,0.01,0.01,32,0.3,0.0,-1,0.84482
33,1,-1,0.01,0.01,8,0.03,0.6,-1,0.83974797
34,1,-1,0.01,0.01,8,0.01,0.9,-1,0.839043
35,1,-1,0.01,0.01,8,0.05,0.9,-1,0.83834666
36,1,-1,0.01,0.01,16,0.1,0.3,-1,0.83805436
37,1,-1,0.01,0.01,16,0.05,0.6,-1,0.83761597
38,1,-1,0.01,0.01,16,0.05,0.9,-1,0.8348736
39,1,-1,0.01,0.01,32,0.1,0.9,-1,0.83408266
40,1,-1,0.01,0.01,32,0.1,0.6,-1,0.8339967
41,1,-1,0.01,0.01,16,0.05,0.3,-1,0.8316068
42,1,-1,0.01,0.01,16,0.1,0.0,-1,0.8250561
43,1,-1,0.01,0.01,32,0.05,0.9,-1,0.8239901
44,1,-1,0.01,0.01,32,0.1,0.3,-1,0.82394713
