,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.9,-1,0.98670006
1,1,-1,0.01,0.01,8,0.5,0.6,-1,0.9861
2,1,-1,0.01,0.01,8,0.3,0.9,-1,0.9836
3,1,-1,0.01,0.01,8,0.5,0.3,-1,0.9829
4,1,-1,0.01,0.01,8,0.3,0.6,-1,0.98190004
5,1,-1,0.01,0.01,8,0.5,0.0,-1,0.97980005
6,1,-1,0.01,0.01,16,0.5,0.6,-1,0.97940004
7,1,-1,0.01,0.01,16,0.5,0.9,-1,0.9789001
8,1,-1,0.01,0.01,8,0.3,0.3,-1,0.97740006
9,1,-1,0.01,0.01,16,0.3,0.9,-1,0.97490007
10,1,-1,0.01,0.01,16,0.5,0.3,-1,0.97470003
11,1,-1,0.01,0.01,8,0.1,0.9,-1,0.97440004
12,1,-1,0.01,0.01,8,0.3,0.0,-1,0.97360003
13,1,-1,0.01,0.01,16,0.3,0.6,-1,0.9728
14,1,-1,0.01,0.01,16,0.5,0.0,-1,0.9692001
15,1,-1,0.01,0.01,8,0.1,0.6,-1,0.96860003
16,1,-1,0.01,0.01,32,0.5,0.6,-1,0.96840006
17,1,-1,0.01,0.01,16,0.3,0.3,-1,0.96700007
18,1,-1,0.01,0.01,8,0.05,0.9,-1,0.96590006
19,1,-1,0.01,0.01,32,0.5,0.3,-1,0.96120006
20,1,-1,0.01,0.01,16,0.3,0.0,-1,0.95980006
21,1,-1,0.01,0.01,32,0.3,0.6,-1,0.95960003
22,1,-1,0.01,0.01,16,0.1,0.9,-1,0.9595001
23,1,-1,0.01,0.01,8,0.1,0.3,-1,0.9585
24,1,-1,0.01,0.01,32,0.5,0.9,-1,0.9574
25,1,-1,0.01,0.01,8,0.03,0.9,-1,0.95660007
26,1,-1,0.01,0.01,32,0.5,0.0,-1,0.95330006
27,1,-1,0.01,0.01,32,0.3,0.9,-1,0.95320004
28,1,-1,0.01,0.01,8,0.05,0.6,-1,0.95170003
29,1,-1,0.01,0.01,16,0.1,0.6,-1,0.95040005
30,1,-1,0.01,0.01,8,0.1,0.0,-1,0.9495
31,1,-1,0.01,0.01,32,0.3,0.3,-1,0.94890004
32,1,-1,0.01,0.01,16,0.05,0.9,-1,0.9466
33,1,-1,0.01,0.01,32,0.1,0.9,-1,0.9401001
34,1,-1,0.01,0.01,8,0.05,0.3,-1,0.93970007
35,1,-1,0.01,0.01,32,0.3,0.0,-1,0.93970007
36,1,-1,0.01,0.01,8,0.03,0.6,-1,0.938
37,1,-1,0.01,0.01,16,0.1,0.3,-1,0.9376
38,1,-1,0.01,0.01,16,0.03,0.9,-1,0.9347001
39,1,-1,0.01,0.01,8,0.05,0.0,-1,0.9311001
40,1,-1,0.01,0.01,16,0.05,0.6,-1,0.9301
41,1,-1,0.01,0.01,32,0.1,0.6,-1,0.92950004
42,1,-1,0.01,0.01,16,0.1,0.0,-1,0.92670006
43,1,-1,0.01,0.01,8,0.01,0.9,-1,0.92630005
44,1,-1,0.01,0.01,8,0.03,0.3,-1,0.92570007
45,1,-1,0.01,0.01,32,0.05,0.9,-1,0.92520005
46,1,-1,0.01,0.01,8,0.03,0.0,-1,0.9186
47,1,-1,0.01,0.01,16,0.05,0.3,-1,0.91650003
48,1,-1,0.01,0.01,16,0.03,0.6,-1,0.9154
49,1,-1,0.01,0.01,32,0.1,0.3,-1,0.91520005
50,1,-1,0.01,0.01,32,0.03,0.9,-1,0.91420007
51,1,-1,0.01,0.01,8,0.01,0.6,-1,0.91220003
52,1,-1,0.01,0.01,32,0.05,0.6,-1,0.91060007
53,1,-1,0.01,0.01,16,0.05,0.0,-1,0.9103
54,1,-1,0.01,0.01,16,0.01,0.9,-1,0.90800005
55,1,-1,0.01,0.01,32,0.1,0.0,-1,0.90790004
56,1,-1,0.01,0.01,16,0.03,0.3,-1,0.90760005
57,1,-1,0.01,0.01,16,0.03,0.0,-1,0.90010005
58,1,-1,0.01,0.01,32,0.05,0.3,-1,0.8995001
59,1,-1,0.01,0.01,32,0.03,0.6,-1,0.8988
60,1,-1,0.01,0.01,32,0.05,0.0,-1,0.89220005
61,1,-1,0.01,0.01,16,0.01,0.6,-1,0.8916
62,1,-1,0.01,0.01,8,0.01,0.3,-1,0.8909
63,1,-1,0.01,0.01,32,0.01,0.9,-1,0.89000005
64,1,-1,0.01,0.01,32,0.03,0.3,-1,0.88760006
65,1,-1,0.01,0.01,32,0.03,0.0,-1,0.87790006
66,1,-1,0.01,0.01,32,0.01,0.6,-1,0.86560005
67,1,-1,0.01,0.01,16,0.01,0.3,-1,0.85990006
68,1,-1,0.01,0.01,8,0.01,0.0,-1,0.85410005
69,1,-1,0.01,0.01,32,0.01,0.3,-1,0.7982
70,1,-1,0.01,0.01,16,0.01,0.0,-1,0.78610003
