,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.9,-1,0.984
1,1,-1,0.01,0.01,8,0.3,0.9,-1,0.9818
2,1,-1,0.01,0.01,8,0.5,0.6,-1,0.98100007
3,1,-1,0.01,0.01,16,0.5,0.9,-1,0.97580004
4,1,-1,0.01,0.01,8,0.5,0.3,-1,0.9757
5,1,-1,0.01,0.01,8,0.3,0.6,-1,0.97540003
6,1,-1,0.01,0.01,8,0.5,0.0,-1,0.9728
7,1,-1,0.01,0.01,16,0.5,0.6,-1,0.9728
8,1,-1,0.01,0.01,16,0.3,0.9,-1,0.97060007
9,1,-1,0.01,0.01,8,0.3,0.3,-1,0.9692001
10,1,-1,0.01,0.01,8,0.1,0.9,-1,0.96800005
11,1,-1,0.01,0.01,16,0.3,0.6,-1,0.9642
12,1,-1,0.01,0.01,16,0.5,0.3,-1,0.96410006
13,1,-1,0.01,0.01,8,0.3,0.0,-1,0.96220005
14,1,-1,0.01,0.01,32,0.5,0.6,-1,0.95910007
15,1,-1,0.01,0.01,16,0.5,0.0,-1,0.95680004
16,1,-1,0.01,0.01,8,0.05,0.9,-1,0.95430005
17,1,-1,0.01,0.01,32,0.5,0.9,-1,0.95360005
18,1,-1,0.01,0.01,8,0.1,0.6,-1,0.95220006
19,1,-1,0.01,0.01,32,0.3,0.9,-1,0.95150006
20,1,-1,0.01,0.01,16,0.3,0.3,-1,0.9495
21,1,-1,0.01,0.01,32,0.5,0.3,-1,0.94690007
22,1,-1,0.01,0.01,32,0.3,0.6,-1,0.94530004
23,1,-1,0.01,0.01,16,0.1,0.9,-1,0.94200003
24,1,-1,0.01,0.01,8,0.03,0.9,-1,0.9408001
25,1,-1,0.01,0.01,16,0.3,0.0,-1,0.938
26,1,-1,0.01,0.01,16,0.05,0.9,-1,0.9373
27,1,-1,0.01,0.01,32,0.5,0.0,-1,0.93610007
28,1,-1,0.01,0.01,8,0.1,0.3,-1,0.93050003
29,1,-1,0.01,0.01,32,0.3,0.3,-1,0.92920005
30,1,-1,0.01,0.01,32,0.1,0.9,-1,0.92700005
31,1,-1,0.01,0.01,16,0.1,0.6,-1,0.92620003
32,1,-1,0.01,0.01,16,0.03,0.9,-1,0.92030007
33,1,-1,0.01,0.01,32,0.05,0.9,-1,0.91620004
34,1,-1,0.01,0.01,32,0.3,0.0,-1,0.9161
35,1,-1,0.01,0.01,8,0.05,0.6,-1,0.915
36,1,-1,0.01,0.01,8,0.1,0.0,-1,0.90870005
37,1,-1,0.01,0.01,32,0.1,0.6,-1,0.90320003
38,1,-1,0.01,0.01,32,0.03,0.9,-1,0.90260005
39,1,-1,0.01,0.01,16,0.1,0.3,-1,0.90150005
40,1,-1,0.01,0.01,16,0.05,0.6,-1,0.88610005
41,1,-1,0.01,0.01,8,0.05,0.3,-1,0.88140005
42,1,-1,0.01,0.01,8,0.03,0.6,-1,0.8783001
43,1,-1,0.01,0.01,16,0.1,0.0,-1,0.87470007
44,1,-1,0.01,0.01,32,0.1,0.3,-1,0.8733
45,1,-1,0.01,0.01,32,0.05,0.6,-1,0.8561
46,1,-1,0.01,0.01,8,0.05,0.0,-1,0.84950006
47,1,-1,0.01,0.01,16,0.05,0.3,-1,0.83730006
48,1,-1,0.01,0.01,32,0.1,0.0,-1,0.8371
49,1,-1,0.01,0.01,8,0.01,0.9,-1,0.8363
50,1,-1,0.01,0.01,16,0.03,0.6,-1,0.83550006
51,1,-1,0.01,0.01,8,0.03,0.3,-1,0.83360004
52,1,-1,0.01,0.01,8,0.03,0.0,-1,0.81490004
53,1,-1,0.01,0.01,16,0.05,0.0,-1,0.80880004
54,1,-1,0.01,0.01,16,0.01,0.9,-1,0.80380005
55,1,-1,0.01,0.01,16,0.03,0.3,-1,0.79920006
56,1,-1,0.01,0.01,32,0.05,0.3,-1,0.79920006
57,1,-1,0.01,0.01,8,0.01,0.6,-1,0.79600006
58,1,-1,0.01,0.01,32,0.03,0.6,-1,0.79510003
59,1,-1,0.01,0.01,16,0.03,0.0,-1,0.7803
60,1,-1,0.01,0.01,32,0.05,0.0,-1,0.77400005
61,1,-1,0.01,0.01,32,0.01,0.9,-1,0.76940006
62,1,-1,0.01,0.01,32,0.03,0.3,-1,0.76150006
63,1,-1,0.01,0.01,16,0.01,0.6,-1,0.76100004
64,1,-1,0.01,0.01,8,0.01,0.3,-1,0.7562
65,1,-1,0.01,0.01,32,0.03,0.0,-1,0.74420005
66,1,-1,0.01,0.01,32,0.01,0.6,-1,0.71900004
67,1,-1,0.01,0.01,16,0.01,0.3,-1,0.70460004
68,1,-1,0.01,0.01,8,0.01,0.0,-1,0.6933
69,1,-1,0.01,0.01,32,0.01,0.3,-1,0.6322
70,1,-1,0.01,0.01,16,0.01,0.0,-1,0.6082
71,1,-1,0.01,0.01,32,0.01,0.0,-1,0.522
