,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.3,0.6,-1.0,0.98840004
1,1,-1,0.01,0.01,8,0.3,0.9,-1.0,0.9883
2,1,-1,0.01,0.01,8,0.5,0.9,-1.0,0.9883
3,1,-1,0.01,0.01,8,0.5,0.3,-1.0,0.98800004
4,1,-1,0.01,0.01,8,0.5,0.0,-1.0,0.9875001
5,1,-1,0.01,0.01,16,0.5,0.6,-1.0,0.98700005
6,1,-1,0.01,0.01,8,0.5,0.6,-1.0,0.98690003
7,1,-1,0.01,0.01,16,0.5,0.9,-1.0,0.98590004
8,1,-1,0.01,0.01,8,0.3,0.3,-1.0,0.98550004
9,1,-1,0.01,0.01,8,0.1,0.9,-1.0,0.98510003
10,1,-1,0.01,0.01,16,0.5,0.3,-1.0,0.98490006
11,1,-1,0.01,0.01,8,0.3,0.0,-1.0,0.98450005
12,1,-1,0.01,0.01,16,0.3,0.9,-1.0,0.98450005
13,1,-1,0.01,0.01,8,0.1,0.3,-1.0,0.98380005
14,1,-1,0.01,0.01,8,0.05,0.9,-1.0,0.98370004
15,1,-1,0.01,0.01,16,0.3,0.6,-1.0,0.98210007
16,1,-1,0.01,0.01,16,0.1,0.6,-1.0,0.98200005
17,1,-1,0.01,0.01,16,0.5,0.0,-1.0,0.98200005
18,1,-1,0.01,0.01,32,0.5,0.6,-1.0,0.98190004
19,1,-1,0.01,0.01,8,0.1,0.6,-1.0,0.98170006
20,1,-1,0.01,0.01,16,0.1,0.9,-1.0,0.98030007
21,1,-1,0.01,0.01,16,0.3,0.3,-1.0,0.9797
22,1,-1,0.01,0.01,32,0.5,0.9,-1.0,0.97940004
23,1,-1,0.01,0.01,32,0.5,0.3,-1.0,0.97920007
24,1,-1,0.01,0.01,16,0.3,0.0,-1.0,0.97830003
25,1,-1,0.01,0.01,32,0.3,0.6,-1.0,0.97810006
26,1,-1,0.01,0.01,32,0.3,0.9,-1.0,0.97690004
27,1,-1,0.01,0.01,8,0.1,0.0,-1.0,0.97630006
28,1,-1,0.01,0.01,8,0.05,0.6,-1.0,0.9761
29,1,-1,0.01,0.01,8,0.03,0.9,-1.0,0.9757
30,1,-1,0.01,0.01,32,0.3,0.3,-1.0,0.97480005
31,1,-1,0.01,0.01,32,0.5,0.0,-1.0,0.97400004
32,1,-1,0.01,0.01,16,0.05,0.9,-1.0,0.9735001
33,1,-1,0.01,0.01,8,0.05,0.3,-1.0,0.9725
34,1,-1,0.01,0.01,16,0.03,0.9,-1.0,0.97
35,1,-1,0.01,0.01,32,0.3,0.0,-1.0,0.96940005
36,1,-1,0.01,0.01,32,0.1,0.9,-1.0,0.9689
37,1,-1,0.01,0.01,16,0.1,0.3,-1.0,0.9685
38,1,-1,0.01,0.01,8,0.03,0.6,-1.0,0.9642
39,1,-1,0.01,0.01,8,0.01,0.9,-1.0,0.96300006
40,1,-1,0.01,0.01,8,0.05,0.0,-1.0,0.96140003
41,1,-1,0.01,0.01,16,0.1,0.0,-1.0,0.96120006
42,1,-1,0.01,0.01,8,0.03,0.3,-1.0,0.9581
43,1,-1,0.01,0.01,16,0.05,0.6,-1.0,0.95730007
44,1,-1,0.01,0.01,32,0.1,0.6,-1.0,0.95730007
45,1,-1,0.01,0.01,16,0.01,0.9,-1.0,0.95680004
46,1,-1,0.01,0.01,32,0.03,0.9,-1.0,0.95400006
47,1,-1,0.01,0.01,16,0.05,0.3,-1.0,0.95330006
48,1,-1,0.01,0.01,32,0.05,0.9,-1.0,0.9523001
49,1,-1,0.01,0.01,16,0.05,0.0,-1.0,0.9506
50,1,-1,0.01,0.01,32,0.1,0.3,-1.0,0.95000005
51,1,-1,0.01,0.01,16,0.03,0.6,-1.0,0.9487001
52,1,-1,0.01,0.01,8,0.03,0.0,-1.0,0.94820005
53,1,-1,0.01,0.01,8,0.01,0.6,-1.0,0.9452
54,1,-1,0.01,0.01,32,0.05,0.6,-1.0,0.94380003
55,1,-1,0.01,0.01,32,0.1,0.0,-1.0,0.9427
56,1,-1,0.01,0.01,16,0.03,0.3,-1.0,0.94020003
57,1,-1,0.01,0.01,32,0.05,0.3,-1.0,0.9376
58,1,-1,0.01,0.01,16,0.03,0.0,-1.0,0.93430007
59,1,-1,0.01,0.01,32,0.03,0.6,-1.0,0.93210006
60,1,-1,0.01,0.01,16,0.01,0.6,-1.0,0.9251
61,1,-1,0.01,0.01,32,0.05,0.0,-1.0,0.92420006
62,1,-1,0.01,0.01,8,0.01,0.3,-1.0,0.91990006
63,1,-1,0.01,0.01,32,0.01,0.9,-1.0,0.9172
64,1,-1,0.01,0.01,32,0.03,0.3,-1.0,0.91620004
65,1,-1,0.01,0.01,32,0.03,0.0,-1.0,0.91420007
66,1,-1,0.01,0.01,16,0.01,0.3,-1.0,0.91310006
67,1,-1,0.01,0.01,32,0.01,0.6,-1.0,0.90880007
68,1,-1,0.01,0.01,8,0.01,0.0,-1.0,0.8985
69,1,-1,0.01,0.01,32,0.01,0.3,-1.0,0.85950005
70,1,-1,0.01,0.01,16,0.01,0.0,-1.0,0.85050005
71,1,-1,0.01,0.01,32,0.01,0.0,-1.0,0.80670005
72,0,1,0.3,0.95,16,0.0,0.0,0.0024595090653747,0.9851875901222228
73,0,1,0.3,0.9,16,0.0,0.0,0.0015132400440052,0.9910260438919068
75,0,1,0.5,0.9,16,0.0,0.0,0.0022368002682924,0.9862687587738036
76,0,1,0.1,0.95,16,0.0,0.0,0.0029124815482646,0.9819439649581908
77,0,1,0.5,0.95,64,0.0,0.0,0.0019214447820559,0.9890798926353456
79,0,1,0.5,0.9,32,0.0,0.0,0.0025002371985465,0.9849713444709778
80,0,1,0.3,0.95,32,0.0,0.0,0.0021387396845966,0.9877824783325196
81,0,1,0.5,0.6,16,0.0,0.0,0.0032340104226022,0.9794572591781616
82,0,1,0.3,0.9,32,0.0,0.0,0.0032657783012837,0.98043030500412
83,0,1,0.07,0.95,16,0.0,0.0,0.0023925462737679,0.9857282042503356
