,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1,0.87926394
1,1,-1,0.01,0.01,8,0.5,0.3,-1,0.87699753
2,1,-1,0.01,0.01,8,0.3,0.6,-1,0.8725415
3,1,-1,0.01,0.01,8,0.5,0.0,-1,0.87035185
4,1,-1,0.01,0.01,16,0.5,0.6,-1,0.86674094
5,1,-1,0.01,0.01,8,0.3,0.3,-1,0.8655501
6,1,-1,0.01,0.01,8,0.5,0.9,-1,0.86251533
7,1,-1,0.01,0.01,16,0.5,0.3,-1,0.8602105
8,1,-1,0.01,0.01,8,0.3,0.9,-1,0.85944223
9,1,-1,0.01,0.01,16,0.5,0.9,-1,0.8571373
10,1,-1,0.01,0.01,8,0.3,0.0,-1,0.8559849
11,1,-1,0.01,0.01,16,0.3,0.6,-1,0.8517594
12,1,-1,0.01,0.01,16,0.3,0.9,-1,0.84607404
13,1,-1,0.01,0.01,16,0.5,0.0,-1,0.8448832
14,1,-1,0.01,0.01,32,0.5,0.6,-1,0.8381223
15,1,-1,0.01,0.01,8,0.1,0.6,-1,0.83685464
16,1,-1,0.01,0.01,32,0.5,0.9,-1,0.8338967
17,1,-1,0.01,0.01,8,0.1,0.9,-1,0.83255225
18,1,-1,0.01,0.01,16,0.3,0.3,-1,0.830862
19,1,-1,0.01,0.01,8,0.1,0.3,-1,0.80558544
20,1,-1,0.01,0.01,16,0.3,0.0,-1,0.8046635
21,1,-1,0.01,0.01,32,0.3,0.9,-1,0.80335736
22,1,-1,0.01,0.01,32,0.5,0.3,-1,0.8011678
23,1,-1,0.01,0.01,8,0.05,0.9,-1,0.7995928
24,1,-1,0.01,0.01,32,0.3,0.6,-1,0.781154
25,1,-1,0.01,0.01,16,0.1,0.9,-1,0.76736325
26,1,-1,0.01,0.01,8,0.1,0.0,-1,0.7605639
27,1,-1,0.01,0.01,8,0.03,0.9,-1,0.7512677
28,1,-1,0.01,0.01,8,0.05,0.6,-1,0.7495006
29,1,-1,0.01,0.01,32,0.5,0.0,-1,0.7422403
30,1,-1,0.01,0.01,16,0.1,0.6,-1,0.6911109
31,1,-1,0.01,0.01,32,0.3,0.3,-1,0.652543
32,1,-1,0.01,0.01,8,0.05,0.3,-1,0.5708359
33,1,-1,0.01,0.01,16,0.05,0.9,-1,0.56484324
34,1,-1,0.01,0.01,8,0.03,0.6,-1,0.45809004
35,1,-1,0.01,0.01,32,0.3,0.0,-1,0.44929317
36,1,-1,0.01,0.01,16,0.1,0.3,-1,0.4151813
37,1,-1,0.01,0.01,32,0.1,0.9,-1,0.40096804
38,1,-1,0.01,0.01,8,0.05,0.0,-1,0.3483021
39,1,-1,0.01,0.01,16,0.03,0.9,-1,0.28979716
40,1,-1,0.01,0.01,8,0.03,0.3,-1,0.25391826
41,1,-1,0.01,0.01,16,0.05,0.6,-1,0.23294407
42,1,-1,0.01,0.01,32,0.05,0.9,-1,0.22975568
43,1,-1,0.01,0.01,16,0.1,0.0,-1,0.22514597
44,1,-1,0.01,0.01,32,0.1,0.6,-1,0.22257221
45,1,-1,0.01,0.01,8,0.03,0.0,-1,0.20574677
46,1,-1,0.01,0.01,8,0.01,0.9,-1,0.20202059
47,1,-1,0.01,0.01,8,0.01,0.6,-1,0.19837123
48,1,-1,0.01,0.01,8,0.01,0.3,-1,0.19771819
49,1,-1,0.01,0.01,16,0.01,0.3,-1,0.1974877
50,1,-1,0.01,0.01,16,0.05,0.3,-1,0.1969499
51,1,-1,0.01,0.01,32,0.03,0.9,-1,0.19637369
52,1,-1,0.01,0.01,16,0.01,0.6,-1,0.19633527
53,1,-1,0.01,0.01,16,0.03,0.6,-1,0.19629686
54,1,-1,0.01,0.01,32,0.1,0.3,-1,0.19629686
55,1,-1,0.01,0.01,32,0.01,0.6,-1,0.19622004
56,1,-1,0.01,0.01,16,0.03,0.0,-1,0.19614321
57,1,-1,0.01,0.01,32,0.03,0.0,-1,0.19606638
58,1,-1,0.01,0.01,16,0.05,0.0,-1,0.19606638
59,1,-1,0.01,0.01,16,0.03,0.3,-1,0.19591272
60,1,-1,0.01,0.01,16,0.01,0.9,-1,0.1958743
61,1,-1,0.01,0.01,32,0.01,0.9,-1,0.1958743
62,1,-1,0.01,0.01,32,0.03,0.3,-1,0.1958743
63,1,-1,0.01,0.01,32,0.03,0.6,-1,0.1958743
64,1,-1,0.01,0.01,32,0.05,0.0,-1,0.1958743
65,1,-1,0.01,0.01,32,0.05,0.3,-1,0.1958743
66,1,-1,0.01,0.01,32,0.05,0.6,-1,0.1958743
67,1,-1,0.01,0.01,32,0.1,0.0,-1,0.1958743
68,1,-1,0.01,0.01,8,0.01,0.0,-1,0.19241703
69,1,-1,0.01,0.01,32,0.01,0.3,-1,0.19061156
70,1,-1,0.01,0.01,16,0.01,0.0,-1,0.18208359
71,1,-1,0.01,0.01,32,0.01,0.0,-1,0.17743546
72,0,1,0.09,0.9,16,0,0,0.014238189905881882,0.9070221185684204
73,0,1,0.07,0.95,32,0,0,0.015881624072790146,0.8970524668693542
74,0,1,0.05,0.95,16,0,0,0.013159865513443947,0.9137408137321472
75,0,1,0.3,0.9,32,0,0,0.0218218807131052,0.8537061214447021
76,0,1,0.05,0.9,32,0,0,0.02333427406847477,0.8417858481407166
77,0,1,0.07,0.95,16,0,0,0.01555442251265049,0.8987863063812256
78,0,1,0.1,0.95,16,0,0,0.018003184348344803,0.8784134984016418
79,0,1,0.07,0.9,32,0,0,0.03009108640253544,0.7873862385749817
80,0,1,0.3,0.3,32,0,0,0.02865392528474331,0.8010402917861938
81,0,1,0.1,0.9,16,0,0,0.01439269445836544,0.9111400246620178
82,0,1,0.03,0.9,16,0,0,0.02500225231051445,0.830082356929779
83,0,1,0.3,0.6,16,0,0,0.017131371423602104,0.887732982635498
84,0,1,0.1,0.6,16,0,0,0.024639232084155083,0.8309493064880371
85,0,1,0.3,0.3,16,0,0,0.023214977234601974,0.8446033596992493
86,0,1,0.5,0.0,32,0,0,0.026941347867250443,0.8123103380203247
87,0,1,0.3,0.0,16,0,0,0.026700664311647415,0.8162115216255188
88,0,1,0.5,0.6,16,0,0,0.014102880842983723,0.9091894030570984
89,0,1,0.5,0.0,16,0,0,0.019033875316381454,0.8751625418663025
90,0,1,0.5,0.6,32,0,0,0.02116391807794571,0.8612917065620422
91,0,1,0.5,0.3,32,0,0,0.02124325931072235,0.8576073050498962
92,0,1,0.1,0.9,32,0,0,0.02042090706527233,0.8617252111434937
93,0,1,0.3,0.9,16,0,0,0.03550082445144653,0.7589943408966064
94,0,1,0.09,0.9,32,0,0,0.023732753470540047,0.8417858481407166
95,0,1,0.5,0.3,16,0,0,0.014426019042730331,0.9081057906150818
96,0,1,0.03,0.95,32,0,0,0.029972894117236137,0.7941048741340637
97,0,1,0.05,0.95,32,0,0,0.02598855085670948,0.8235803842544556
98,0,1,0.03,0.95,16,0,0,0.02407345175743103,0.8374512195587158
99,0,1,0.07,0.9,16,0,0,0.021703897044062614,0.8545730113983154
100,0,1,0.09,0.95,32,0,0,0.020570363849401474,0.8610749840736389
101,0,1,0.1,0.95,32,0,0,0.020791081711649895,0.860424816608429
102,0,1,0.09,0.6,16,0,0,0.029866933822631836,0.7917208671569824
103,0,1,0.05,0.9,16,0,0,0.02815314382314682,0.8034243583679199
104,0,1,0.3,0.6,32,0,0,0.03724527731537819,0.7364542484283447
105,0,1,0.5,0.9,32,0,0,0.03420976176857948,0.7793671488761902
106,0,1,0.09,0.95,16,0,0,0.034053023904561996,0.7581274509429932
107,0,1,0.07,0.6,16,0,0,0.040656138211488724,0.7162982225418091
108,0,1,0.1,0.6,32,0,0,0.05124551057815552,0.6226701140403748
109,0,1,0.03,0.9,32,0,0,0.043767403811216354,0.6785869002342224
110,0,1,0.3,0.95,32,0,0,0.048363909125328064,0.6733853220939636
111,0,1,0.07,0.3,16,0,0,0.05912216007709503,0.5543996691703796
112,0,1,0.09,0.3,16,0,0,0.062063612043857574,0.5264412760734558
