,fedAvgFlag,clientID,client_lr,client_mom,batch_size,server_lr,server_mom,loss,accuracy
0,1,-1,0.01,0.01,8,0.5,0.6,-1,0.8275584
1,1,-1,0.01,0.01,8,0.5,0.9,-1,0.8107329
2,1,-1,0.01,0.01,8,0.3,0.9,-1,0.806661
3,1,-1,0.01,0.01,8,0.3,0.6,-1,0.799708
4,1,-1,0.01,0.01,8,0.5,0.3,-1,0.7980178
5,1,-1,0.01,0.01,16,0.5,0.6,-1,0.7839582
6,1,-1,0.01,0.01,16,0.5,0.9,-1,0.77873385
7,1,-1,0.01,0.01,8,0.5,0.0,-1,0.7751613
8,1,-1,0.01,0.01,16,0.3,0.9,-1,0.7599877
9,1,-1,0.01,0.01,8,0.3,0.3,-1,0.75038415
10,1,-1,0.01,0.01,8,0.1,0.9,-1,0.7387446
11,1,-1,0.01,0.01,16,0.5,0.3,-1,0.71838504
12,1,-1,0.01,0.01,16,0.3,0.6,-1,0.70286566
13,1,-1,0.01,0.01,32,0.5,0.9,-1,0.67962503
14,1,-1,0.01,0.01,8,0.3,0.0,-1,0.67282575
15,1,-1,0.01,0.01,32,0.5,0.6,-1,0.65258145
16,1,-1,0.01,0.01,16,0.5,0.0,-1,0.63675475
17,1,-1,0.01,0.01,32,0.3,0.9,-1,0.57367855
18,1,-1,0.01,0.01,16,0.3,0.3,-1,0.5712584
19,1,-1,0.01,0.01,8,0.05,0.9,-1,0.55996466
20,1,-1,0.01,0.01,8,0.1,0.6,-1,0.553972
21,1,-1,0.01,0.01,16,0.1,0.9,-1,0.50503224
22,1,-1,0.01,0.01,32,0.5,0.3,-1,0.48924398
23,1,-1,0.01,0.01,16,0.3,0.0,-1,0.46250767
24,1,-1,0.01,0.01,32,0.3,0.6,-1,0.43976644
25,1,-1,0.01,0.01,8,0.1,0.3,-1,0.43342808
26,1,-1,0.01,0.01,8,0.03,0.9,-1,0.3963199
27,1,-1,0.01,0.01,32,0.5,0.0,-1,0.37154272
28,1,-1,0.01,0.01,8,0.1,0.0,-1,0.35064536
29,1,-1,0.01,0.01,8,0.05,0.6,-1,0.3418869
30,1,-1,0.01,0.01,16,0.1,0.6,-1,0.32882604
31,1,-1,0.01,0.01,32,0.3,0.3,-1,0.26986018
32,1,-1,0.01,0.01,16,0.05,0.9,-1,0.25184387
33,1,-1,0.01,0.01,8,0.05,0.3,-1,0.218193
34,1,-1,0.01,0.01,8,0.05,0.0,-1,0.2125461
35,1,-1,0.01,0.01,8,0.03,0.3,-1,0.20832053
36,1,-1,0.01,0.01,8,0.03,0.6,-1,0.20785955
37,1,-1,0.01,0.01,16,0.1,0.3,-1,0.19925477
38,1,-1,0.01,0.01,16,0.05,0.0,-1,0.19622004
39,1,-1,0.01,0.01,32,0.05,0.6,-1,0.19568223
40,1,-1,0.01,0.01,32,0.1,0.3,-1,0.19487554
41,1,-1,0.01,0.01,32,0.1,0.0,-1,0.19326213
42,1,-1,0.01,0.01,32,0.3,0.0,-1,0.19184081
43,1,-1,0.01,0.01,8,0.03,0.0,-1,0.19137983
44,1,-1,0.01,0.01,16,0.03,0.3,-1,0.19072679
45,1,-1,0.01,0.01,32,0.1,0.6,-1,0.18285187
46,1,-1,0.01,0.01,8,0.01,0.9,-1,0.18223724
47,1,-1,0.01,0.01,32,0.1,0.9,-1,0.1807775
48,1,-1,0.01,0.01,32,0.05,0.0,-1,0.17877996
49,1,-1,0.01,0.01,32,0.05,0.9,-1,0.17874154
50,1,-1,0.01,0.01,32,0.01,0.9,-1,0.17816533
51,1,-1,0.01,0.01,16,0.01,0.9,-1,0.17609096
52,1,-1,0.01,0.01,8,0.01,0.6,-1,0.17175014
53,1,-1,0.01,0.01,16,0.03,0.0,-1,0.16967578
54,1,-1,0.01,0.01,32,0.03,0.3,-1,0.16744775
55,1,-1,0.01,0.01,16,0.03,0.9,-1,0.16667947
56,1,-1,0.01,0.01,32,0.03,0.9,-1,0.16652581
57,1,-1,0.01,0.01,32,0.05,0.3,-1,0.1611094
58,1,-1,0.01,0.01,32,0.03,0.0,-1,0.16076367
59,1,-1,0.01,0.01,16,0.01,0.6,-1,0.16018745
60,1,-1,0.01,0.01,16,0.1,0.0,-1,0.15953441
61,1,-1,0.01,0.01,32,0.01,0.6,-1,0.1592271
62,1,-1,0.01,0.01,32,0.03,0.6,-1,0.15722956
63,1,-1,0.01,0.01,16,0.05,0.3,-1,0.15323448
64,1,-1,0.01,0.01,16,0.05,0.6,-1,0.15173632
65,1,-1,0.01,0.01,16,0.03,0.6,-1,0.1479333
66,1,-1,0.01,0.01,8,0.01,0.3,-1,0.1433236
67,1,-1,0.01,0.01,16,0.01,0.3,-1,0.13871388
68,1,-1,0.01,0.01,32,0.01,0.3,-1,0.13456514
69,1,-1,0.01,0.01,8,0.01,0.0,-1,0.11474339
70,1,-1,0.01,0.01,16,0.01,0.0,-1,0.11170866
71,1,-1,0.01,0.01,32,0.01,0.0,-1,0.10556238
72,0,1,0.09,0.95,32,0,0,0.016511233523488045,0.8922190070152283
73,0,1,0.5,0.6,32,0,0,0.01643315516412258,0.8881844282150269
74,0,1,0.09,0.9,16,0,0,0.012567917816340923,0.9170028567314148
75,0,1,0.5,0.6,16,0,0,0.008932557888329029,0.9429394602775574
76,0,1,0.07,0.9,16,0,0,0.01538262888789177,0.8974063396453857
77,0,1,0.5,0.3,16,0,0,0.010171226225793362,0.9354466795921326
78,0,1,0.3,0.3,16,0,0,0.015438342466950417,0.8968299627304077
79,0,1,0.5,0.0,16,0,0,0.014816428534686565,0.908933699131012
80,0,1,0.1,0.9,16,0,0,0.00988323986530304,0.9354466795921326
81,0,1,0.3,0.6,32,0,0,0.017708415165543556,0.8864553570747375
82,0,1,0.01,0.95,16,0,0,0.026992885395884514,0.8219020366668701
83,0,1,0.3,0.6,16,0,0,0.012622627429664135,0.9164265394210815
84,0,1,0.09,0.9,32,0,0,0.01767459698021412,0.8778098225593567
85,0,1,0.5,0.9,32,0,0,0.014812844805419445,0.9025936722755432
86,0,1,0.3,0.0,16,0,0,0.02092610113322735,0.8587896227836609
87,0,1,0.05,0.95,16,0,0,0.010891100391745567,0.9296829700469971
88,0,1,0.07,0.6,16,0,0,0.028887882828712463,0.8028818368911743
89,0,1,0.09,0.95,16,0,0,0.022281305864453316,0.85014408826828
90,0,1,0.05,0.3,16,0,0,0.045065656304359436,0.679538905620575
91,0,1,0.07,0.3,16,0,0,0.035623062402009964,0.7550432085990906
92,0,1,0.01,0.3,16,0,0,0.056824687868356705,0.5769452452659607
93,0,1,0.03,0.6,32,0,0,0.05701424181461334,0.5838616490364075
94,0,1,0.09,0.6,16,0,0,0.055817071348428726,0.5769452452659607
95,0,1,0.03,0.3,16,0,0,0.05635321885347366,0.5804034471511841
96,0,1,0.03,0.0,16,0,0,0.05741327255964279,0.5757924914360046
97,0,1,0.5,0.0,32,0,0,0.05626819655299187,0.5752161145210266
98,0,1,0.1,0.0,16,0,0,0.05638839676976204,0.5786743760108948
99,0,1,0.1,0.6,32,0,0,0.056747712194919586,0.5804034471511841
100,0,1,0.05,0.6,32,0,0,0.055803798139095306,0.5729106664657593
101,0,1,0.05,0.9,32,0,0,0.05715140700340271,0.5769452452659607
102,0,1,0.05,0.95,32,0,0,0.05546385049819946,0.5752161145210266
103,0,1,0.07,0.0,32,0,0,0.05747280642390251,0.5694524645805359
104,0,1,0.07,0.3,32,0,0,0.05717005208134651,0.5780979990959167
105,0,1,0.07,0.6,32,0,0,0.05644834041595459,0.5769452452659607
106,0,1,0.05,0.3,32,0,0,0.05691144987940788,0.5648415088653564
107,0,1,0.07,0.9,32,0,0,0.05672837793827057,0.5740634202957153
108,0,1,0.07,0.95,32,0,0,0.05623134970664978,0.5752161145210266
109,0,1,0.1,0.0,32,0,0,0.05745190754532814,0.5769452452659607
110,0,1,0.5,0.3,32,0,0,0.05417364463210106,0.5786743760108948
111,0,1,0.1,0.3,32,0,0,0.05686957761645317,0.5763688683509827
112,0,1,0.09,0.0,32,0,0,0.05742226168513298,0.5682997107505798
113,0,1,0.09,0.6,32,0,0,0.05629309266805649,0.5723342895507812
114,0,1,0.3,0.95,32,0,0,0.05672015622258186,0.5752161145210266
115,0,1,0.3,0.9,32,0,0,0.05689098685979843,0.5752161145210266
116,0,1,0.3,0.0,32,0,0,0.056584738194942474,0.5757924914360046
117,0,1,0.1,0.95,32,0,0,0.05676208436489105,0.5752161145210266
118,0,1,0.1,0.9,32,0,0,0.05639159306883812,0.5752161145210266
119,0,1,0.01,0.0,16,0,0,0.05756465345621109,0.5752161145210266
120,0,1,0.01,0.0,32,0,0,0.06647631525993347,0.5752161145210266
121,0,1,0.1,0.6,16,0,0,0.056676946580410004,0.5752161145210266
122,0,1,0.1,0.95,16,0,0,0.05694117769598961,0.5752161145210266
123,0,1,0.01,0.6,16,0,0,0.056673526763916016,0.5734870433807373
124,0,1,0.01,0.9,16,0,0,0.056227412074804306,0.5775216221809387
125,0,1,0.03,0.6,16,0,0,0.05618329346179962,0.5746397972106934
126,0,1,0.03,0.9,16,0,0,0.05684147775173187,0.5752161145210266
127,0,1,0.03,0.95,16,0,0,0.05616270750761032,0.5752161145210266
128,0,1,0.05,0.0,16,0,0,0.05697771534323692,0.5746397972106934
129,0,1,0.05,0.6,16,0,0,0.05633511766791344,0.5700288414955139
130,0,1,0.05,0.9,16,0,0,0.055662091821432114,0.5752161145210266
131,0,1,0.07,0.0,16,0,0,0.056640151888132095,0.579250693321228
132,0,1,0.07,0.95,16,0,0,0.05706313997507095,0.5752161145210266
133,0,1,0.09,0.0,16,0,0,0.05576667934656143,0.5786743760108948
134,0,1,0.5,0.95,32,0,0,0.05681105703115463,0.5752161145210266
135,0,1,0.03,0.0,32,0,0,0.05793289840221405,0.5752161145210266
136,0,1,0.03,0.9,32,0,0,0.05572960525751114,0.5780979990959167
137,0,1,0.3,0.95,16,0,0,0.05696016550064087,0.5752161145210266
138,0,1,0.5,0.9,16,0,0,0.05710085108876228,0.5752161145210266
139,0,1,0.5,0.95,16,0,0,0.0571158342063427,0.5752161145210266
140,0,1,0.01,0.3,32,0,0,0.08310132473707199,0.5752161145210266
141,0,1,0.01,0.6,32,0,0,0.05749187618494034,0.5752161145210266
142,0,1,0.01,0.95,32,0,0,0.057262301445007324,0.579827070236206
143,0,1,0.05,0.0,32,0,0,0.05685003101825714,0.5804034471511841
144,0,1,0.01,0.9,32,0,0,0.05628795176744461,0.5827089548110962
145,0,1,0.03,0.95,32,0,0,0.055967796593904495,0.5682997107505798
146,0,1,0.1,0.3,16,0,0,0.055429063737392426,0.579827070236206
147,0,1,0.09,0.3,16,0,0,0.055640365928411484,0.5815562009811401
148,0,1,0.3,0.3,32,0,0,0.05540350079536438,0.5827089548110962
149,0,1,0.03,0.3,32,0,0,0.05716204643249512,0.5752161145210266
150,0,1,0.09,0.3,32,0,0,0.05494510382413864,0.5769452452659607
151,0,1,0.3,0.9,16,0,0,0.1370604932308197,0.31469741463661194
152,0,2,0.01,0.0,16,0,0,0.0003229726862628013,0.9990338087081909
153,0,2,0.01,0.3,16,0,0,0.0002787053817883134,0.9990338087081909
154,0,2,0.07,0.9,32,0,0,0.0001932367158588022,0.9990338087081909
155,0,2,0.07,0.6,32,0,0,0.0002022515400312841,0.9990338087081909
156,0,2,0.07,0.3,32,0,0,0.00021549106168095022,0.9990338087081909
157,0,2,0.07,0.0,32,0,0,0.00022291789355222136,0.9990338087081909
158,0,2,0.05,0.95,32,0,0,0.0001932367158588022,0.9990338087081909
159,0,2,0.05,0.9,32,0,0,0.0001932367158588022,0.9990338087081909
160,0,2,0.05,0.6,32,0,0,0.00020549786859191954,0.9990338087081909
161,0,2,0.05,0.3,32,0,0,0.00022405615891329944,0.9990338087081909
162,0,2,0.05,0.0,32,0,0,0.00023296642757486552,0.9990338087081909
163,0,2,0.03,0.95,32,0,0,0.0001932367158588022,0.9990338087081909
164,0,2,0.03,0.9,32,0,0,0.00019324527238495648,0.9990338087081909
165,0,2,0.03,0.6,32,0,0,0.0002185262128477916,0.9990338087081909
166,0,2,0.03,0.3,32,0,0,0.0002449429011903703,0.9990338087081909
167,0,2,0.03,0.0,32,0,0,0.0002678950841072947,0.9990338087081909
168,0,2,0.01,0.95,32,0,0,0.0001932367158588022,0.9990338087081909
169,0,2,0.01,0.9,32,0,0,0.00020016380585730076,0.9990338087081909
170,0,2,0.01,0.6,32,0,0,0.0002903658023569733,0.9990338087081909
171,0,2,0.07,0.95,32,0,0,0.0001932367158588022,0.9990338087081909
172,0,2,0.09,0.0,32,0,0,0.00021200151240918785,0.9990338087081909
173,0,2,0.09,0.3,32,0,0,0.0002065414737444371,0.9990338087081909
174,0,2,0.3,0.3,32,0,0,0.00019659486133605242,0.9990338087081909
175,0,2,0.5,0.9,32,0,0,0.0001932367158588022,0.9990338087081909
