,dataset,skew_type,skew,nr_clients,acc,lr,mom,bs,experiment_type
0,mnist,feature,0.02,10,98.800004,0.5,0.9,8,grid search
0,mnist,feature,0.02,10,98.45000499999999,0.5,0.6,16,DBSCAN HPO
0,mnist,feature,0.1,10,98.79,0.5,0.6,8,grid search
0,mnist,feature,0.1,10,98.47,0.5,0.6,16,DBSCAN HPO
0,mnist,feature,0.02,20,98.75001,0.5,0.9,8,grid search
0,mnist,feature,0.02,20,98.030007,0.5,0.5999999999999999,16,DBSCAN HPO
0,mnist,feature,0.1,20,98.670006,0.5,0.9,8,grid search
0,mnist,feature,0.1,20,97.940004,0.5,0.5999999999999999,16,DBSCAN HPO
0,svhn_cropped,feature,0.02,10,87.926394,0.5,0.6,8,grid search
0,svhn_cropped,feature,0.02,10,86.674094,0.5,0.5999999999999999,16,DBSCAN HPO
0,svhn_cropped,feature,0.1,10,87.496156,0.5,0.6,8,grid search
0,svhn_cropped,feature,0.1,10,85.54471,0.5,0.29999999999999993,16,DBSCAN HPO
0,svhn_cropped,feature,0.02,20,86.889213,0.5,0.6,8,grid search
0,svhn_cropped,feature,0.02,20,83.608633,0.5,0.6,16,DBSCAN HPO
0,svhn_cropped,feature,0.1,20,86.385983,0.5,0.6,8,grid search
0,svhn_cropped,feature,0.1,20,83.39735,0.5,0.5999999999999999,16,DBSCAN HPO
0,cifar10,feature,0.02,10,64.100003,0.5,0.6,8,grid search
0,cifar10,feature,0.02,10,56.670004,0.5,0.5999999999999999,16,DBSCAN HPO
0,cifar10,feature,0.1,10,63.490002999999994,0.5,0.9,8,grid search
0,cifar10,feature,0.1,10,55.88999999999999,0.5,0.5999999999999999,16,DBSCAN HPO
0,cifar10,feature,0.02,20,55.14,0.5,0.9,8,grid search
0,cifar10,feature,0.02,20,45.650002,0.5,0.6,16,DBSCAN HPO
0,cifar10,feature,0.1,20,54.379999999999995,0.5,0.9,8,grid search
0,cifar10,feature,0.1,20,45.190004,0.5,0.5999999999999999,16,DBSCAN HPO
0,emnist,feature,0.02,10,86.141175,0.5,0.6,8,grid search
0,emnist,feature,0.02,10,85.26516600000001,0.5,0.925,16,DBSCAN HPO
0,emnist,feature,0.1,10,86.11023,0.5,0.6,8,grid search
0,emnist,feature,0.1,10,85.10011,0.5,0.9249999999999999,16,DBSCAN HPO
0,emnist,feature,0.02,20,85.51791300000001,0.5,0.6,8,grid search
0,emnist,feature,0.02,20,84.74678399999999,0.5,0.925,16,DBSCAN HPO
0,emnist,feature,0.1,20,85.73541,0.5,0.6,8,grid search
0,emnist,feature,0.1,20,84.59118,0.5,0.9250000000000002,16,DBSCAN HPO
0,mnist,label,0.1,10,96.74001,0.5,0.9,8,grid search
0,mnist,label,0.1,10,94.08999999999999,0.5,0.6,16,DBSCAN HPO
0,mnist,label,1.0,10,98.660004,0.5,0.9,8,grid search
0,mnist,label,1.0,10,98.260003,0.3,0.9265625,16,DBSCAN HPO
0,mnist,label,5.0,10,98.77000500000001,0.5,0.9,8,grid search
0,mnist,label,5.0,10,97.53001,0.08434782608695651,0.9391304347826087,16,DBSCAN HPO
0,mnist,label,0.1,20,97.14,0.5,0.9,8,grid search
0,mnist,label,0.1,20,95.960003,0.5,0.9208333333333333,16,DBSCAN HPO
0,mnist,label,1.0,20,98.4,0.5,0.9,8,grid search
0,mnist,label,1.0,20,97.28,0.5,0.6,16,DBSCAN HPO
0,mnist,label,5.0,20,98.670006,0.5,0.9,8,grid search
0,mnist,label,5.0,20,97.89001,0.5,0.6,16,DBSCAN HPO
0,svhn_cropped,label,0.1,10,80.68915,0.5,0.6,8,grid search
0,svhn_cropped,label,0.1,10,75.4917,0.29999999999999993,0.5999999999999999,16,DBSCAN HPO
0,svhn_cropped,label,1.0,10,86.393666,0.5,0.6,8,grid search
0,svhn_cropped,label,1.0,10,83.53564999999999,0.5,0.3,16,DBSCAN HPO
0,svhn_cropped,label,5.0,10,87.922555,0.5,0.6,8,grid search
0,svhn_cropped,label,5.0,10,85.75599,0.5,0.3,16,DBSCAN HPO
0,svhn_cropped,label,0.1,20,82.75584,0.5,0.6,8,grid search
0,svhn_cropped,label,0.1,20,78.39582,0.5,0.6,16,DBSCAN HPO
0,svhn_cropped,label,1.0,20,86.45128600000001,0.5,0.6,8,grid search
0,svhn_cropped,label,1.0,20,83.12846,0.5,0.5999999999999999,16,DBSCAN HPO
0,svhn_cropped,label,5.0,20,86.62415,0.5,0.6,8,grid search
0,svhn_cropped,label,5.0,20,83.48571,0.5,0.5999999999999999,16,DBSCAN HPO
0,cifar10,label,0.1,10,46.81,0.5,0.9,8,grid search
0,cifar10,label,0.1,10,42.110002,0.5,0.6,16,DBSCAN HPO
0,cifar10,label,1.0,10,65.96,0.5,0.9,8,grid search
0,cifar10,label,1.0,10,58.110005,0.5,0.5999999999999999,16,DBSCAN HPO
0,cifar10,label,5.0,10,66.260004,0.5,0.9,8,grid search
0,cifar10,label,5.0,10,57.390004,0.5,0.5999999999999999,16,DBSCAN HPO
0,cifar10,label,0.1,20,45.620003,0.5,0.9,8,grid search
0,cifar10,label,0.1,20,35.390001999999996,0.5,0.5999999999999999,16,DBSCAN HPO
0,cifar10,label,1.0,20,57.310002999999995,0.5,0.9,8,grid search
0,cifar10,label,1.0,20,47.370002,0.5,0.6,16,DBSCAN HPO
0,cifar10,label,5.0,20,58.110005,0.5,0.9,8,grid search
0,cifar10,label,5.0,20,47.450003,0.5,0.5999999999999999,16,DBSCAN HPO
0,emnist,label,0.1,10,78.64567,0.5,0.6,8,grid search
0,emnist,label,0.1,10,78.15651,0.5,0.9256410256410257,16,DBSCAN HPO
0,emnist,label,1.0,10,85.04767,0.5,0.6,8,grid search
0,emnist,label,1.0,10,84.39432,0.5,0.9256410256410257,16,DBSCAN HPO
0,emnist,label,5.0,10,85.75776,0.5,0.6,8,grid search
0,emnist,label,5.0,10,85.136217,0.5,0.9256410256410257,16,DBSCAN HPO
0,emnist,label,0.1,20,78.88294,0.5,0.9,8,grid search
0,emnist,label,0.1,20,77.962226,0.5,0.6,16,DBSCAN HPO
0,emnist,label,1.0,20,85.133636,0.5,0.6,8,grid search
0,emnist,label,1.0,20,84.588605,0.5,0.6,16,DBSCAN HPO
0,emnist,label,5.0,20,85.40100000000001,0.5,0.6,8,grid search
0,emnist,label,5.0,20,84.750223,0.5,0.925,16,DBSCAN HPO
0,mnist,qty,0.1,10,99.070007,0.3,0.0,8,grid search
0,mnist,qty,0.1,10,98.780006,0.5,0.6,16,DBSCAN HPO
0,mnist,qty,0.4,10,99.020004,0.5,0.0,8,grid search
0,mnist,qty,0.4,10,98.420006,0.29999999999999993,0.9269230769230768,16,DBSCAN HPO
0,mnist,qty,1.0,10,98.94,0.5,0.0,8,grid search
0,mnist,qty,1.0,10,98.640007,0.5,0.6,16,DBSCAN HPO
0,mnist,qty,2.0,10,98.84000400000001,0.3,0.6,8,grid search
0,mnist,qty,2.0,10,98.700005,0.5,0.6,16,DBSCAN HPO
0,mnist,qty,0.1,20,98.960006,0.3,0.6,8,grid search
0,mnist,qty,0.1,20,98.45000499999999,0.30000000000000004,0.9231707317073171,16,DBSCAN HPO
0,mnist,qty,0.4,20,98.79,0.5,0.6,8,grid search
