(DeviceArray(0.41950002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4d07f23c8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.41210002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb49627e5c0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.4079, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45f79ecf8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.40780002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4ba581c50>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.40440002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45ffd6f28>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.404, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb5083619e8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.4031, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4969afa20>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.40210003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45efd2668>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.40100002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4972421d0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.40030003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45e425400>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.39560002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45f0242b0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.39560002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45c194d68>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3885, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb497c756d8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.38720003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47a5d76a0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3867, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb478080400>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.38630003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45e32ed68>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3862, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45fe05828>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.38140002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb494354860>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.38110003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47b5d1208>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.37910002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4970387b8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3788, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47a9dc1d0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3765, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb497cb8630>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.37480003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45ef2bda0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3673, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45e90abe0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3668, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47a90f048>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.36530003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb6341029e8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.36400002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47a9aacf8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.36040002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb497440780>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.35700002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb497fd6898>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.35560003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45f689908>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.35020003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47bfa2c18>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.34660003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb49425c400>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.34510002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb65c0976a0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3447, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47b1ad320>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
