(DeviceArray(0.40910003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff1642e22e8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.40870002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05bd35668>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.40860003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff1642bdc18>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.40800002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05b1d9080>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.40620002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff074e212e8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.40500003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05a5c87b8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.4036, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05a2ddc88>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.4018, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff10c130c88>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.40120003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff10c11e748>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.39900002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff164534080>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.39880002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff04669d710>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.39290002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0754ed6a0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.38970003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05aed7550>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3894, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff096430160>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.38700002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05acf7fd0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3864, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0753c1828>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3846, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff10c0739e8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3826, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05a807ac8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.37620002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05abcbe48>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3747, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff075b8bcf8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3747, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05ac45550>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.37320003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0746be908>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.36830002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff047f81e48>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3666, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05a3547b8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.36510003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05bda7630>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3643, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0762913c8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
