(DeviceArray(0.342, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb434220128>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3307, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb436582c88>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.33060002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb435e206a0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.33, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47bb3e4a8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3282, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb3f7ee8908>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.32810003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47a712198>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.32770002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4365ce470>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3262, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4978867f0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3258, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45ddf5320>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.32520002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45fa85ba8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.32470003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb436c204a8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.32450002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb416e8c1d0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.324, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4979e6d68>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.32360002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb436d73e80>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
