(DeviceArray(0.33220002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff017850160>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.32900003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05a2a9ba8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.32810003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff01722ecf8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3278, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff046bc9eb8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.32430002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff016e5aeb8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3239, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05a410940>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3226, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff014025550>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3206, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0443a0c88>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3201, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff00b0d4e10>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.31980002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff044177780>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.31840003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff047224ef0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3181, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0140b6748>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3181, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff16413fd68>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3174, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff00ae78470>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3169, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff1d45cc860>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.31590003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff017714ac8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.31320003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff097ff8c50>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.31210002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff017a2c080>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.31170002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff095e7fc18>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3104, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff00a44eeb8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.31010002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff045c521d0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.30890003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff00af12470>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
