,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
74,06/22/21-120829,06/22/21-120858,28.616851329803467,30,0.07476114481687546,0.3631746172904968,0.1326984167098999,0.6147058606147766,0.07194560021162033,0.4342857003211975,0.11428571492433548,0.6896551847457886,relu,32,0.3,0.95,30
19,06/22/21-114330,06/22/21-114407,36.59734082221985,30,0.07125791907310486,0.41333332657814026,0.19111111760139465,0.6244813203811646,0.07112854719161987,0.4285714328289032,0.16571427881717682,0.5799999833106995,relu,16,0.07,0.95,30
37,06/22/21-115358,06/22/21-115436,38.015761375427246,30,0.06779545545578003,0.46793651580810547,0.24634920060634613,0.6678141355514526,0.07309792190790176,0.4057142734527588,0.24571429193019867,0.5810810923576355,relu,16,0.5,0.6,30
28,06/22/21-114827,06/22/21-114904,37.00577759742737,30,0.07166510075330734,0.4273015856742859,0.18222221732139587,0.6674418449401855,0.07404953241348267,0.4000000059604645,0.20571428537368774,0.5806451439857483,relu,16,0.1,0.9,30
23,06/22/21-114517,06/22/21-114554,37.04371404647827,30,0.07103012502193451,0.41206347942352295,0.18857142329216003,0.6305732727050781,0.071299709379673,0.3942857086658478,0.17142857611179352,0.5660377144813538,relu,16,0.09,0.9,30
8,06/22/21-113624,06/22/21-113701,36.43841552734375,30,0.07725376635789871,0.34857141971588135,0.10349206626415253,0.5800711512565613,0.07694117724895477,0.3942857086658478,0.09714286029338837,0.5862069129943848,relu,16,0.03,0.9,30
68,06/22/21-120554,06/22/21-120626,31.905651569366455,30,0.0737869068980217,0.39936506748199463,0.147301584482193,0.6041666865348816,0.07515231519937515,0.38857144117355347,0.11428571492433548,0.5882353186607361,relu,32,0.1,0.9,30
29,06/22/21-114905,06/22/21-114941,36.52372336387634,30,0.07125131040811539,0.42031747102737427,0.1847619116306305,0.6510066986083984,0.07379379868507385,0.38857144117355347,0.17142857611179352,0.5660377144813538,relu,16,0.1,0.95,30
32,06/22/21-115054,06/22/21-115130,36.65602779388428,30,0.0692775547504425,0.4355555474758148,0.20888888835906982,0.6839916706085205,0.07393397390842438,0.38285714387893677,0.18285714089870453,0.581818163394928,relu,16,0.3,0.6,30
38,06/22/21-115437,06/22/21-115516,39.84145712852478,30,0.07757358253002167,0.362539678812027,0.12063492089509964,0.545976996421814,0.07547690719366074,0.38285714387893677,0.1542857140302658,0.5625,relu,16,0.5,0.9,30
77,06/22/21-121001,06/22/21-121031,30.760565042495728,30,0.07413239032030106,0.3879365026950836,0.14349205791950226,0.6475644707679749,0.07600963860750198,0.38285714387893677,0.09142857044935226,0.6399999856948853,relu,32,0.5,0.6,30
34,06/22/21-115207,06/22/21-115243,35.96683073043823,30,0.08017104119062424,0.31238093972206116,0.07111111283302307,0.5463414788246155,0.07774440944194794,0.37714284658432007,0.10285714268684387,0.6428571343421936,relu,16,0.3,0.95,30
31,06/22/21-115017,06/22/21-115053,36.21698999404907,30,0.07500158995389938,0.4012698531150818,0.1314285695552826,0.5914285778999329,0.07512158155441284,0.37714284658432007,0.09714286029338837,0.6800000071525574,relu,16,0.3,0.3,30
58,06/22/21-120219,06/22/21-120244,24.74851155281067,30,0.07714176177978516,0.3574603199958801,0.10222221910953522,0.6029962301254272,0.07661796361207962,0.37714284658432007,0.09142857044935226,0.695652186870575,relu,32,0.07,0.9,30
78,06/22/21-121032,06/22/21-121101,29.200300216674805,30,0.07448174059391022,0.40761905908584595,0.15555556118488312,0.5658198595046997,0.07493390887975693,0.37714284658432007,0.10285714268684387,0.6666666865348816,relu,32,0.5,0.9,30
13,06/22/21-113929,06/22/21-114008,39.334177017211914,30,0.07142291963100433,0.42793649435043335,0.17269840836524963,0.6238532066345215,0.07527074217796326,0.37142857909202576,0.16571427881717682,0.5370370149612427,relu,16,0.05,0.9,30
64,06/22/21-120442,06/22/21-120508,25.550572872161865,30,0.07262066006660461,0.403809517621994,0.1758730113506317,0.6412037014961243,0.0762917697429657,0.37142857909202576,0.11999999731779099,0.5121951103210449,relu,32,0.09,0.95,30
54,06/22/21-120031,06/22/21-120058,26.812824010849,30,0.07540629804134369,0.3796825408935547,0.13015873730182648,0.5758426785469055,0.07683684676885605,0.36571428179740906,0.06285714358091354,0.550000011920929,relu,32,0.05,0.95,30
18,06/22/21-114252,06/22/21-114330,37.920480728149414,30,0.07188087701797485,0.4196825325489044,0.16190476715564728,0.6159420013427734,0.07467228174209595,0.36000001430511475,0.1485714316368103,0.5098039507865906,relu,16,0.07,0.9,30
49,06/22/21-115852,06/22/21-115918,25.990506887435913,30,0.07855678349733353,0.33396825194358826,0.0850793644785881,0.5982142686843872,0.07809974253177643,0.35428571701049805,0.06285714358091354,0.6470588445663452,relu,32,0.03,0.95,30
