(DeviceArray(0.85372627, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f500c252f40>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8527892, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f504c487dc0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8525055, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f5060476df0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8520757, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f504c47a340>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.85195535, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f50bc49f8e0>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.85183495, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f5130530220>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.85156846, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f50607f85e0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8514137, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f51701c7550>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.85136217, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f504c58aac0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.85131055, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f50846b1f10>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8511816, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f510c07d280>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
