(DeviceArray(0.85426784, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f41d4181bb0>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8520327, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f417c344d60>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.85196394, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f4200139760>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.85192955, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f4120760f70>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8518436, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f4108684ac0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8518178, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f41bc5cabb0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8516458, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f42005bbb50>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8515427, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f41084e60a0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.85149974, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f40c803b7c0>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.85137075, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f42001532b0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8513278, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f419474d8b0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
