(DeviceArray(0.8443214, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f034c4bc550>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.84370244, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02a4633fd0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8433242, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02487b9fd0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.84310067, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f032405d780>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8430835, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f034c4406d8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.84296316, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f030864fa20>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8428944, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02c47b35f8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8428514, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f0324531400>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8428514, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02844cad68>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.842731, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02e80726d8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8418112, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f0384575e80>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
