(DeviceArray(0.98870003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb61422e4e0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98840004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb6147d6e80>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98820007, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb6342b0b00>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98820007, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb5784046a0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98820007, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb63409c278>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98800004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb578217f60>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98780006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb6142b09e8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98780006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb5f46377b8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98780006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb578404d68>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98770005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb5f40bdba8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.9876, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb690118390>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
