(DeviceArray(0.9857001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb508266c50>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.9854, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4d067dcf8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.9850001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb57870ce80>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.9850001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb52c74d940>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98480004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb5b46a2128>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98480004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb5b455dc18>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98440003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb57857e2e8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98440003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb5087a1550>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98420006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4ba4b78d0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98420006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4d077ff60>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.98380005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb5347a12e8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
