(DeviceArray(0.8426552, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0b4583f98>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83908266, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff097e6aa20>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8389674, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0966f0da0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83889055, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff097fd5ef0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83873695, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff096bd2908>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.837815, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0d409def0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83777654, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff1346835c0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83777654, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff16411ba58>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83739245, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff10c596668>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.836701, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0d47455c0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8343961, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff097c2b320>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83428085, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff1d41ce6a0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83424246, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0d4325ba8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83232176, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff10c26e630>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8302858, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0b436cf98>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83009374, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff174623240>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.82967114, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff114390630>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.82694376, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0d43254e0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.826598, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff1644d3ba8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.82563764, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff10c2092e8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8191457, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff097962588>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.81595725, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff1347eeac8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.81484324, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff1642fe518>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8144207, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff097638dd8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.80831283, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff097f30c18>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
