(DeviceArray(0.79917026, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4970149b0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7990934, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47ae3ada0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7988245, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb494199550>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.79851717, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb496471f28>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.79494464, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb49777b940>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.79383063, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4961bbac8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7931776, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4940a2860>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7930624, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb49657fe48>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.79221725, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4967477b8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7914874, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4973f8c88>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.79133373, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb497fc0630>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
