(DeviceArray(0.8020129, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0974cfeb8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.800822, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0969d5c88>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.80028427, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0b41cc2e8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8001306, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0971560b8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7973263, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff097fd0b00>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7962123, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff097209c88>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7954441, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff10c61a978>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7932929, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff074fdb278>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7922941, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff218464630>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7921404, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff24c4dd9e8>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.79133373, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff096c474e0>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
