(DeviceArray(0.28480002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4633761550>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.2827, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4631bd7cf8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.28190002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46309ef710>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.28070003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4632a3cef0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.28010002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4632ed2208>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.2791, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4638a36cf8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.27780002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46382850b8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.2718, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46382143c8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.26900002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f463337c940>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.2637, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f463919c240>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.2626, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4633cd73c8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
