(DeviceArray(0.41950002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4622fc72e8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.41520002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4622a6b860>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.41040003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f462201be10>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.40840003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46226ad828>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.40840003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f462b2c42e8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.40640002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4621f6bda0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.4063, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4623fa6b38>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.4027, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46224a6588>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.40210003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f462a4146d8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.40190002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4632997b70>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.4018, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4631792630>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
