,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
69,06/17/21-005945,06/17/21-010021,35.447694063186646,30,0.056407008320093155,0.5768194198608398,0.3950284421443939,0.7464629411697388,0.061238836497068405,0.5714285969734192,0.3989218473434448,0.6607142686843872,relu,32,0.1,0.95,30
14,06/17/21-001633,06/17/21-001737,63.163453817367554,30,0.055768635123968124,0.5780173540115356,0.41239893436431885,0.7565934062004089,0.05859240144491196,0.5687331557273865,0.3638814091682434,0.7627118825912476,relu,16,0.05,0.95,30
37,06/17/21-004043,06/17/21-004147,64.14716744422913,30,0.05198086425662041,0.6070680022239685,0.45672357082366943,0.7690368294715881,0.05602645501494408,0.5687331557273865,0.4582210183143616,0.6882591247558594,relu,16,0.5,0.6,30
19,06/17/21-002137,06/17/21-002240,63.50455117225647,30,0.052521392703056335,0.6121593117713928,0.454627126455307,0.7635815143585205,0.05896351486444473,0.5687331557273865,0.42048516869544983,0.6666666865348816,relu,16,0.07,0.95,30
28,06/17/21-003107,06/17/21-003211,63.60068702697754,30,0.053006187081336975,0.6061695218086243,0.4519317150115967,0.7691131234169006,0.05681809410452843,0.5633423328399658,0.4150943458080292,0.7129629850387573,relu,16,0.1,0.9,30
77,06/17/21-010431,06/17/21-010506,35.478315114974976,30,0.05636240541934967,0.5762204527854919,0.40461215376853943,0.7390590906143188,0.05887473002076149,0.5633423328399658,0.34501346945762634,0.7111111283302307,relu,32,0.5,0.6,30
73,06/17/21-010208,06/17/21-010243,35.5622832775116,30,0.0531923845410347,0.60527104139328,0.4483378231525421,0.7579746842384338,0.05963395908474922,0.5606468915939331,0.3962264060974121,0.668181836605072,relu,32,0.3,0.9,30
54,06/17/21-005111,06/17/21-005146,35.285435914993286,30,0.05872129648923874,0.5555555820465088,0.37106919288635254,0.7314049601554871,0.0579637847840786,0.5471698045730591,0.3504043221473694,0.7514451146125793,relu,32,0.05,0.95,30
24,06/17/21-002652,06/17/21-002756,63.67160081863403,30,0.05421711876988411,0.5944893956184387,0.4207846522331238,0.7694414258003235,0.061791881918907166,0.5417789816856384,0.4043126702308655,0.6382978558540344,relu,16,0.09,0.95,30
36,06/17/21-003937,06/17/21-004043,65.64532542228699,30,0.05525745078921318,0.5858041048049927,0.41239893436431885,0.7590959072113037,0.06024869531393051,0.5390835404396057,0.3989218473434448,0.6727272868156433,relu,16,0.5,0.3,30
63,06/17/21-005624,06/17/21-005700,35.82734441757202,30,0.05917442589998245,0.5495657324790955,0.35579514503479004,0.7315270900726318,0.060898296535015106,0.5363881587982178,0.3746630847454071,0.6813725233078003,relu,32,0.09,0.9,30
23,06/17/21-002549,06/17/21-002652,63.07030272483826,30,0.05534101277589798,0.5849056839942932,0.4120994210243225,0.7519125938415527,0.05940289795398712,0.5363881587982178,0.4150943458080292,0.6905829310417175,relu,16,0.09,0.9,30
78,06/17/21-010506,06/17/21-010542,35.58449339866638,30,0.05577204003930092,0.5687331557273865,0.4103024899959564,0.756070613861084,0.06223480775952339,0.5363881587982178,0.328840970993042,0.6777777671813965,relu,32,0.5,0.9,30
64,06/17/21-005701,06/17/21-005736,35.268319606781006,30,0.05834798887372017,0.5579515099525452,0.3689727485179901,0.7377245426177979,0.06084344536066055,0.5336927175521851,0.3719676434993744,0.6764705777168274,relu,32,0.09,0.95,30
13,06/17/21-001530,06/17/21-001633,63.27549958229065,30,0.05887967720627785,0.5588499307632446,0.36597782373428345,0.7352586984634399,0.06191026791930199,0.5309972763061523,0.35849055647850037,0.6551724076271057,relu,16,0.05,0.9,30
30,06/17/21-003315,06/17/21-003417,61.77649784088135,30,0.06186100095510483,0.5265049338340759,0.3252470791339874,0.7042801380157471,0.06163015589118004,0.5283018946647644,0.2964959442615509,0.7382550239562988,relu,16,0.3,0.0,30
76,06/17/21-010355,06/17/21-010430,35.68905806541443,30,0.06177373230457306,0.5190176963806152,0.3174603283405304,0.718157172203064,0.06134216859936714,0.5283018946647644,0.3072776198387146,0.6785714030265808,relu,32,0.5,0.3,30
31,06/17/21-003418,06/17/21-003521,63.37605166435242,30,0.05851257964968681,0.5492662191390991,0.3725666403770447,0.7422434091567993,0.060625918209552765,0.5256064534187317,0.39083558320999146,0.6621004343032837,relu,16,0.3,0.3,30
29,06/17/21-003211,06/17/21-003315,64.00248074531555,30,0.05719397962093353,0.5555555820465088,0.402515709400177,0.7296416759490967,0.062130119651556015,0.5256064534187317,0.34501346945762634,0.6918919086456299,relu,16,0.1,0.95,30
35,06/17/21-003833,06/17/21-003937,64.39033603668213,30,0.058294981718063354,0.5498652458190918,0.38244983553886414,0.735175609588623,0.06046712026000023,0.520215630531311,0.38814017176628113,0.6792452931404114,relu,16,0.5,0.0,30
33,06/17/21-003625,06/17/21-003727,62.42338252067566,30,0.05627759173512459,0.5684336423873901,0.40610960125923157,0.756274402141571,0.06144469603896141,0.520215630531311,0.35849055647850037,0.6584158539772034,relu,16,0.3,0.9,30
32,06/17/21-003521,06/17/21-003624,63.208895206451416,30,0.05395282432436943,0.5905959606170654,0.4309673607349396,0.7646121382713318,0.05932611972093582,0.5148248076438904,0.37735849618911743,0.7179487347602844,relu,16,0.3,0.6,30
59,06/17/21-005409,06/17/21-005444,35.54820942878723,30,0.05928375944495201,0.5462713241577148,0.3707696795463562,0.7316784858703613,0.06363601982593536,0.5121293663978577,0.3396226465702057,0.6461538672447205,relu,32,0.07,0.95,30
8,06/17/21-001044,06/17/21-001147,63.02398347854614,30,0.06358537077903748,0.5022462010383606,0.2988918721675873,0.7072997689247131,0.0646093562245369,0.5040431022644043,0.2857142984867096,0.6794871687889099,relu,16,0.03,0.9,30
58,06/17/21-005333,06/17/21-005409,35.686967849731445,30,0.0638016015291214,0.5085355043411255,0.30248576402664185,0.6955922842025757,0.06260266155004501,0.5013477206230164,0.27223721146583557,0.6778523325920105,relu,32,0.07,0.9,30
18,06/17/21-002033,06/17/21-002136,63.54848122596741,30,0.05516685172915459,0.5852051377296448,0.41689127683639526,0.7552902698516846,0.0658809021115303,0.5013477206230164,0.342318058013916,0.6318408250808716,relu,16,0.07,0.9,30
68,06/17/21-005909,06/17/21-005945,35.54122877120972,30,0.06099063530564308,0.5321952700614929,0.3252470791339874,0.7168316841125488,0.06227940693497658,0.5013477206230164,0.3099730312824249,0.7278481125831604,relu,32,0.1,0.9,30
75,06/17/21-010319,06/17/21-010355,35.12435245513916,30,0.06556597352027893,0.48787063360214233,0.2782270014286041,0.6861152052879333,0.0644206628203392,0.5013477206230164,0.25606468319892883,0.673758864402771,relu,32,0.5,0.0,30
38,06/17/21-004148,06/17/21-004252,64.54390811920166,30,0.06742517650127411,0.46750524640083313,0.28152140974998474,0.6861313581466675,0.06806255131959915,0.49865227937698364,0.2533692717552185,0.6762589812278748,relu,16,0.5,0.9,30
27,06/17/21-003003,06/17/21-003107,64.1465072631836,30,0.06430516391992569,0.49625635147094727,0.2926025688648224,0.6938920617103577,0.06368420273065567,0.4959568679332733,0.3072776198387146,0.7169811129570007,relu,16,0.1,0.6,30
9,06/17/21-001147,06/17/21-001251,63.43454933166504,30,0.05844535678625107,0.5537586212158203,0.3722671568393707,0.7443113923072815,0.06471972912549973,0.493261456489563,0.3315363824367523,0.624365508556366,relu,16,0.03,0.95,30
74,06/17/21-010244,06/17/21-010319,35.44071388244629,30,0.061710961163043976,0.5175201892852783,0.3563941419124603,0.7181653380393982,0.0649772584438324,0.493261456489563,0.3207547068595886,0.6648044586181641,relu,32,0.3,0.95,30
22,06/17/21-002446,06/17/21-002549,62.40075445175171,30,0.0643940344452858,0.4977538287639618,0.2806229293346405,0.6945886015892029,0.06484957784414291,0.49056604504585266,0.2830188572406769,0.6645569801330566,relu,16,0.09,0.6,30
4,06/17/21-000703,06/17/21-000806,63.200549602508545,30,0.06660076230764389,0.4851751923561096,0.25366875529289246,0.6858299374580383,0.06386619061231613,0.4851751923561096,0.2776280343532562,0.7006802558898926,relu,16,0.01,0.95,30
53,06/17/21-005035,06/17/21-005111,35.501044511795044,30,0.06759704649448395,0.46690624952316284,0.24288709461688995,0.6652994155883789,0.06531178951263428,0.4743935167789459,0.2183288335800171,0.7168141603469849,relu,32,0.05,0.9,30
72,06/17/21-010132,06/17/21-010208,35.57695293426514,30,0.06165434047579765,0.5193171501159668,0.3255465626716614,0.7058441638946533,0.0675840973854065,0.46900269389152527,0.31536388397216797,0.6223404407501221,relu,32,0.3,0.6,30
71,06/17/21-010056,06/17/21-010132,35.53344202041626,30,0.06664568930864334,0.4782869219779968,0.25247079133987427,0.676022469997406,0.06537291407585144,0.46900269389152527,0.2857142984867096,0.6708860993385315,relu,32,0.3,0.3,30
49,06/17/21-004812,06/17/21-004848,35.662558794021606,30,0.06550836563110352,0.48787063360214233,0.27193769812583923,0.6701107025146484,0.06739435344934464,0.4636118710041046,0.27223721146583557,0.6778523325920105,relu,32,0.03,0.95,30
17,06/17/21-001930,06/17/21-002032,62.80829882621765,30,0.06825665384531021,0.46570828557014465,0.23420186340808868,0.6599156260490417,0.0675075426697731,0.45552560687065125,0.22641509771347046,0.671999990940094,relu,16,0.07,0.6,30
70,06/17/21-010021,06/17/21-010056,34.95923042297363,30,0.06936387717723846,0.4540281593799591,0.22371967136859894,0.6610619425773621,0.06872715801000595,0.4501347839832306,0.20215633511543274,0.6944444179534912,relu,32,0.3,0.0,30
44,06/17/21-004516,06/17/21-004551,35.28036022186279,30,0.07348426431417465,0.3968254029750824,0.16681641340255737,0.6446759104728699,0.07235903292894363,0.44474393129348755,0.15094339847564697,0.602150559425354,relu,32,0.01,0.95,30
34,06/17/21-003727,06/17/21-003832,64.88155364990234,30,0.07294952124357224,0.3998202979564667,0.1949685513973236,0.6451932787895203,0.07303787767887115,0.4393531084060669,0.21024258434772491,0.64462810754776,relu,16,0.3,0.95,30
26,06/17/21-002859,06/17/21-003002,63.17452883720398,30,0.06869697570800781,0.4597184658050537,0.2228212058544159,0.6642857193946838,0.06976856291294098,0.4393531084060669,0.23989218473434448,0.5855262875556946,relu,16,0.1,0.3,30
48,06/17/21-004737,06/17/21-004812,35.49129247665405,30,0.06931108981370926,0.44234800338745117,0.21922731399536133,0.6472148299217224,0.07015600800514221,0.4393531084060669,0.1752021610736847,0.6632652878761292,relu,32,0.03,0.9,30
20,06/17/21-002240,06/17/21-002343,62.39779281616211,30,0.07136484980583191,0.42557650804519653,0.18508535623550415,0.6638023853302002,0.07037607580423355,0.43396225571632385,0.1967654973268509,0.6239316463470459,relu,16,0.09,0.0,30
25,06/17/21-002756,06/17/21-002859,62.306387186050415,30,0.07172571867704391,0.4267744719982147,0.18808026611804962,0.6514523029327393,0.07087414711713791,0.4312668442726135,0.16981132328510284,0.6116504669189453,relu,16,0.1,0.0,30
21,06/17/21-002343,06/17/21-002446,63.00299954414368,30,0.07028501480817795,0.4444444477558136,0.19766397774219513,0.6573705077171326,0.06959354132413864,0.4285714328289032,0.2210242599248886,0.6259542107582092,relu,16,0.09,0.3,30
67,06/17/21-005834,06/17/21-005909,34.72060823440552,30,0.07136259973049164,0.4309673607349396,0.19436956942081451,0.6670092344284058,0.0718793049454689,0.4177897572517395,0.1994609236717224,0.5826771855354309,relu,32,0.1,0.6,30
7,06/17/21-000941,06/17/21-001044,62.75795865058899,30,0.0738418847322464,0.3968254029750824,0.15004491806030273,0.643132209777832,0.07412002980709076,0.4070080816745758,0.10781671106815338,0.625,relu,16,0.03,0.6,30
11,06/17/21-001335,06/17/21-001440,65.00828576087952,30,0.07428659498691559,0.39323151111602783,0.14615154266357422,0.633766233921051,0.07378102838993073,0.4070080816745758,0.14824797213077545,0.5789473652839661,relu,16,0.05,0.3,30
16,06/17/21-001827,06/17/21-001929,62.087647676467896,30,0.07065889239311218,0.4342617690563202,0.19916142523288727,0.6475170254707336,0.07210220396518707,0.3827493190765381,0.23719675838947296,0.6027397513389587,relu,16,0.07,0.3,30
52,06/17/21-004959,06/17/21-005035,35.7989616394043,30,0.07526612281799316,0.38574424386024475,0.12788259983062744,0.6335311532020569,0.07498964667320251,0.37735849618911743,0.14555256068706512,0.6000000238418579,relu,32,0.05,0.6,30
57,06/17/21-005258,06/17/21-005333,35.047895193099976,30,0.07207341492176056,0.42437854409217834,0.1746031790971756,0.6587570905685425,0.07405214011669159,0.37735849618911743,0.22371967136859894,0.5608108043670654,relu,32,0.07,0.6,30
62,06/17/21-005549,06/17/21-005624,35.171658992767334,30,0.07129120826721191,0.4291703999042511,0.18448637425899506,0.6430062651634216,0.07289166748523712,0.3719676434993744,0.1967654973268509,0.6033057570457458,relu,32,0.09,0.6,30
61,06/17/21-005514,06/17/21-005549,35.05200743675232,30,0.07553903013467789,0.37735849618911743,0.1269841343164444,0.6443768739700317,0.07604433596134186,0.35579514503479004,0.16981132328510284,0.5526315569877625,relu,32,0.09,0.3,30
43,06/17/21-004444,06/17/21-004515,31.108221769332886,26,0.07838648557662964,0.33992213010787964,0.10302485525608063,0.626593828201294,0.07885293662548065,0.3530997335910797,0.15094339847564697,0.5600000023841858,relu,32,0.01,0.9,30
3,06/17/21-000621,06/17/21-000702,40.89727306365967,19,0.0763731300830841,0.3734651207923889,0.1257861703634262,0.6008583903312683,0.07553108036518097,0.3530997335910797,0.14824797213077545,0.6321839094161987,relu,16,0.01,0.9,30
15,06/17/21-001737,06/17/21-001827,50.01355338096619,24,0.07643777132034302,0.367475301027298,0.11410602182149887,0.6066879034042358,0.0765787735581398,0.3530997335910797,0.1212937980890274,0.5625,relu,16,0.07,0.0,30
56,06/17/21-005222,06/17/21-005257,35.1122944355011,30,0.07649917155504227,0.37376460433006287,0.1218927800655365,0.626153826713562,0.07629764080047607,0.3504043221473694,0.14824797213077545,0.617977499961853,relu,32,0.07,0.3,30
12,06/17/21-001441,06/17/21-001530,48.83419895172119,22,0.07434584945440292,0.39083558320999146,0.15214136242866516,0.6580311059951782,0.07464784383773804,0.3504043221473694,0.164420485496521,0.5980392098426819,relu,16,0.05,0.6,30
5,06/17/21-000806,06/17/21-000859,53.22174096107483,25,0.07851816713809967,0.35130277276039124,0.09374064207077026,0.6173570156097412,0.07858447730541229,0.342318058013916,0.05929918959736824,0.6285714507102966,relu,16,0.03,0.0,30
66,06/17/21-005758,06/17/21-005834,35.62425756454468,30,0.07467009872198105,0.38244983553886414,0.14135968685150146,0.6310160160064697,0.07871495932340622,0.342318058013916,0.08625336736440659,0.6274510025978088,relu,32,0.1,0.3,30
55,06/17/21-005147,06/17/21-005222,35.07620644569397,30,0.07835310697555542,0.34201857447624207,0.09943097084760666,0.6114180684089661,0.07797497510910034,0.342318058013916,0.061994608491659164,0.6216216087341309,relu,32,0.07,0.0,30
1,06/17/21-000412,06/17/21-000516,63.815608739852905,30,0.08068230003118515,0.29290205240249634,0.06618747860193253,0.5609136819839478,0.07968853414058685,0.342318058013916,0.08625336736440659,0.5614035129547119,relu,16,0.01,0.3,30
10,06/17/21-001251,06/17/21-001335,43.79961276054382,21,0.07932557165622711,0.32345014810562134,0.09673555195331573,0.6105859875679016,0.07868447154760361,0.33423179388046265,0.10242587327957153,0.5846154093742371,relu,16,0.05,0.0,30
47,06/17/21-004701,06/17/21-004736,35.69511032104492,30,0.0785510316491127,0.334531307220459,0.095238097012043,0.6022727489471436,0.07926381379365921,0.328840970993042,0.1212937980890274,0.5056179761886597,relu,32,0.03,0.6,30
60,06/17/21-005445,06/17/21-005513,28.629443407058716,24,0.07772471010684967,0.34261754155158997,0.10901467502117157,0.6190476417541504,0.07924675941467285,0.328840970993042,0.13746631145477295,0.5204081535339355,relu,32,0.09,0.0,30
6,06/17/21-000900,06/17/21-000941,40.831289291381836,19,0.07952617853879929,0.3174603283405304,0.08415693044662476,0.6216813921928406,0.0788690596818924,0.32614555954933167,0.1105121299624443,0.5394737124443054,relu,16,0.03,0.3,30
51,06/17/21-004924,06/17/21-004959,35.380098819732666,30,0.07862457633018494,0.3351302742958069,0.09613656997680664,0.602251410484314,0.07849472761154175,0.32614555954933167,0.09433962404727936,0.5833333134651184,relu,32,0.05,0.3,30
2,06/17/21-000517,06/17/21-000621,64.44887566566467,30,0.07962929457426071,0.32674452662467957,0.08235998451709747,0.5888651013374329,0.07986921817064285,0.32614555954933167,0.13477088510990143,0.5494505763053894,relu,16,0.01,0.6,30
50,06/17/21-004848,06/17/21-004923,35.01239275932312,30,0.07968959212303162,0.3258460760116577,0.08655285835266113,0.5958762764930725,0.07956744730472565,0.31266847252845764,0.07008086144924164,0.5777778029441833,relu,32,0.05,0.0,30
42,06/17/21-004408,06/17/21-004444,35.525179624557495,30,0.08092052489519119,0.2869122624397278,0.0634920671582222,0.5683646202087402,0.07987432181835175,0.3099730312824249,0.08625336736440659,0.5333333611488342,relu,32,0.01,0.6,30
65,06/17/21-005736,06/17/21-005758,22.090790510177612,19,0.07962149381637573,0.32734352350234985,0.07307577133178711,0.5520362257957458,0.07974939793348312,0.3072776198387146,0.05929918959736824,0.5945945978164673,relu,32,0.1,0.0,30
46,06/17/21-004625,06/17/21-004700,35.24589133262634,30,0.08039595186710358,0.3072776198387146,0.0742737352848053,0.5498891472816467,0.0821654424071312,0.29110512137413025,0.14016172289848328,0.4727272689342499,relu,32,0.03,0.3,30
45,06/17/21-004551,06/17/21-004625,33.56620121002197,29,0.08181602507829666,0.28541478514671326,0.05810122936964035,0.528610348701477,0.08124295622110367,0.29110512137413025,0.07277628034353256,0.4285714328289032,relu,32,0.03,0.0,30
41,06/17/21-004333,06/17/21-004408,35.05393719673157,30,0.0839267373085022,0.24049116671085358,0.026654686778783798,0.5329341292381287,0.08211728930473328,0.26684635877609253,0.02964959479868412,0.5,relu,32,0.01,0.3,30
0,06/17/21-000347,06/17/21-000412,25.156272888183594,11,0.08684883266687393,0.20664869248867035,0.0020964359864592552,0.3684210479259491,0.08520883321762085,0.2183288335800171,0.0,0.0,relu,16,0.01,0.0,30
40,06/17/21-004318,06/17/21-004333,14.879779577255249,12,0.08740456402301788,0.18897873163223267,0.0020964359864592552,0.5,0.0860755443572998,0.21293801069259644,0.0,0.0,relu,32,0.01,0.0,30
39,06/17/21-004253,06/17/21-004318,24.8734233379364,11,0.08757735788822174,0.2000598907470703,0.0,0.0,0.08690887689590454,0.21293801069259644,0.0,0.0,relu,16,0.5,0.95,30
79,06/17/21-010542,06/17/21-010556,13.718929529190063,11,0.08755148947238922,0.2000598907470703,0.0,0.0,0.08689696341753006,0.21293801069259644,0.0,0.0,relu,32,0.5,0.95,30
