(DeviceArray(0.35040003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f45a87f35f8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.3472, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4030336b70>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.34600002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f3fd8866048>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.34260002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f45c42ab0f0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.33980003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f462376cda0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.33760002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f45a8352588>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.33510002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46047acc50>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.3345, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f3fdbd1a438>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.33380002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f45c47d6da0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.3327, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f3fd08b8dd8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.3323, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f3fd8d88d68>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
