client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,75,775,154,317,6,1092,30,269,0,0
1,232,153,132,377,133,460,19,523,64,596
2,152,252,55,95,591,51,224,63,708,70
3,217,523,241,121,418,321,545,296,0,0
4,37,434,842,706,119,203,635,0,0,0
5,515,707,128,135,485,128,162,441,0,0
6,1081,28,414,8,86,457,112,187,7,533
7,178,8,358,5,302,99,274,123,277,322
8,134,26,95,240,292,97,30,665,510,213
9,404,185,225,111,169,23,166,306,54,488
10,47,237,168,254,96,48,185,86,887,341
11,19,85,542,20,168,23,380,261,200,296
12,326,48,4,644,1143,173,58,3,960,0
13,205,292,497,192,375,411,553,0,0,0
14,259,248,22,183,162,653,358,650,0,0
15,7,132,123,520,100,538,131,283,13,274
16,516,543,490,494,148,28,27,321,0,0
17,285,55,140,335,59,83,658,348,16,1162
18,31,238,190,129,120,64,209,4,954,380
19,280,31,180,114,28,48,244,171,350,325
