(DeviceArray(0.84898084, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f3120309208>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.84841347, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31bc2b96a0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8482931, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f3240705fd0>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8482329, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31782c46d8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.84821576, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31e42f45f8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8481728, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31703c5b00>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8478805, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31bc5e0978>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.84779453, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31e40e6da0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.84769994, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f3180553898>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.84763974, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31700d8e48>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8475796, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f331c7f20b8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
