,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
34,06/15/21-224447,06/15/21-225221,454.08681774139404,30,0.001179526443593204,0.94867342710495,0.944973349571228,0.9535788893699646,0.001995605416595936,0.9179695248603821,0.9130964279174805,0.9253086447715759,relu,16,0.3,0.95,30
79,06/16/21-014605,06/16/21-014927,202.49027943611145,26,0.0012544107157737017,0.9458532333374023,0.939829409122467,0.9524865746498108,0.001945464056916535,0.9175634384155273,0.9068020582199097,0.9284823536872864,relu,32,0.5,0.95,30
38,06/15/21-231255,06/15/21-231937,402.8254361152649,27,0.0012198922922834754,0.9464623928070068,0.9407544732093811,0.9525310397148132,0.001964071299880743,0.9165482521057129,0.9080203175544739,0.9256882667541504,relu,16,0.5,0.9,30
74,06/16/21-012742,06/16/21-013057,194.9306321144104,25,0.0013351329835131764,0.9421306848526001,0.9359263777732849,0.9516861438751221,0.0021769495215266943,0.9102538228034973,0.9013198018074036,0.9213366508483887,relu,32,0.3,0.95,30
73,06/16/21-012350,06/16/21-012742,231.89122939109802,30,0.0014930913457646966,0.9357233047485352,0.9284811615943909,0.9492987394332886,0.0021979925222694874,0.9088324904441833,0.893401026725769,0.9270964860916138,relu,32,0.3,0.9,30
33,06/15/21-223816,06/15/21-224447,390.4306528568268,26,0.001339636160992086,0.9423788189888,0.9354751110076904,0.9519917368888855,0.002026405418291688,0.9078172445297241,0.8984771370887756,0.9214910268783569,relu,16,0.3,0.9,30
78,06/16/21-014229,06/16/21-014605,215.90121388435364,28,0.0013501396169885993,0.941047728061676,0.9350013732910156,0.9526469707489014,0.002112993039190769,0.9076142311096191,0.9001015424728394,0.9227727055549622,relu,32,0.5,0.9,30
37,06/15/21-230628,06/15/21-231254,386.2502748966217,26,0.0015838262625038624,0.9318428039550781,0.9241719841957092,0.9444354772567749,0.0021745183039456606,0.9072081446647644,0.8954314589500427,0.9224011898040771,relu,16,0.5,0.6,30
24,06/15/21-213151,06/15/21-213916,445.17393684387207,30,0.0013964123791083694,0.9392203092575073,0.9338732957839966,0.9493807554244995,0.0021517679560929537,0.9061928987503052,0.8976649641990662,0.9210416674613953,relu,16,0.09,0.95,30
29,06/15/21-220915,06/15/21-221554,399.23911690711975,27,0.001445277244783938,0.9371446371078491,0.9298123121261597,0.9480573534965515,0.0022431197576224804,0.9055837392807007,0.8962436318397522,0.9193918108940125,relu,16,0.1,0.95,30
39,06/15/21-231938,06/15/21-232507,329.6342749595642,22,0.0014547489117830992,0.9375959038734436,0.9319330453872681,0.9443974494934082,0.002132306108251214,0.9041624069213867,0.893401026725769,0.9224318861961365,relu,16,0.5,0.95,30
19,06/15/21-205419,06/15/21-210151,451.82322788238525,30,0.0015658806078135967,0.9314818382263184,0.9239463806152344,0.9462338089942932,0.0022707306779921055,0.9029441475868225,0.8929949402809143,0.920468807220459,relu,16,0.07,0.95,30
28,06/15/21-220139,06/15/21-220915,455.45476388931274,30,0.0016735026147216558,0.9278043508529663,0.9189378023147583,0.9441366791725159,0.002284520771354437,0.9013198018074036,0.8913705348968506,0.9224627017974854,relu,16,0.1,0.9,30
77,06/16/21-013836,06/16/21-014228,232.2779564857483,30,0.001911173458211124,0.9175841808319092,0.9068676233291626,0.9367949962615967,0.002436995506286621,0.8956345319747925,0.8824365735054016,0.9157184958457947,relu,32,0.5,0.6,30
64,06/16/21-004943,06/16/21-005326,222.48150897026062,29,0.0017951502231881022,0.9214872121810913,0.9108158349990845,0.9421030282974243,0.002399038290604949,0.893604040145874,0.8797969818115234,0.920739471912384,relu,32,0.09,0.95,30
14,06/15/21-201719,06/15/21-202437,438.03644585609436,29,0.0016922290669754148,0.9263378977775574,0.9183286428451538,0.9421349763870239,0.002454584464430809,0.8931979537010193,0.8818274140357971,0.9147009253501892,relu,16,0.05,0.95,30
69,06/16/21-010855,06/16/21-011215,200.30134463310242,26,0.0017458905931562185,0.9251195788383484,0.915305495262146,0.9390334486961365,0.0024128714576363564,0.8919796943664551,0.8826395869255066,0.9103664755821228,relu,32,0.1,0.95,30
59,06/16/21-003312,06/16/21-003617,184.74103260040283,24,0.001999650616198778,0.9136584997177124,0.9017236828804016,0.9347053170204163,0.002585678594186902,0.886294424533844,0.8716751337051392,0.9126275777816772,relu,32,0.07,0.95,30
23,06/15/21-212414,06/15/21-213151,456.29939818382263,30,0.0019901408813893795,0.9114024043083191,0.9010919332504272,0.9398753046989441,0.002533473540097475,0.8856852650642395,0.8757360577583313,0.9162948727607727,relu,16,0.09,0.9,30
9,06/15/21-194005,06/15/21-194734,449.25408840179443,30,0.002181418938562274,0.9042505025863647,0.8877357840538025,0.9352760910987854,0.002576628001406789,0.88487309217453,0.867411196231842,0.9165415167808533,relu,16,0.03,0.95,30
36,06/15/21-225858,06/15/21-230628,449.13900566101074,30,0.0019425494829192758,0.9156438708305359,0.9036864638328552,0.9367837309837341,0.002567012095823884,0.8842639327049255,0.8730964660644531,0.9092831611633301,relu,16,0.5,0.3,30
18,06/15/21-204654,06/15/21-205419,444.0537385940552,30,0.0021581801120191813,0.9086950421333313,0.8919772505760193,0.9350993633270264,0.0027805324643850327,0.8832487463951111,0.8672081232070923,0.9098849892616272,relu,16,0.07,0.9,30
13,06/15/21-200952,06/15/21-201718,446.1536316871643,30,0.0021051098592579365,0.9090785980224609,0.8940303325653076,0.9336742162704468,0.0026165295857936144,0.8822335004806519,0.8686294555664062,0.9117646813392639,relu,16,0.05,0.9,30
72,06/16/21-011955,06/16/21-012350,234.72380232810974,30,0.002278662519529462,0.9026486873626709,0.8842162489891052,0.9283683896064758,0.002752766478806734,0.8781725764274597,0.8596954345703125,0.910146176815033,relu,32,0.3,0.6,30
54,06/16/21-001533,06/16/21-001927,234.19656085968018,30,0.002153886714950204,0.9067999124526978,0.8932632207870483,0.9329610466957092,0.002760926727205515,0.8767512440681458,0.8631471991539001,0.9083333611488342,relu,32,0.05,0.95,30
68,06/16/21-010502,06/16/21-010854,232.09691047668457,30,0.002308552386239171,0.8990389108657837,0.8835844993591309,0.9304381012916565,0.0028286974411457777,0.8755329847335815,0.8582741022109985,0.9055269956588745,relu,32,0.1,0.9,30
