client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21,class_22,class_23,class_24,class_25,class_26,class_27,class_28,class_29,class_30,class_31,class_32,class_33,class_34,class_35,class_36,class_37,class_38,class_39,class_40,class_41,class_42,class_43,class_44,class_45,class_46,class_47,class_48,class_49,class_50,class_51,class_52,class_53,class_54,class_55,class_56,class_57,class_58,class_59,class_60,class_61
0,715,971,947,261,4707,1045,949,4029,623,50,124,325,1,788,59,332,135,136,271,279,77,232,174,7,4373,314,23,90,778,193,1782,449,102,188,108,180,1022,875,311,25,593,218,67,145,276,25,135,117,257,821,136,168,64,957,35,2269,525,55,0,0,0,0
1,1952,1723,5791,3046,1729,163,400,2128,1951,2612,303,46,333,51,315,175,232,211,73,205,30,588,176,128,977,1609,6,303,109,370,868,126,232,92,209,4,1257,223,73,333,350,54,525,103,176,141,342,151,308,81,584,525,27,190,160,2323,0,0,0,0,0,0
2,149,906,2165,841,310,338,369,768,161,2102,385,562,1101,126,49,176,90,6,61,87,30,264,385,996,27,202,94,29,84,630,825,706,36,293,539,114,307,122,72,389,1530,21,141,999,39,155,56,148,191,771,2,0,508,4790,223,1883,478,584,62,1953,321,368
3,44,2030,170,3174,219,1085,4892,1420,1528,1890,103,165,703,307,15,1402,72,1,958,438,80,133,424,255,680,65,63,356,800,321,576,99,905,23,29,344,533,172,136,1090,3517,85,256,1018,123,1,203,1354,55,844,0,0,0,0,0,0,0,0,0,0,0,0
4,508,477,2012,857,830,762,1067,250,2698,710,295,196,929,222,14,503,44,173,230,304,209,12,82,217,2512,755,131,2,1110,98,189,147,37,27,484,126,1000,67,236,1796,1951,83,130,347,285,126,55,1185,63,25,171,325,132,775,116,1314,486,747,252,358,94,1099
5,2402,683,4342,1184,5793,2658,920,1369,1254,3912,406,12,436,54,323,5,105,47,1062,28,650,203,318,120,612,496,7,217,508,154,17,65,5,323,290,157,215,430,48,166,942,71,398,354,41,539,191,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,111,300,515,2185,844,2092,571,1223,554,4040,51,72,162,36,315,729,219,113,106,561,31,167,149,86,541,64,10,201,1806,808,271,99,490,189,66,106,2050,13,147,113,332,160,135,556,133,32,622,1485,841,337,230,0,4,2347,853,2197,183,760,483,290,191,383
7,1282,366,3198,2502,89,1061,149,458,164,1621,332,17,255,261,353,100,137,134,2734,201,266,414,413,1118,554,1109,69,92,90,156,684,663,190,134,1096,54,53,437,223,1150,2438,17,100,447,22,69,76,1194,89,4260,173,571,67,947,16,1290,0,0,0,0,0,0
8,6530,1253,3436,872,2286,800,766,606,573,1565,1059,113,1991,220,282,788,23,165,563,223,2,122,476,1643,5417,195,37,341,49,1160,650,176,89,73,124,53,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4645,1604,476,5562,1490,3885,3970,3603,252,978,15,314,57,12,238,61,47,41,38,19,101,133,147,573,1208,310,7,62,82,705,412,44,357,91,274,73,158,140,169,2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
