(DeviceArray(0.94960004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f42ec240>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.94780004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48fc753a90>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.94640005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f41d87b8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.94390005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48c451d550>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9437, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f42fcb70>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9437, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f415b2b0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9426001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48fc7230f0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.93850005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48b4655fd0>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.938, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f492c254ef0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.93780005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48c41e2828>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9369, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48c46a2668>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
