client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,403,52,908,1485,285,462,866,105,1415,477
1,39,396,65,633,236,43,776,2109,1268,930
2,143,204,714,49,152,85,54,8,254,139
3,151,281,1289,276,36,707,361,633,211,1879
4,289,1087,215,1522,986,588,159,2159,0,0
5,274,1901,1237,30,475,323,121,161,1046,160
6,2232,104,1035,220,1399,231,1779,0,0,0
7,1459,976,214,155,96,1137,72,163,869,59
8,673,1120,185,1547,845,1250,998,0,0,0
9,260,621,96,214,1332,595,732,927,788,2305
