(DeviceArray(0.9639, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475759a320>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9638001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757496080>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.96370006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475c396160>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.96290004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475706d1d0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.96250004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475726a860>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.96160007, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757622fd0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.96070004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475c08f710>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9606, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4756cd7630>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.96040004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475e5356a0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95980006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f479c1b2da0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9592, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475775af60>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95890003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475c2e6be0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95870006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757cc8550>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
