,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
29,06/15/21-014913,06/15/21-014952,38.76344108581543,30,0.0015174284344539046,0.9921982288360596,0.9917393326759338,0.9926504492759705,0.004424956161528826,0.9794238805770874,0.9794238805770874,0.9794238805770874,relu,16,0.1,0.95,30
78,06/15/21-020724,06/15/21-020749,25.288257122039795,29,0.0013069487176835537,0.9926571846008301,0.9921982288360596,0.9940229654312134,0.004553844220936298,0.9753086566925049,0.9753086566925049,0.9753086566925049,relu,32,0.5,0.9,30
74,06/15/21-020555,06/15/21-020617,21.336474180221558,25,0.001008158433251083,0.9944928884506226,0.9944928884506226,0.9954065084457397,0.004873968660831451,0.9711934328079224,0.9711934328079224,0.9711934328079224,relu,32,0.3,0.95,30
38,06/15/21-015418,06/15/21-015441,22.617247819900513,18,0.0023117053788155317,0.9862322211265564,0.9853143692016602,0.9875804781913757,0.005698651075363159,0.9711934328079224,0.9629629850387573,0.9709543585777283,relu,16,0.5,0.9,30
79,06/15/21-020749,06/15/21-020812,22.290924787521362,28,0.006473167333751917,0.9600734114646912,0.957778811454773,0.9617511630058289,0.005461068823933601,0.9670782089233398,0.9670782089233398,0.9670782089233398,relu,32,0.5,0.95,30
24,06/15/21-014627,06/15/21-014706,39.35280156135559,30,0.0012399188708513975,0.9935750365257263,0.9935750365257263,0.9944878220558167,0.005371088162064552,0.9670782089233398,0.9670782089233398,0.9710744023323059,relu,16,0.09,0.95,30
13,06/15/21-014003,06/15/21-014040,37.75921821594238,30,0.005298559553921223,0.9664983749389648,0.9591555595397949,0.9743589758872986,0.006196905393153429,0.9629629850387573,0.9629629850387573,0.9790794849395752,relu,16,0.05,0.9,30
37,06/15/21-015350,06/15/21-015418,28.048160791397095,24,0.0025473295245319605,0.9871500730514526,0.9853143692016602,0.9880349636077881,0.006235870998352766,0.9629629850387573,0.9547325372695923,0.9666666388511658,relu,16,0.5,0.6,30
36,06/15/21-015315,06/15/21-015350,34.74578785896301,30,0.0030417824164032936,0.9839375615119934,0.9816429615020752,0.9861687421798706,0.005547352135181427,0.9629629850387573,0.9629629850387573,0.9669421315193176,relu,16,0.5,0.3,30
32,06/15/21-015109,06/15/21-015147,38.60015892982483,30,0.0028313978109508753,0.9843965172767639,0.9825608134269714,0.9861814975738525,0.0077186948619782925,0.9629629850387573,0.9588477611541748,0.9668049812316895,relu,16,0.3,0.6,30
33,06/15/21-015148,06/15/21-015216,28.29248046875,20,0.001911622821353376,0.9889857769012451,0.9880679249763489,0.9907961487770081,0.006173860281705856,0.9629629850387573,0.9629629850387573,0.9709543585777283,relu,16,0.3,0.9,30
31,06/15/21-015030,06/15/21-015108,38.57944464683533,30,0.005646210629492998,0.9655805230140686,0.95548415184021,0.9706293940544128,0.008258203975856304,0.9588477611541748,0.9506173133850098,0.9624999761581421,relu,16,0.3,0.3,30
14,06/15/21-014041,06/15/21-014118,37.45170783996582,30,0.002514272229745984,0.9866911172866821,0.9853143692016602,0.9903136491775513,0.00603501359000802,0.9588477611541748,0.9588477611541748,0.9668049812316895,relu,16,0.05,0.95,30
23,06/15/21-014557,06/15/21-014626,29.754886388778687,24,0.003964209463447332,0.9775125980377197,0.973382294178009,0.9787725210189819,0.006559388712048531,0.9547325372695923,0.9506173133850098,0.9624999761581421,relu,16,0.09,0.9,30
19,06/15/21-014344,06/15/21-014416,32.12596416473389,23,0.002714022994041443,0.9857732653617859,0.9839375615119934,0.9866544008255005,0.007637075148522854,0.9547325372695923,0.9506173133850098,0.9585062265396118,relu,16,0.07,0.95,30
59,06/15/21-020014,06/15/21-020034,20.595966339111328,30,0.004320396110415459,0.974759042263031,0.9706287384033203,0.97826087474823,0.007193420547991991,0.9547325372695923,0.9423868060112,0.9581589698791504,relu,32,0.07,0.95,30
34,06/15/21-015217,06/15/21-015239,22.936256647109985,17,0.0033294889144599438,0.9798072576522827,0.9788894057273865,0.9829493165016174,0.0069972011260688305,0.9547325372695923,0.9506173133850098,0.9545454382896423,relu,16,0.3,0.95,30
64,06/15/21-020208,06/15/21-020232,23.804507732391357,30,0.0038746229838579893,0.977053701877594,0.9743001461029053,0.9792435169219971,0.006595666985958815,0.9547325372695923,0.9506173133850098,0.9665272235870361,relu,32,0.09,0.95,30
63,06/15/21-020144,06/15/21-020208,24.18753933906555,30,0.005460259970277548,0.9692519307136536,0.9591555595397949,0.9729981422424316,0.008515927009284496,0.9506173133850098,0.9423868060112,0.9581589698791504,relu,32,0.09,0.9,30
9,06/15/21-013735,06/15/21-013809,34.7859992980957,30,0.004711698275059462,0.9724644422531128,0.9678751826286316,0.976841151714325,0.006666991394013166,0.9506173133850098,0.9465020298957825,0.954356849193573,relu,16,0.03,0.95,30
76,06/15/21-020633,06/15/21-020659,25.826568126678467,30,0.007581349462270737,0.95548415184021,0.9316200017929077,0.973621129989624,0.00764959491789341,0.9506173133850098,0.9423868060112,0.9662446975708008,relu,32,0.5,0.3,30
73,06/15/21-020538,06/15/21-020555,16.88425636291504,22,0.0038989614695310593,0.9765947461128235,0.9729233384132385,0.9805735349655151,0.0066588399931788445,0.9506173133850098,0.9506173133850098,0.9545454382896423,relu,32,0.3,0.9,30
