(DeviceArray(0.68922865, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f479c587908>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.68388903, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475ccbc860>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6818531, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475d47e2e8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.678511, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475ce6e080>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6761678, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475ccf3208>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.67612934, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47079fcdd8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.67586046, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475dae60f0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6741318, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4707f08240>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.66913795, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475d8ddda0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.66610324, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475cbdb978>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6659112, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475d839080>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
