(DeviceArray(0.84415334, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46dfa8dda0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.843654, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46dee30320>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.84257835, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4720288470>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8417332, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47226b3e48>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.840965, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4704211d68>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.84046555, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46df745cc0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8400814, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46dfbe1780>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.83977413, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f470445ceb8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.83939, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46df44ff28>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8386601, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4705273518>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8379302, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4723e86668>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.835779, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46df6e20f0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.83416563, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47050fc320>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8332821, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4722f78160>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
