(DeviceArray(0.7435848, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c7470e48>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.742586, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46de4a4400>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.73690075, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475d47f358>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7290642, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c6ca1ac8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7274508, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46def5beb8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.71377534, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c7ef77f0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7125461, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c6327470>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.70958817, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c6a68400>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.69983095, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c6c2de10>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6991779, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c7732cc0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6790873, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46decc2a58>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.67801166, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c77e6828>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
