(DeviceArray(0.80627686, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c69df828>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.80570066, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f467c5a7710>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.79974645, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4705528128>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.794791, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f467c3112e8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.79064226, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c6a752e8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.78814536, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47065c24e0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.7851874, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4705b01f60>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.7814997, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46740eab70>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.7810387, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4705ec4d68>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.7803857, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f463b7754e0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.77838814, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c41a4828>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
