client_id,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,433,907,384,274,488,430,729,180,0,0
1,189,861,682,407,405,392,285,274,271,0
2,150,677,511,360,641,187,275,454,403,344
3,368,1047,492,329,245,575,325,398,0,0
4,249,786,321,256,113,514,205,433,514,472
5,92,303,653,261,478,244,192,387,110,826
6,143,686,553,243,301,409,243,313,132,315
7,295,1223,541,253,590,427,372,0,0,0
8,224,586,532,450,386,478,378,256,315,241
9,255,1114,449,697,456,234,205,424,0,0
10,403,742,1001,660,317,266,529,0,0,0
11,223,749,547,747,256,303,358,367,509,0
12,301,637,341,187,351,192,176,121,568,633
13,209,465,649,441,399,241,150,240,320,271
14,119,257,303,338,197,379,199,256,522,119
15,340,396,373,530,345,217,290,411,367,408
16,159,888,590,854,592,369,293,0,0,0
17,369,237,249,649,295,179,159,425,518,214
18,148,666,406,379,401,589,170,344,313,525
19,279,634,1008,182,202,257,194,312,183,291
