,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
59,06/01/21-225148,06/01/21-225559,250.65921664237976,38,0.07855916768312454,0.3218390941619873,0.08812260627746582,0.6865671873092651,0.08051030337810516,0.3077000081539154,0.09200000017881393,0.534262478351593,relu,32,0.07,0.95,50
27,06/01/21-213905,06/01/21-214500,355.8221583366394,30,0.07517995685338974,0.4042145609855652,0.12452106922864914,0.6132075190544128,0.08142311125993729,0.30469998717308044,0.0949999988079071,0.4812563359737396,relu,16,0.3,0.6,50
64,06/01/21-230349,06/01/21-230655,186.6559488773346,28,0.0798967108130455,0.32375478744506836,0.08812260627746582,0.6052631735801697,0.08206001669168472,0.2775000035762787,0.05739999935030937,0.5562015771865845,relu,32,0.1,0.95,50
22,06/01/21-212126,06/01/21-212629,302.6370196342468,24,0.08416970819234848,0.254789263010025,0.019157087430357933,0.5263158082962036,0.08345784991979599,0.26460000872612,0.003700000001117587,0.5441176295280457,relu,16,0.1,0.6,50
37,06/01/21-220810,06/01/21-221133,203.13891577720642,15,0.08281230181455612,0.29885056614875793,0.030651340261101723,0.4444444477558136,0.08402714133262634,0.24480000138282776,0.008299999870359898,0.7757009267807007,relu,16,0.7,0.6,50
72,06/01/21-232214,06/01/21-232519,185.15480256080627,23,0.08236057311296463,0.29501914978027344,0.03448275849223137,0.5,0.08440552651882172,0.22939999401569366,0.0272000003606081,0.4909747242927551,relu,32,0.5,0.6,50
23,06/01/21-212631,06/01/21-213055,263.67990922927856,21,0.08487005531787872,0.2816092073917389,0.009578543715178967,0.4545454680919647,0.08503558486700058,0.22589999437332153,0.0015999999595806003,0.9411764740943909,relu,16,0.1,0.9,50
63,06/01/21-230118,06/01/21-230346,148.32360792160034,14,0.08606932312250137,0.22413793206214905,0.017241379246115685,0.5625,0.08646208792924881,0.2004999965429306,0.01769999973475933,0.37263157963752747,relu,32,0.1,0.9,50
77,06/01/21-233252,06/01/21-233541,168.5597038269043,19,0.08268248289823532,0.26436781883239746,0.026819923892617226,0.5600000023841858,0.08894890546798706,0.19580000638961792,0.03370000049471855,0.39323219656944275,relu,32,0.7,0.6,50
13,06/01/21-205744,06/01/21-210112,207.97440338134766,13,0.08757329732179642,0.19923371076583862,0.009578543715178967,0.38461539149284363,0.0864516869187355,0.19429999589920044,0.002300000051036477,0.3965517282485962,relu,16,0.05,0.9,50
71,06/01/21-231951,06/01/21-232212,141.0560371875763,14,0.08761193603277206,0.19923371076583862,0.0,0.0,0.08702301979064941,0.19359999895095825,0.0,0.0,relu,32,0.5,0.3,50
67,06/01/21-231040,06/01/21-231311,151.18162846565247,15,0.08658720552921295,0.20114941895008087,0.007662835065275431,0.3636363744735718,0.0869707241654396,0.19280000030994415,0.006500000134110451,0.32499998807907104,relu,32,0.3,0.6,50
108,06/02/21-002150,06/02/21-002339,108.78432154655457,15,0.08593559265136719,0.2298850566148758,0.009578543715178967,0.5555555820465088,0.08749324083328247,0.19179999828338623,0.025200000032782555,0.3107275068759918,relu,64,0.3,0.9,50
