,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
14,05/30/21-200153,05/30/21-201725,932.0058262348175,10,0.01586296223104,0.05747126415371895,0.0,0.0,0.015861446037888527,0.06300559639930725,0.0,0.0,relu,16,0.5,0.6,50
27,05/30/21-213203,05/30/21-214349,705.798709154129,15,0.0158638097345829,0.04482758790254593,0.0,0.0,0.01586322672665119,0.05278405919671059,0.0,0.0,relu,32,0.1,0.9,50
43,05/30/21-224401,05/30/21-224714,193.20647954940796,6,0.015866434201598167,0.04827586188912392,0.0,0.0,0.01586543209850788,0.05054890364408493,0.0,0.0,relu,64,0.1,0.9,50
15,05/30/21-201727,05/30/21-203422,1014.7053978443146,11,0.01569024845957756,0.05517241358757019,0.0,0.0,0.015664763748645782,0.04956027492880821,0.0,0.0,relu,16,0.5,0.9,50
2,05/30/21-180743,05/30/21-181714,571.9141743183136,6,0.015869826078414917,0.04712643846869469,0.0,0.0,0.01586993969976902,0.0487091988325119,0.0,0.0,relu,16,0.01,0.6,50
31,05/30/21-215909,05/30/21-221011,662.1851170063019,14,0.0158532802015543,0.0517241396009922,0.0,0.0,0.0158529169857502,0.04681791365146637,0.0,0.0,relu,32,0.5,0.9,50
12,05/30/21-194320,05/30/21-195236,556.337637424469,6,0.015863467007875443,0.04252873733639717,0.0,0.0,0.015864606946706772,0.04564875364303589,0.0,0.0,relu,16,0.5,0.0,50
0,05/30/21-174850,05/30/21-175814,564.3692960739136,6,0.015863407403230667,0.039080459624528885,0.0,0.0,0.015863392502069473,0.04210689291357994,0.0,0.0,relu,16,0.01,0.0,50
11,05/30/21-193352,05/30/21-194318,566.2953238487244,6,0.01586184650659561,0.04597701132297516,0.0,0.0,0.015861935913562775,0.040997911244630814,0.0,0.0,relu,16,0.1,0.9,50
19,05/30/21-205014,05/30/21-205524,310.2360577583313,6,0.015864131972193718,0.0356321856379509,0.0,0.0,0.015862995758652687,0.03740447014570236,0.0,0.0,relu,32,0.01,0.9,50
23,05/30/21-211109,05/30/21-211613,303.67177534103394,6,0.015868213027715683,0.03333333507180214,0.0,0.0,0.01586860418319702,0.03604618087410927,0.0,0.0,relu,32,0.05,0.9,50
30,05/30/21-215408,05/30/21-215907,299.0845878124237,6,0.01586286537349224,0.019540229812264442,0.0,0.0,0.01586194336414337,0.029246151447296143,0.0,0.0,relu,32,0.5,0.6,50
6,05/30/21-184553,05/30/21-185558,604.506049156189,6,0.015868863090872765,0.0356321856379509,0.0,0.0,0.015868958085775375,0.02691643126308918,0.0,0.0,relu,16,0.05,0.6,50
10,05/30/21-192416,05/30/21-193350,573.3251640796661,6,0.01586916670203209,0.025287356227636337,0.0,0.0,0.015869256108999252,0.02517988719046116,0.0,0.0,relu,16,0.1,0.6,50
40,05/30/21-223441,05/30/21-223741,180.09362721443176,6,0.015872333198785782,0.026436781510710716,0.0,0.0,0.015870975330471992,0.024793032556772232,0.0,0.0,relu,64,0.1,0.0,50
25,05/30/21-212144,05/30/21-212640,295.9506268501282,6,0.01587379351258278,0.026436781510710716,0.0,0.0,0.015874112024903297,0.02476724237203598,0.0,0.0,relu,32,0.1,0.3,50
39,05/30/21-223142,05/30/21-223439,177.35503792762756,6,0.015878494828939438,0.02413793094456196,0.0,0.0,0.015877602621912956,0.023237021639943123,0.0,0.0,relu,64,0.05,0.9,50
47,05/30/21-225513,05/30/21-225600,46.51641535758972,6,0.015863098204135895,0.02298850566148758,0.0,0.0,0.015861671417951584,0.022076459601521492,0.0,0.0,relu,64,0.5,0.9,50
8,05/30/21-190521,05/30/21-191447,565.6311588287354,6,0.015862882137298584,0.0218390803784132,0.0,0.0,0.015861952677369118,0.020993268117308617,0.0,0.0,relu,16,0.1,0.0,50
38,05/30/21-222845,05/30/21-223140,174.4884388446808,6,0.015868637710809708,0.018390804529190063,0.0,0.0,0.0158685315400362,0.020812736824154854,0.0,0.0,relu,64,0.05,0.6,50
24,05/30/21-211615,05/30/21-212142,326.7502737045288,6,0.01586740091443062,0.028735632076859474,0.0,0.0,0.015867937356233597,0.019970254972577095,0.0,0.0,relu,32,0.1,0.0,50
36,05/30/21-222225,05/30/21-222529,183.72702717781067,6,0.015873057767748833,0.017241379246115685,0.0,0.0,0.015871942043304443,0.018689339980483055,0.0,0.0,relu,64,0.05,0.0,50
42,05/30/21-224045,05/30/21-224400,194.866925239563,6,0.015868647024035454,0.01149425283074379,0.0,0.0,0.015868430957198143,0.013840771280229092,0.0,0.0,relu,64,0.1,0.6,50
3,05/30/21-181716,05/30/21-182640,563.9213814735413,6,0.015873776748776436,0.012643678113818169,0.0,0.0,0.015873983502388,0.013780593872070312,0.0,0.0,relu,16,0.01,0.9,50
28,05/30/21-214351,05/30/21-214853,301.72050070762634,6,0.015864398330450058,0.014942528679966927,0.0,0.0,0.015863193199038506,0.013256192207336426,0.0,0.0,relu,32,0.5,0.0,50
37,05/30/21-222531,05/30/21-222843,192.62511110305786,6,0.01587367244064808,0.01149425283074379,0.0,0.0,0.015873795375227928,0.012731789611279964,0.0,0.0,relu,64,0.05,0.3,50
29,05/30/21-214854,05/30/21-215406,311.4635925292969,6,0.015869140625,0.013793103396892548,0.0,0.0,0.015868963673710823,0.012241775169968605,0.0,0.0,relu,32,0.5,0.3,50
7,05/30/21-185600,05/30/21-190519,559.4712681770325,6,0.015866719186306,0.014942528679966927,0.0,0.0,0.015867065638303757,0.01165719609707594,0.0,0.0,relu,16,0.05,0.9,50
13,05/30/21-195239,05/30/21-200151,552.6986787319183,6,0.015868017449975014,0.009195402264595032,0.0,0.0,0.01586723141372204,0.011201567947864532,0.0,0.0,relu,16,0.5,0.3,50
17,05/30/21-203929,05/30/21-204448,319.5574722290039,6,0.015868166461586952,0.016091953963041306,0.0,0.0,0.015868162736296654,0.010488037951290607,0.0,0.0,relu,32,0.01,0.3,50
32,05/30/21-221013,05/30/21-221311,177.59820365905762,6,0.01586535945534706,0.01034482754766941,0.0,0.0,0.0158656295388937,0.009920652024447918,0.0,0.0,relu,64,0.01,0.0,50
