client : 0, samples : 7386/697932, percentage : 0.010582692869792472
client : 1, samples : 160814/697932, percentage : 0.23041499744960828
client : 2, samples : 1243/697932, percentage : 0.0017809757970690555
client : 3, samples : 286/697932, percentage : 0.0004097820418034995
client : 4, samples : 66079/697932, percentage : 0.09467827811305399
client : 5, samples : 272/697932, percentage : 0.0003897227810159156
client : 6, samples : 117/697932, percentage : 0.00016763810801052252
client : 7, samples : 234650/697932, percentage : 0.3362075388433257
client : 8, samples : 18056/697932, percentage : 0.02587071519861534
client : 9, samples : 2707/697932, percentage : 0.003878601353713542
client : 10, samples : 26564/697932, percentage : 0.03806101454009846
client : 11, samples : 843/697932, percentage : 0.0012078540602809443
client : 12, samples : 500/697932, percentage : 0.0007164021709851389
client : 13, samples : 39660/697932, percentage : 0.056825020202541224
client : 14, samples : 10797/697932, percentage : 0.015469988480253091
client : 15, samples : 37675/697932, percentage : 0.05398090358373022
client : 16, samples : 65331/697932, percentage : 0.09360654046526022
client : 17, samples : 9433/697932, percentage : 0.013515643357805631
client : 18, samples : 1243/697932, percentage : 0.0017809757970690555
client : 19, samples : 14276/697932, percentage : 0.02045471478596769
