,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
73,05/15/21-165049,05/15/21-165118,29.23282551765442,11,0.002517720451578498,0.9841012358665466,0.9819921851158142,0.9861518144607544,0.004263869021087885,0.9722999930381775,0.9693999886512756,0.9757423400878906,relu,32,0.5,0.9,50
69,05/15/21-164806,05/15/21-164836,30.184879779815674,11,0.002498353598639369,0.9858857989311218,0.9845879077911377,0.9866688251495361,0.004244267474859953,0.9721999764442444,0.9699000120162964,0.9755582213401794,relu,32,0.3,0.95,50
79,05/15/21-165424,05/15/21-165455,31.552659034729004,12,0.0030945732723921537,0.9813432693481445,0.9806943535804749,0.9826073050498962,0.004849290009588003,0.9714000225067139,0.9700000286102295,0.9726260900497437,relu,32,0.7,0.95,50
78,05/15/21-165357,05/15/21-165423,26.316012144088745,10,0.0022663914132863283,0.9865347146987915,0.9852368831634521,0.9874796867370605,0.0044080293737351894,0.9713000059127808,0.9697999954223633,0.9741837978363037,relu,32,0.7,0.9,50
28,05/15/21-161004,05/15/21-161044,39.78023409843445,9,0.0027993088588118553,0.9836145639419556,0.9818300008773804,0.9859889149665833,0.004388829227536917,0.9710999727249146,0.968999981880188,0.9748491048812866,relu,16,0.3,0.9,50
109,05/15/21-171430,05/15/21-171449,18.86428141593933,15,0.002984291408210993,0.9811810255050659,0.9790720343589783,0.9848237633705139,0.004517865367233753,0.97079998254776,0.9664999842643738,0.9743925929069519,relu,64,0.3,0.95,50
37,05/15/21-161759,05/15/21-161902,63.215774059295654,14,0.0021976071875542402,0.9871836304664612,0.9858857989311218,0.9884515404701233,0.0048135267570614815,0.9699000120162964,0.967199981212616,0.9729403257369995,relu,16,0.7,0.6,50
32,05/15/21-161349,05/15/21-161459,70.8185522556305,16,0.002443141769617796,0.9850746393203735,0.9829655885696411,0.987773060798645,0.004696239251643419,0.9697999954223633,0.967199981212616,0.9728425145149231,relu,16,0.5,0.6,50
68,05/15/21-164733,05/15/21-164805,32.847756147384644,12,0.003222899977117777,0.9795587062835693,0.976800799369812,0.9833415150642395,0.004555810708552599,0.9697999954223633,0.9663000106811523,0.9738963842391968,relu,32,0.3,0.9,50
74,05/15/21-165119,05/15/21-165159,40.8204300403595,15,0.0016830071108415723,0.9892926812171936,0.9888059496879578,0.9900909662246704,0.004969700705260038,0.9690999984741211,0.9677000045776367,0.9704171419143677,relu,32,0.5,0.95,50
114,05/15/21-171623,05/15/21-171638,15.70205307006836,12,0.0022960142232477665,0.9863724708557129,0.9842634797096252,0.9890772700309753,0.004948837216943502,0.9682000279426575,0.9666000008583069,0.9715549349784851,relu,64,0.5,0.95,50
118,05/15/21-171745,05/15/21-171759,14.58429741859436,12,0.002914348617196083,0.9818300008773804,0.9785853624343872,0.9846555590629578,0.004955971613526344,0.9682000279426575,0.9641000032424927,0.9725612998008728,relu,64,0.7,0.9,50
14,05/15/21-155221,05/15/21-155320,59.44863414764404,14,0.0034689612220972776,0.9774497151374817,0.9742050766944885,0.9813694953918457,0.0048995972611010075,0.9681000113487244,0.9649999737739563,0.9712157845497131,relu,16,0.05,0.95,50
113,05/15/21-171604,05/15/21-171622,18.509539365768433,15,0.0030969870276749134,0.9805321097373962,0.978747546672821,0.9836947917938232,0.00486263632774353,0.9679999947547913,0.9661999940872192,0.9717389345169067,relu,64,0.5,0.9,50
24,05/15/21-160519,05/15/21-160610,51.50401282310486,12,0.003005820559337735,0.979720950126648,0.9771252274513245,0.9831864237785339,0.004929902032017708,0.9678000211715698,0.9646999835968018,0.9716961979866028,relu,16,0.1,0.95,50
