(0.818992, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.81641823, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.81457436, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.81269205, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.8106177, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.81050247, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.809811, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.808697, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.8068147, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.80412567, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.80301166, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.801283, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.7990934, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f785444ac88>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
