,start,end,duration,round_epochs,loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision,act_fn,batch_size,client_lr,client_momentum,epochs
23,05/29/21-064354,05/29/21-065549,715.1276228427887,33,0.02090977318584919,0.858015239238739,0.8213740587234497,0.9080168604850769,0.05065325275063515,0.6636063456535339,0.6358712315559387,0.7072118520736694,relu,16,0.1,0.9,50
32,05/29/21-072108,05/29/21-073122,613.6575555801392,27,0.025619497522711754,0.8267175555229187,0.7702289819717407,0.8843120336532593,0.055014174431562424,0.6317225098609924,0.5967271327972412,0.6808081865310669,relu,16,0.5,0.6,50
118,05/29/21-103636,05/29/21-104018,222.2772560119629,28,0.02774159610271454,0.8137404322624207,0.7687022686004639,0.8779424428939819,0.06521589308977127,0.5772510766983032,0.5479409694671631,0.6193660497665405,relu,64,0.7,0.9,50
78,05/29/21-092253,05/29/21-092802,309.67858147621155,22,0.04658002033829689,0.6557251811027527,0.5541984438896179,0.8039867281913757,0.07127872854471207,0.4940842092037201,0.41556546092033386,0.5916648507118225,relu,32,0.7,0.9,50
25,05/29/21-065847,05/29/21-070221,213.497150182724,7,0.08857239037752151,0.20000000298023224,0.0,0.0,0.08819863200187683,0.20401813089847565,0.0,0.0,relu,16,0.3,0.0,50
91,05/29/21-095140,05/29/21-095351,131.6025562286377,14,0.08975276350975037,0.18854962289333344,0.0,0.0,0.08971485495567322,0.19948524236679077,0.0,0.0,relu,64,0.05,0.3,50
63,05/29/21-085050,05/29/21-085250,120.53023362159729,6,0.08876954019069672,0.18702289462089539,0.0,0.0,0.08838070929050446,0.19856330752372742,0.0,0.0,relu,32,0.1,0.9,50
97,05/29/21-100217,05/29/21-100359,102.04077768325806,10,0.08960367739200592,0.18702289462089539,0.0,0.0,0.08950015902519226,0.19829440116882324,0.0,0.0,relu,64,0.07,0.6,50
68,05/29/21-090148,05/29/21-090351,123.01089286804199,6,0.08836118131875992,0.18931297957897186,0.0,0.0,0.08817245066165924,0.198063924908638,0.0,0.0,relu,32,0.3,0.9,50
87,05/29/21-094402,05/29/21-094631,149.56564784049988,15,0.08915530145168304,0.18625953793525696,0.0,0.0,0.08888230472803116,0.19702672958374023,0.0,0.0,relu,64,0.03,0.6,50
8,05/29/21-055821,05/29/21-060116,174.81754279136658,6,0.08868557959794998,0.1931297779083252,0.0,0.0,0.08839792758226395,0.19625845551490784,0.0,0.0,relu,16,0.03,0.9,50
109,05/29/21-102232,05/29/21-102403,90.97673773765564,6,0.08862036466598511,0.18702289462089539,0.0,0.0,0.08826097846031189,0.19618162512779236,0.0,0.0,relu,64,0.3,0.95,50
53,05/29/21-082730,05/29/21-082920,109.9027910232544,6,0.08869991451501846,0.18702289462089539,0.0,0.0,0.08842246979475021,0.19618162512779236,0.0,0.0,relu,32,0.05,0.9,50
